Orthogroup	kog_cerevisiae_pos_go	kog_droso_pos_go	kog_elegans_pos_go	kog_humano_pos_go	protein_mansoni
OG0000010			NP_491106.1, NP_491195.2, NP_491595.1, NP_491694.1, NP_491786.2, NP_492013.1, NP_492086.3, NP_492090.1, NP_492091.1, NP_492245.1, NP_492619.1, NP_492936.1, NP_495810.1, NP_496308.1, NP_496309.1, NP_496310.1, NP_497131.1, NP_498729.1, NP_498814.1, NP_499957.1, NP_499982.1, NP_501416.1, NP_502297.1, NP_502372.1, NP_504525.1, NP_504735.1, NP_504736.1, NP_504738.1, NP_505484.1, NP_505486.1, NP_505709.1, NP_505902.1, NP_506053.1, NP_506300.1, NP_506334.1, NP_510522.1		
OG0000011	NP_012442.1	NP_511112.1, NP_610349.1, NP_610516.1	NP_491810.2, NP_492381.3, NP_494333.1, NP_494786.5, NP_495727.1, NP_498903.3, NP_505731.3, NP_506091.2, NP_506416.2, NP_507483.1, NP_508031.3, NP_508732.3, NP_509942.4, NP_510284.1, NP_510654.2	NP_002237.1, NP_003731.1, NP_055032.1, NP_066984.1, NP_071753.2, NP_113648.2, NP_115491.1, NP_201567.1, NP_612190.1, NP_612191.1	6183.Smp_034850.1, 6183.Smp_046640.1, 6183.Smp_127170.1, 6183.Smp_141570.1, 6183.Smp_147550.1, 6183.Smp_155970.1
OG0000012		NP_608397.1	NP_491322.2, NP_501919.1, NP_503729.4	NP_001103467.2, NP_005888.1, NP_006054.2, NP_009177.3, NP_036421.2, NP_055273.2, NP_055666.2, NP_057074.4, NP_059111.2, NP_060114.2, NP_060128.2, NP_060786.1, NP_061334.4, NP_061990.2, NP_065917.1, NP_067646.1, NP_071324.1, NP_079007.2, NP_085127.2, NP_115894.2, NP_116164.2, NP_277030.2, NP_476503.1, NP_569713.2	6183.Smp_085380.1, 6183.Smp_096320.1, 6183.Smp_122340.1, 6183.Smp_122980.1, 6183.Smp_141890.1, 6183.Smp_143070.1, 6183.Smp_158450.2
OG0000013				NP_000234.1, NP_001129958.1, NP_003132.2, NP_003440.1, NP_006065.2, NP_006346.1, NP_006501.1, NP_006595.1, NP_006769.2, NP_008959.3, NP_056246.3, NP_057186.1, NP_057645.1, NP_060543.5, NP_060677.2, NP_061008.2, NP_065091.1, NP_066306.2, NP_067076.2, NP_067629.2, NP_077019.2, NP_079512.3, NP_115698.3, NP_116070.2, NP_148977.2, NP_149023.2, NP_149082.1, NP_150232.2, NP_203128.1, NP_291027.3, NP_439893.2, NP_477514.1, NP_619645.1, NP_620155.1, NP_660215.1	
OG0000014		NP_524483.1	NP_491354.2, NP_491472.1, NP_491533.2, NP_491906.1, NP_492399.1, NP_492429.2, NP_495647.1, NP_495716.1, NP_496959.1, NP_505206.2, NP_505207.1, NP_508692.3, NP_509128.1, NP_509129.1, NP_509932.2, NP_510262.1, NP_510285.2	NP_000070.1, NP_000733.2, NP_000734.2, NP_000735.1, NP_000736.2, NP_000737.1, NP_000738.2, NP_000739.1, NP_000740.1, NP_000741.1, NP_000742.1, NP_004189.1, NP_060051.2, NP_065135.2	6183.Smp_031680.1, 6183.Smp_139330.1
OG0000015		NP_476606.1, NP_476775.1, NP_523402.4, NP_523621.2, NP_572505.1	NP_491668.1, NP_492696.1, NP_508669.1, NP_509273.1	NP_002193.2, NP_002306.1, NP_002307.2, NP_004780.3, NP_005559.2, NP_006760.1, NP_055183.2, NP_055379.1, NP_061110.2, NP_071758.1, NP_203129.1	6183.Smp_003280.1, 6183.Smp_006810.1, 6183.Smp_079260.1, 6183.Smp_090160.1, 6183.Smp_129480.1, 6183.Smp_129490.1, 6183.Smp_142560.1, 6183.Smp_144120.1, 6183.Smp_148570.1, 6183.Smp_163600.1, 6183.Smp_165410.1, 6183.Smp_170750.1, 6183.Smp_174610.1
OG0000016			NP_493109.1, NP_493152.1, NP_493162.1, NP_493166.1, NP_493197.1, NP_493725.2, NP_493859.2, NP_494002.2, NP_494003.1, NP_494066.2, NP_494426.2, NP_494427.1, NP_494826.1, NP_494827.1, NP_496687.2, NP_496688.1, NP_498022.1, NP_498023.1, NP_504865.1, NP_504977.1, NP_506271.1, NP_507227.2, NP_507233.2, NP_507234.1, NP_507235.2, NP_507236.3, NP_507252.3, NP_507254.2, NP_507255.2, NP_507257.2, NP_507258.2, NP_507262.2, NP_507557.1		
OG0000017	NP_010690.1, NP_013728.1	NP_523628.1, NP_523645.1, NP_523646.1, NP_523850.1, NP_608403.1, NP_608457.1, NP_609891.1, NP_610206.1, NP_610390.1, NP_611698.1	NP_496085.3, NP_496109.1, NP_496110.1, NP_496111.1, NP_496112.1, NP_496113.1, NP_496114.1, NP_496115.1, NP_497775.3, NP_497776.2, NP_497779.1, NP_499704.1, NP_499705.1, NP_508961.3, NP_510233.1, NP_510369.2	NP_000756.3, NP_000768.1, NP_059488.2, NP_476436.1	
OG0000018			NP_490679.1, NP_491088.1, NP_491958.1, NP_493635.1, NP_493660.1, NP_493913.2, NP_494879.2, NP_494880.1, NP_495104.1, NP_495487.1, NP_495582.1, NP_495726.2, NP_495759.1, NP_496361.1, NP_496362.1, NP_496665.1, NP_499889.2, NP_499905.2, NP_501617.1, NP_502966.2, NP_503048.1, NP_505677.1, NP_505678.1, NP_508395.1, NP_508747.1, NP_509059.1, NP_509162.1, NP_509276.1, NP_509869.1, NP_509870.1, NP_509960.1, NP_510617.1		
OG0000019				NP_003413.2, NP_003430.1, NP_003438.1, NP_003441.1, NP_003446.2, NP_003447.2, NP_005732.2, NP_006289.2, NP_006290.1, NP_008896.2, NP_008922.1, NP_009062.2, NP_037382.2, NP_055334.2, NP_055384.1, NP_057642.1, NP_060378.1, NP_060807.2, NP_061121.2, NP_061983.2, NP_065704.2, NP_076415.3, NP_077279.1, NP_079507.1, NP_112161.3, NP_115540.2, NP_115723.1, NP_115896.1, NP_116141.1, NP_116194.2, NP_149987.2, NP_598009.1	
OG0000020					6183.Smp_005710.1, 6183.Smp_086630.1, 6183.Smp_093070.1, 6183.Smp_102020.2, 6183.Smp_103640.1, 6183.Smp_113750.1, 6183.Smp_133400.1, 6183.Smp_154460.1, 6183.Smp_154590.1, 6183.Smp_155170.1, 6183.Smp_165590.1, 6183.Smp_165600.1, 6183.Smp_166470.1, 6183.Smp_173350.2, 6183.Smp_175670.1, 6183.Smp_179390.1, 6183.Smp_179420.1, 6183.Smp_179970.1, 6183.Smp_191400.1, 6183.Smp_192050.1, 6183.Smp_193380.1, 6183.Smp_194130.1, 6183.Smp_201330.1, 6183.Smp_202320.1, 6183.Smp_202420.1, 6183.Smp_202700.1, 6183.Smp_202840.1, 6183.Smp_202850.1, 6183.Smp_204710.1, 6183.Smp_204830.1, 6183.Smp_204840.1, 6183.Smp_205310.1
OG0000021	NP_010177.1	NP_476793.1, NP_476794.1, NP_477498.1, NP_524521.1	NP_491693.1, NP_492586.2, NP_495392.1, NP_495848.1, NP_507685.1, NP_508131.4	NP_000200.1, NP_001025036.2, NP_001180.1, NP_002720.1, NP_003649.2, NP_005506.3, NP_006158.2, NP_006553.2, NP_036608.1, NP_067545.3, NP_068777.1	6183.Smp_000075.1, 6183.Smp_029620.1, 6183.Smp_060750.1, 6183.Smp_126190.1, 6183.Smp_137140.1, 6183.Smp_138140.1, 6183.Smp_140730.1, 6183.Smp_152980.1, 6183.Smp_158000.1
OG0000022			NP_494882.2, NP_494883.1, NP_494884.1, NP_494902.1, NP_495967.1, NP_496858.1, NP_496859.1, NP_496860.1, NP_496861.1, NP_496862.1, NP_496863.1, NP_496864.1, NP_496866.1, NP_497115.1, NP_497116.1, NP_497117.1, NP_497118.1, NP_497119.1, NP_497121.1, NP_497123.2, NP_501846.1, NP_501847.1, NP_501848.1, NP_503532.1, NP_503968.1, NP_506983.1, NP_507095.1, NP_508625.1, NP_509652.2	NP_055300.1	6183.Smp_054160.1
OG0000023			NP_494562.1, NP_495367.1, NP_496589.1, NP_499408.1, NP_499700.1, NP_499703.1, NP_500071.1, NP_500133.2, NP_500138.1, NP_500519.1, NP_500520.1, NP_500524.2, NP_500598.1, NP_501150.1, NP_501527.1, NP_501561.1, NP_501700.1, NP_501829.1, NP_501867.1, NP_502107.1, NP_502700.1, NP_502808.1, NP_504252.1, NP_505074.1, NP_505886.1, NP_505888.2, NP_505913.1, NP_509766.1, NP_510247.1, NP_510273.1, NP_510274.1		
OG0000024		NP_476722.1		NP_001248.1, NP_001783.2, NP_001784.2, NP_001785.2, NP_001786.2, NP_001787.2, NP_001788.2, NP_001932.2, NP_001933.2, NP_001934.2, NP_001935.2, NP_004052.2, NP_004053.1, NP_004054.3, NP_004351.1, NP_004923.1, NP_004924.1, NP_004925.1, NP_004939.1, NP_004940.1, NP_006718.2, NP_057363.3, NP_066976.1, NP_067071.1, NP_077739.1, NP_077740.1, NP_077741.2, NP_114097.2, NP_387450.1	
OG0000025		NP_523527.1, NP_524598.1, NP_524771.1, NP_524828.1, NP_525031.1, NP_525043.1, NP_525044.1, NP_572721.1, NP_572780.3, NP_608916.1, NP_610380.1	NP_496939.2, NP_500637.2, NP_502152.3, NP_503130.2, NP_503598.1, NP_505009.4, NP_505490.2, NP_505847.1, NP_507109.1, NP_507688.2	NP_000769.2, NP_000770.2, NP_000887.2, NP_001073.3, NP_006659.1, NP_009184.1, NP_067010.3, NP_076433.3	
OG0000026			NP_490737.2, NP_494849.2, NP_495353.1, NP_495354.1, NP_495362.1, NP_495657.2, NP_496174.2, NP_500705.2, NP_501553.2, NP_501967.2, NP_502234.2, NP_502511.3, NP_503350.2, NP_503656.2, NP_503657.2, NP_503682.1, NP_503683.1, NP_504013.1, NP_504015.1, NP_504517.2, NP_504695.2, NP_505694.3, NP_506020.2, NP_506456.1, NP_507089.2, NP_507475.2, NP_507831.1, NP_508300.3, NP_510539.1		
OG0000027	NP_009407.1, NP_009550.1, NP_009568.1, NP_010455.1, NP_012561.3, NP_012563.1, NP_013673.1, NP_013760.1, NP_013766.1, NP_036195.3, NP_058141.1, NP_058149.1, NP_058153.3, NP_058155.1, NP_058156.1, NP_058159.1, NP_058161.1, NP_058166.1, NP_058173.1, NP_058176.1, NP_058179.1, NP_058180.1, NP_058182.1, NP_058184.3, NP_058190.1, NP_058192.1, NP_058196.1, NP_620388.3				
OG0000028	NP_011668.3, NP_014744.1	NP_476699.1, NP_476857.1, NP_477402.1, NP_523917.2, NP_525063.1	NP_496623.1, NP_501549.1, NP_502213.3, NP_506707.2	NP_002515.1, NP_002872.1, NP_002875.1, NP_002877.2, NP_004976.2, NP_005334.1, NP_005393.2, NP_006261.1, NP_036382.2, NP_056461.1, NP_066361.1, NP_067006.3, NP_203524.1	6183.Smp_062510.1, 6183.Smp_071250.1, 6183.Smp_142450.1, 6183.Smp_179910.1
OG0000029				NP_001639.1, NP_001691.1, NP_001827.1, NP_001902.1, NP_001919.2, NP_001963.1, NP_002095.1, NP_002248.1, NP_002760.1, NP_002761.1, NP_002762.3, NP_002765.1, NP_002767.2, NP_002768.3, NP_004122.2, NP_004908.4, NP_005037.1, NP_005308.2, NP_005542.1, NP_006135.2, NP_006844.1, NP_009127.1, NP_031369.3, NP_036559.1, NP_056411.1, NP_059979.2, NP_071329.3, NP_219491.1	
OG0000030	NP_015390.1	NP_524066.1, NP_524735.1	NP_510439.1	NP_000337.1, NP_003098.1, NP_003099.1, NP_003131.1, NP_004180.1, NP_005625.2, NP_005677.2, NP_005977.2, NP_008871.3, NP_008872.1, NP_008873.1, NP_008874.2, NP_009015.1, NP_055402.2, NP_055940.3, NP_060889.1, NP_071899.1, NP_113627.1	6183.Smp_142600.1, 6183.Smp_155690.1, 6183.Smp_161600.1, 6183.Smp_179780.1, 6183.Smp_180820.1
OG0000031	NP_012701.2, NP_014274.1	NP_573376.2, NP_573378.1, NP_610940.1, NP_612069.1	NP_495464.2, NP_503655.2, NP_503681.2, NP_510308.1, NP_510705.1	NP_003042.3, NP_004198.1, NP_004685.2, NP_004686.1, NP_004687.1, NP_004722.2, NP_006508.2, NP_037488.2, NP_061063.2	6183.Smp_134410.2, 6183.Smp_144760.1, 6183.Smp_150090.1, 6183.Smp_151010.1, 6183.Smp_161430.1, 6183.Smp_161850.1, 6183.Smp_168000.1
OG0000032			NP_491853.2, NP_495394.3, NP_497261.2, NP_503409.1, NP_510526.2	NP_001009991.2, NP_003171.2, NP_003576.2, NP_003577.2, NP_005630.1, NP_008918.1, NP_055769.2, NP_057608.2, NP_115674.1, NP_116261.1, NP_542775.2, NP_620135.1	6183.Smp_050630.1, 6183.Smp_069120.1, 6183.Smp_145120.1, 6183.Smp_150920.1, 6183.Smp_151430.1, 6183.Smp_159640.1, 6183.Smp_175650.1, 6183.Smp_175900.1, 6183.Smp_194330.1, 6183.Smp_206290.1
OG0000033	NP_010419.3, NP_011797.3, NP_011828.1, NP_013052.1, NP_013086.1	NP_609207.1	NP_499598.2, NP_507812.3, NP_508121.1, NP_508122.2, NP_509658.1, NP_510479.1	NP_000343.2, NP_000383.2, NP_001162.5, NP_003777.2, NP_004987.2, NP_005679.2, NP_005682.2, NP_005836.2, NP_063915.2, NP_064693.2, NP_150229.2	6183.Smp_129820.1, 6183.Smp_147250.2, 6183.Smp_171740.1
OG0000034	NP_010937.3, NP_011868.1	NP_477502.1	NP_490790.1, NP_492108.1, NP_492312.1, NP_499921.2, NP_501921.1, NP_505157.1, NP_505840.1, NP_506160.1, NP_506290.1	NP_000163.2, NP_002058.2, NP_002060.4, NP_002061.1, NP_002063.2, NP_002064.1, NP_004288.1, NP_005263.1, NP_006487.1, NP_066268.1	6183.Smp_005790.1, 6183.Smp_016250.2, 6183.Smp_016630.1, 6183.Smp_020080.1
OG0000035		NP_524153.1, NP_524805.1, NP_524851.1, NP_524953.1, NP_610245.2, NP_610633.1	NP_503315.1, NP_503318.1, NP_503528.2, NP_509497.2	NP_000479.1, NP_000593.1, NP_002566.1, NP_002630.2, NP_002631.3, NP_003775.1, NP_004146.1, NP_004559.4, NP_005015.1, NP_005016.1, NP_006208.1, NP_008850.1, NP_036529.1, NP_109591.1, NP_536722.1, NP_536723.2	
OG0000036		NP_611827.2	NP_492405.3, NP_505017.1, NP_505901.2, NP_508681.3, NP_510116.2	NP_002612.1, NP_005090.3, NP_008919.3, NP_008968.4, NP_008969.2, NP_055059.2, NP_055087.2, NP_055509.2, NP_079093.2, NP_079279.3, NP_112217.2, NP_112219.3, NP_443098.3, NP_542453.2, NP_598377.4, NP_922932.2	6183.Smp_124500.1, 6183.Smp_146730.1, 6183.Smp_171690.1, 6183.Smp_180810.1
OG0000037			NP_494784.1, NP_494785.1, NP_500109.1, NP_500111.3, NP_503460.1, NP_503461.1, NP_503561.2, NP_504153.1, NP_504765.2, NP_504766.1, NP_504767.1, NP_504768.1, NP_504769.1, NP_504770.2, NP_504771.1, NP_504798.2, NP_505588.1, NP_505589.1, NP_506854.1, NP_506905.1, NP_506987.1, NP_507015.3, NP_507045.2, NP_507194.2, NP_507636.1, NP_509893.3		
OG0000038			NP_492919.2, NP_492921.2, NP_492922.1, NP_492926.1, NP_492931.1, NP_493090.1, NP_493092.1, NP_493118.2, NP_493119.2, NP_493122.2, NP_493137.2, NP_493149.2, NP_493155.1, NP_493156.2, NP_494671.2, NP_494672.2, NP_494675.3, NP_496701.1, NP_496702.1, NP_497849.1, NP_501076.2, NP_501621.1, NP_501622.3, NP_503239.2, NP_503258.1, NP_506457.2		
OG0000039	NP_011569.1, NP_011827.1	NP_524074.1, NP_609542.1	NP_491002.2, NP_493960.3, NP_500425.2, NP_501707.1, NP_505394.2, NP_505905.2, NP_508461.1	NP_003973.3, NP_003974.3, NP_036376.2, NP_055085.1, NP_055146.1, NP_062823.1, NP_620172.2	6183.Smp_054010.1, 6183.Smp_083990.1, 6183.Smp_127000.1, 6183.Smp_150990.1, 6183.Smp_151000.1, 6183.Smp_151090.1, 6183.Smp_181630.1
OG0000040	NP_009553.1, NP_010510.3		NP_496897.1, NP_502132.1, NP_505197.1, NP_505201.3, NP_505278.2, NP_505464.1, NP_507031.2	NP_003509.1, NP_003510.1, NP_003511.1, NP_003512.1, NP_003514.2, NP_003515.1, NP_003517.2, NP_003518.2, NP_003519.1, NP_059141.1, NP_066402.2, NP_066406.1, NP_066407.1, NP_542160.1	6183.Smp_036220.1, 6183.Smp_108390.1
