Orthogroup	Total	kog_elegans_pos_go	protein_mansoni
OG0000046	14	NP_491664.1, NP_492358.3, NP_500128.2	6183.Smp_130560.1, 6183.Smp_130570.1, 6183.Smp_134180.1, 6183.Smp_134190.1, 6183.Smp_135210.1, 6183.Smp_144050.1, 6183.Smp_152750.1, 6183.Smp_156220.1, 6183.Smp_157620.1, 6183.Smp_160050.1, 6183.Smp_169380.1
OG0000052	12	NP_503175.1	6183.Smp_112270.1, 6183.Smp_117990.1, 6183.Smp_122020.1, 6183.Smp_123710.1, 6183.Smp_165800.1, 6183.Smp_167350.1, 6183.Smp_176350.1, 6183.Smp_187770.1, 6183.Smp_191250.1, 6183.Smp_192030.1, 6183.Smp_199470.1
OG0000054	12	NP_506570.1	6183.Smp_032370.1, 6183.Smp_076580.1, 6183.Smp_081430.1, 6183.Smp_120070.1, 6183.Smp_139680.1, 6183.Smp_139700.1, 6183.Smp_170300.1, 6183.Smp_179840.1, 6183.Smp_179850.1, 6183.Smp_203940.1, 6183.Smp_203950.1
OG0000057	12	NP_492615.2, NP_496066.2, NP_500114.3, NP_503328.2, NP_503435.1, NP_504139.1, NP_506438.2, NP_506798.1, NP_507272.2, NP_507334.1, NP_507649.2	6183.Smp_174700.1
OG0000058	12	NP_492616.1, NP_495552.2, NP_499768.2, NP_501114.2, NP_501871.2, NP_502533.2, NP_503652.3, NP_503678.3, NP_505445.2, NP_508154.2, NP_510549.3	6183.Smp_134430.1
OG0000063	11	NP_507901.2	6183.Smp_088570.1, 6183.Smp_107700.1, 6183.Smp_110040.1, 6183.Smp_110310.1, 6183.Smp_184370.1, 6183.Smp_184780.1, 6183.Smp_186960.1, 6183.Smp_189290.1, 6183.Smp_190390.1, 6183.Smp_191130.1
OG0000065	11	NP_490768.3, NP_492043.2, NP_495046.1, NP_495058.1, NP_496965.1, NP_498050.1, NP_501030.2, NP_501153.2, NP_503529.1, NP_505555.2	6183.Smp_158950.1
OG0000070	10	NP_492371.1	6183.Smp_084330.1, 6183.Smp_104170.1, 6183.Smp_117880.1, 6183.Smp_124900.1, 6183.Smp_144740.1, 6183.Smp_147200.1, 6183.Smp_154120.1, 6183.Smp_159900.1, 6183.Smp_179400.1
OG0000071	10	NP_490744.1, NP_499799.1	6183.Smp_101650.1, 6183.Smp_119730.1, 6183.Smp_125560.1, 6183.Smp_138660.1, 6183.Smp_142680.1, 6183.Smp_175090.3, 6183.Smp_198870.1, 6183.Smp_209040.1
OG0000077	9	NP_496485.2	6183.Smp_027550.1, 6183.Smp_048160.1, 6183.Smp_062240.1, 6183.Smp_123600.1, 6183.Smp_155640.1, 6183.Smp_159350.1, 6183.Smp_167130.1, 6183.Smp_168860.1
OG0000080	9	NP_495132.2, NP_495133.1, NP_503783.1, NP_508160.1, NP_508836.5, NP_509628.1, NP_510648.1, NP_510649.3	6183.Smp_170930.1
OG0000081	9	NP_491997.1, NP_498552.2, NP_509032.1	6183.Smp_015840.1, 6183.Smp_049160.1, 6183.Smp_128060.1, 6183.Smp_147010.1, 6183.Smp_152210.1, 6183.Smp_181200.1
OG0000082	9	NP_495450.1, NP_495979.1, NP_505451.1, NP_506502.1, NP_508035.1, NP_508231.2, NP_508731.3, NP_510728.2	6183.Smp_168520.1
OG0000084	9	NP_492512.1, NP_492513.1, NP_507059.1, NP_507393.1, NP_507574.2, NP_507857.1, NP_510192.1, NP_510193.4	6183.Smp_052910.1
OG0000085	9	NP_507519.2	6183.Smp_020840.1, 6183.Smp_036470.1, 6183.Smp_134980.1, 6183.Smp_134990.1, 6183.Smp_135010.1, 6183.Smp_135020.1, 6183.Smp_141800.1, 6183.Smp_145560.1
OG0000101	8	NP_495043.1, NP_496961.2, NP_508818.1, NP_508864.2	6183.Smp_033010.1, 6183.Smp_096390.1, 6183.Smp_096410.2, 6183.Smp_134470.1
OG0000106	8	NP_492381.3, NP_494786.5, NP_495727.1, NP_498903.3, NP_506091.2, NP_506416.2, NP_508732.3	6183.Smp_141570.1
OG0000107	8	NP_491993.1, NP_495168.1, NP_496771.1, NP_505746.2, NP_506408.1, NP_508618.2, NP_510554.2	6183.Smp_159400.1
OG0000109	8	NP_506031.1	6183.Smp_089270.1, 6183.Smp_089290.1, 6183.Smp_170830.1, 6183.Smp_170840.1, 6183.Smp_179250.1, 6183.Smp_179260.1, 6183.Smp_186710.1
OG0000110	8	NP_506019.2	6183.Smp_088800.1, 6183.Smp_178380.1, 6183.Smp_179140.1, 6183.Smp_190720.1, 6183.Smp_194140.1, 6183.Smp_194150.1, 6183.Smp_199340.1
OG0000116	8	NP_492081.1, NP_499625.2, NP_499802.3, NP_508919.2, NP_509651.2, NP_510157.2	6183.Smp_011680.1, 6183.Smp_026810.1
OG0000126	7	NP_494495.3, NP_497825.2, NP_498425.2, NP_499442.2, NP_502164.1	6183.Smp_126450.1, 6183.Smp_137890.1
OG0000127	7	NP_490675.1, NP_509206.1	6183.Smp_005670.1, 6183.Smp_023550.1, 6183.Smp_134000.1, 6183.Smp_173990.1, 6183.Smp_190370.1
OG0000128	7	NP_495510.1, NP_502044.1	6183.Smp_005720.1, 6183.Smp_005740.1, 6183.Smp_125200.1, 6183.Smp_125210.1, 6183.Smp_125220.1
OG0000129	7	NP_493966.1	6183.Smp_080070.1, 6183.Smp_180630.1, 6183.Smp_184340.1, 6183.Smp_186830.1, 6183.Smp_199440.1, 6183.Smp_209080.1
OG0000130	7	NP_498783.1	6183.Smp_050830.1, 6183.Smp_064190.1, 6183.Smp_064200.1, 6183.Smp_156740.1, 6183.Smp_159670.1, 6183.Smp_166990.1
OG0000131	7	NP_505809.2	6183.Smp_064040.1, 6183.Smp_096670.1, 6183.Smp_103360.1, 6183.Smp_159730.1, 6183.Smp_175160.1, 6183.Smp_179800.1
OG0000133	7	NP_498109.1	6183.Smp_045490.1, 6183.Smp_045500.1, 6183.Smp_045550.1, 6183.Smp_045560.1, 6183.Smp_146690.1, 6183.Smp_207040.1
OG0000134	7	NP_498645.1	6183.Smp_121070.1, 6183.Smp_127710.1, 6183.Smp_172940.1, 6183.Smp_174500.1, 6183.Smp_178290.1, 6183.Smp_181330.1
OG0000138	7	NP_500595.2, NP_500596.2, NP_501599.1, NP_507841.1, NP_508903.1	6183.Smp_002600.1, 6183.Smp_071610.1
OG0000141	7	NP_493374.2, NP_495072.2, NP_495075.1, NP_495079.1, NP_504301.1, NP_508159.2	6183.Smp_150820.1
OG0000142	7	NP_509706.2, NP_509707.2	6183.Smp_124050.4, 6183.Smp_124060.1, 6183.Smp_124070.1, 6183.Smp_163400.1, 6183.Smp_200460.1
OG0000146	7	NP_491906.1, NP_495716.1, NP_505206.2, NP_505207.1, NP_510285.2	6183.Smp_031680.1, 6183.Smp_139330.1
OG0000147	7	NP_498493.1	6183.Smp_013060.1, 6183.Smp_033950.2, 6183.Smp_085910.1, 6183.Smp_157540.1, 6183.Smp_169780.1, 6183.Smp_212740.1
OG0000148	7	NP_500046.2, NP_504947.2, NP_504949.2	6183.Smp_034300.1, 6183.Smp_051130.1, 6183.Smp_128330.1, 6183.Smp_130870.1
OG0000161	6	NP_494511.2, NP_494542.1, NP_494543.1, NP_494548.1, NP_499695.1	6183.Smp_089430.1
OG0000162	6	NP_491189.1	6183.Smp_135470.1, 6183.Smp_159710.1, 6183.Smp_168730.1, 6183.Smp_180870.1, 6183.Smp_193670.1
OG0000163	6	NP_491260.2	6183.Smp_011660.1, 6183.Smp_118940.1, 6183.Smp_131690.1, 6183.Smp_140410.1, 6183.Smp_192170.1
OG0000164	6	NP_490770.1, NP_492409.2, NP_494948.2, NP_506009.1, NP_508832.2	6183.Smp_151720.1
OG0000165	6	NP_491927.1, NP_501440.1, NP_501727.1, NP_504498.2, NP_509733.1	6183.Smp_079220.1
OG0000168	6	NP_493231.1	6183.Smp_047420.1, 6183.Smp_134780.1, 6183.Smp_150210.1, 6183.Smp_176120.1, 6183.Smp_205270.1
OG0000169	6	NP_491412.1, NP_496552.1, NP_498609.1, NP_499531.1, NP_509822.2	6183.Smp_149150.1
OG0000170	6	NP_497659.1, NP_504649.1, NP_505413.1, NP_507469.1	6183.Smp_158510.1, 6183.Smp_158520.1
OG0000171	6	NP_499828.1, NP_500632.3, NP_506561.1, NP_506749.1, NP_506751.1	6183.Smp_040130.1
OG0000172	6	NP_491604.3	6183.Smp_027970.1, 6183.Smp_087270.1, 6183.Smp_093580.1, 6183.Smp_156060.1, 6183.Smp_157510.1
OG0000174	6	NP_498380.1, NP_501919.1, NP_503398.1	6183.Smp_136100.1, 6183.Smp_143970.1, 6183.Smp_158450.2
OG0000176	6	NP_501707.1, NP_508461.1	6183.Smp_054010.1, 6183.Smp_150990.1, 6183.Smp_151000.1, 6183.Smp_151090.1
OG0000178	6	NP_494736.1, NP_495625.3, NP_501584.2, NP_502225.1, NP_503069.1	6183.Smp_060480.1
OG0000183	6	NP_492502.2, NP_495728.1, NP_496302.2, NP_496624.3	6183.Smp_010110.1, 6183.Smp_056700.1
OG0000184	6	NP_491627.2, NP_498742.1, NP_505632.1, NP_505633.1, NP_510825.1	6183.Smp_044550.8
OG0000186	6	NP_496897.1, NP_505197.1, NP_505201.3, NP_505278.2, NP_507031.2	6183.Smp_108390.1
OG0000187	6	NP_508509.3	6183.Smp_001030.1, 6183.Smp_127420.1, 6183.Smp_142030.1, 6183.Smp_144700.1, 6183.Smp_212370.1
OG0000189	6	NP_493339.1, NP_499160.2, NP_499201.1	6183.Smp_105910.1, 6183.Smp_127010.1, 6183.Smp_163470.1
OG0000190	6	NP_510030.2	6183.Smp_135870.1, 6183.Smp_153840.1, 6183.Smp_161670.1, 6183.Smp_162930.1, 6183.Smp_210760.1
OG0000191	6	NP_492033.1	6183.Smp_031180.1, 6183.Smp_031190.1, 6183.Smp_160880.1, 6183.Smp_166500.1, 6183.Smp_166530.2
OG0000192	6	NP_503184.1, NP_503233.1, NP_504662.1, NP_505527.1, NP_506229.1	6183.Smp_011000.1
OG0000194	6	NP_495481.2, NP_501164.2, NP_503056.4, NP_505883.1, NP_509416.2	6183.Smp_000900.1
OG0000195	6	NP_509725.2	6183.Smp_007070.1, 6183.Smp_018690.1, 6183.Smp_118040.1, 6183.Smp_132410.1, 6183.Smp_202290.1
OG0000196	6	NP_504555.2	6183.Smp_030650.1, 6183.Smp_138730.1, 6183.Smp_138750.1, 6183.Smp_175120.2, 6183.Smp_212520.1
OG0000197	6	NP_497612.2, NP_505167.2, NP_505983.2, NP_508977.1, NP_509828.2	6183.Smp_123670.1
OG0000198	6	NP_492506.1, NP_501958.1	6183.Smp_073920.1, 6183.Smp_124240.1, 6183.Smp_160290.1, 6183.Smp_163170.1
OG0000199	6	NP_500741.2, NP_507250.1, NP_509488.2, NP_509906.1	6183.Smp_018250.2, 6183.Smp_059170.2
OG0000200	6	NP_495131.3, NP_496070.1, NP_508440.1, NP_508725.1, NP_509367.1	6183.Smp_015670.1
OG0000215	5	NP_498741.3	6183.Smp_003980.1, 6183.Smp_089460.2, 6183.Smp_137410.1, 6183.Smp_157500.1
OG0000216	5	NP_491707.2	6183.Smp_055780.1, 6183.Smp_089200.1, 6183.Smp_137080.1, 6183.Smp_170820.1
OG0000219	5	NP_503064.2	6183.Smp_037540.2, 6183.Smp_052510.1, 6183.Smp_142810.1, 6183.Smp_156550.1
OG0000221	5	NP_492975.3, NP_492976.2, NP_493321.1, NP_503934.2	6183.Smp_008860.1
OG0000222	5	NP_510429.1	6183.Smp_008260.1, 6183.Smp_100360.1, 6183.Smp_125310.1, 6183.Smp_135200.1
OG0000223	5	NP_504514.2, NP_504531.2, NP_507226.2	6183.Smp_011100.1, 6183.Smp_146010.1
OG0000224	5	NP_492017.3, NP_498887.2, NP_502564.2	6183.Smp_147430.1, 6183.Smp_153780.1
OG0000229	5	NP_500017.2, NP_501366.1, NP_501368.1	6183.Smp_004220.1, 6183.Smp_167750.1
OG0000231	5	NP_497008.1, NP_503547.1, NP_503549.1, NP_504046.1	6183.Smp_125070.2
OG0000235	5	NP_497717.2, NP_505874.1	6183.Smp_129250.1, 6183.Smp_158620.1, 6183.Smp_199900.1
OG0000236	5	NP_493114.2, NP_493121.2, NP_493160.2, NP_496076.1	6183.Smp_083130.1
OG0000237	5	NP_509408.1	6183.Smp_139160.1, 6183.Smp_149730.1, 6183.Smp_187140.1, 6183.Smp_210500.1
OG0000238	5	NP_493626.1, NP_495126.1, NP_496876.1, NP_500517.1	6183.Smp_144140.1
OG0000239	5	NP_494993.2, NP_495697.2	6183.Smp_051990.1, 6183.Smp_139810.1, 6183.Smp_149990.1
OG0000240	5	NP_492133.1, NP_492580.2, NP_499190.2, NP_508975.2	6183.Smp_038530.1
OG0000242	5	NP_491033.1, NP_499756.3, NP_499990.1	6183.Smp_010370.1, 6183.Smp_099890.1
OG0000243	5	NP_502314.1, NP_508419.1, NP_508653.1, NP_508654.1	6183.Smp_098710.1
OG0000244	5	NP_497812.2, NP_505106.1, NP_506164.1, NP_509344.1	6183.Smp_082240.1
OG0000245	5	NP_492642.1, NP_501718.1, NP_505463.1	6183.Smp_002930.1, 6183.Smp_089840.1
OG0000246	5	NP_499162.2	6183.Smp_000710.1, 6183.Smp_131570.1, 6183.Smp_153690.1, 6183.Smp_196290.1
OG0000247	5	NP_498106.1, NP_501176.1, NP_506439.1, NP_509638.2	6183.Smp_196620.1
OG0000249	5	NP_504341.1, NP_504342.2	6183.Smp_125970.1, 6183.Smp_135890.1, 6183.Smp_149930.1
OG0000250	5	NP_496646.2, NP_504823.2, NP_505371.2	6183.Smp_094660.1, 6183.Smp_116290.1
OG0000251	5	NP_502010.3, NP_502011.1, NP_507025.1	6183.Smp_084600.1, 6183.Smp_095090.1
OG0000252	5	NP_495182.2, NP_506971.2, NP_506972.1, NP_510857.2	6183.Smp_157080.1
OG0000253	5	NP_501023.3	6183.Smp_084890.1, 6183.Smp_104270.1, 6183.Smp_153340.1, 6183.Smp_153390.2
OG0000254	5	NP_497879.2, NP_497880.2, NP_501732.1, NP_503573.1	6183.Smp_132570.1
OG0000255	5	NP_500781.2, NP_505506.2, NP_507773.1	6183.Smp_108610.1, 6183.Smp_177780.1
OG0000256	5	NP_491645.1, NP_496366.1, NP_499393.1	6183.Smp_097750.1, 6183.Smp_097800.3
OG0000257	5	NP_493545.1	6183.Smp_049850.1, 6183.Smp_103560.1, 6183.Smp_148820.1, 6183.Smp_168500.1
OG0000259	5	NP_492641.1, NP_501203.2	6183.Smp_053300.1, 6183.Smp_053390.1, 6183.Smp_194870.1
OG0000260	5	NP_509335.1, NP_509336.1, NP_510069.1	6183.Smp_164760.1, 6183.Smp_171460.1
OG0000261	5	NP_493599.2, NP_493600.2, NP_493601.2	6183.Smp_155460.1, 6183.Smp_194810.1
OG0000262	5	NP_496982.2	6183.Smp_048980.1, 6183.Smp_055600.1, 6183.Smp_192580.1, 6183.Smp_197780.1
OG0000263	5	NP_504031.1, NP_504032.1	6183.Smp_049730.2, 6183.Smp_168850.1, 6183.Smp_170540.1
OG0000264	5	NP_494937.4, NP_494978.4	6183.Smp_020300.1, 6183.Smp_101630.1, 6183.Smp_162410.1
OG0000265	5	NP_495969.2, NP_495970.1	6183.Smp_076950.1, 6183.Smp_159740.1, 6183.Smp_159760.1
OG0000268	5	NP_491027.1, NP_491057.1, NP_494881.2, NP_507054.1	6183.Smp_194770.1
OG0000274	5	NP_496040.1, NP_496396.2, NP_509341.2, NP_509949.1	6183.Smp_136960.1
OG0000275	5	NP_491862.1, NP_496197.2, NP_498972.1, NP_503446.1	6183.Smp_152200.1
OG0000276	5	NP_510445.1	6183.Smp_062980.1, 6183.Smp_095630.1, 6183.Smp_100080.1, 6183.Smp_174190.1
OG0000277	5	NP_492636.1	6183.Smp_142230.1, 6183.Smp_173150.1, 6183.Smp_176870.1, 6183.Smp_181530.1
OG0000278	5	NP_502518.2, NP_502519.2	6183.Smp_130410.1, 6183.Smp_130420.1, 6183.Smp_143940.1
OG0000279	5	NP_490872.1	6183.Smp_021370.1, 6183.Smp_146430.1, 6183.Smp_153110.1, 6183.Smp_211240.1
OG0000280	5	NP_491678.1, NP_506680.1, NP_509375.1, NP_510410.1	6183.Smp_003770.1
OG0000281	5	NP_491926.1, NP_491928.1, NP_506440.1, NP_506444.2	6183.Smp_095360.1
OG0000282	5	NP_500171.2, NP_506319.1, NP_506452.5, NP_510557.3	6183.Smp_149980.1
OG0000283	5	NP_506171.2	6183.Smp_015390.1, 6183.Smp_145610.1, 6183.Smp_145840.1, 6183.Smp_178480.1
OG0000284	5	NP_499892.1, NP_505943.2, NP_505945.1, NP_506123.2	6183.Smp_179120.1
OG0000286	5	NP_491781.2	6183.Smp_064860.1, 6183.Smp_090860.1, 6183.Smp_151350.1, 6183.Smp_165540.1
OG0000319	4	NP_493746.1	6183.Smp_007180.1, 6183.Smp_120320.1, 6183.Smp_149300.1
OG0000320	4	NP_491778.2, NP_499813.1, NP_510375.2	6183.Smp_062250.1
OG0000321	4	NP_497700.1, NP_510828.1, NP_510829.2	6183.Smp_132670.1
OG0000322	4	NP_508051.1	6183.Smp_014780.2, 6183.Smp_037230.1, 6183.Smp_149130.1
OG0000323	4	NP_491176.1	6183.Smp_012900.1, 6183.Smp_113620.3, 6183.Smp_129720.1
OG0000324	4	NP_500025.1	6183.Smp_019690.1, 6183.Smp_064590.1, 6183.Smp_070200.1
OG0000325	4	NP_495120.1, NP_495121.1, NP_496718.1	6183.Smp_166190.1
OG0000326	4	NP_509396.1	6183.Smp_037210.1, 6183.Smp_125060.1, 6183.Smp_176990.1
OG0000329	4	NP_510155.3	6183.Smp_156680.1, 6183.Smp_156700.1, 6183.Smp_199810.1
OG0000330	4	NP_497178.1, NP_499742.1	6183.Smp_132300.1, 6183.Smp_173450.1
OG0000331	4	NP_491534.2, NP_499773.2	6183.Smp_168390.1, 6183.Smp_196450.1
OG0000332	4	NP_491429.1	6183.Smp_004810.3, 6183.Smp_028990.1, 6183.Smp_035580.1
OG0000333	4	NP_498728.1, NP_507142.2	6183.Smp_056890.1, 6183.Smp_152710.2
OG0000334	4	NP_497174.1, NP_509501.2, NP_509502.3	6183.Smp_082050.1
OG0000335	4	NP_492696.1, NP_509273.1	6183.Smp_129480.1, 6183.Smp_129490.1
OG0000336	4	NP_501588.1, NP_501594.1	6183.Smp_005260.1, 6183.Smp_064360.1
OG0000337	4	NP_492792.1, NP_506197.1, NP_508026.1	6183.Smp_004780.1
OG0000338	4	NP_493982.1, NP_503413.2	6183.Smp_046790.1, 6183.Smp_127200.1
OG0000341	4	NP_508671.2	6183.Smp_147450.1, 6183.Smp_152330.1, 6183.Smp_164380.1
OG0000343	4	NP_491297.1, NP_501987.1, NP_502047.1	6183.Smp_082490.1
OG0000344	4	NP_498146.1, NP_505327.2, NP_508580.2	6183.Smp_171030.1
OG0000345	4	NP_494914.1, NP_495703.2, NP_498095.3	6183.Smp_033260.2
OG0000346	4	NP_491059.2	6183.Smp_016920.1, 6183.Smp_047700.1, 6183.Smp_048680.1
OG0000347	4	NP_502236.1, NP_509939.1	6183.Smp_009760.1, 6183.Smp_009780.2
OG0000348	4	NP_492586.2, NP_495848.1, NP_507685.1	6183.Smp_029620.1
OG0000349	4	NP_493781.1, NP_494733.2, NP_494734.3	6183.Smp_121800.1
OG0000350	4	NP_497576.1, NP_497577.2	6183.Smp_049990.1, 6183.Smp_143500.1
OG0000351	4	NP_509322.2, NP_509682.1, NP_509683.1	6183.Smp_086690.1
OG0000354	4	NP_494897.3, NP_501419.2	6183.Smp_020340.1, 6183.Smp_133210.1
OG0000355	4	NP_498040.1	6183.Smp_070170.1, 6183.Smp_081440.1, 6183.Smp_138030.1
OG0000357	4	NP_509123.2	6183.Smp_094950.1, 6183.Smp_094980.1, 6183.Smp_128560.1
OG0000359	4	NP_490662.1, NP_505098.1	6183.Smp_064650.1, 6183.Smp_178800.1
OG0000363	4	NP_492318.1, NP_493968.1, NP_495741.2	6183.Smp_137520.1
OG0000365	4	NP_505690.2	6183.Smp_094390.1, 6183.Smp_170370.1, 6183.Smp_170450.1
OG0000366	4	NP_490812.1, NP_505112.1	6183.Smp_046740.1, 6183.Smp_048430.1
OG0000367	4	NP_506137.1	6183.Smp_075790.1, 6183.Smp_075800.1, 6183.Smp_179170.1
OG0000368	4	NP_502892.3, NP_502904.1, NP_502920.3	6183.Smp_140610.1
