Orthogroup	costa_droso_pos_go	protein_mansoni
OG0000010		6183.Smp_001890.1, 6183.Smp_002060.1, 6183.Smp_002070.1, 6183.Smp_002630.1, 6183.Smp_070240.1, 6183.Smp_070250.1, 6183.Smp_078490.1, 6183.Smp_120670.1, 6183.Smp_123090.1, 6183.Smp_123540.1, 6183.Smp_123550.1, 6183.Smp_127130.1, 6183.Smp_139450.1, 6183.Smp_141550.1, 6183.Smp_141560.1, 6183.Smp_154260.1, 6183.Smp_154290.1, 6183.Smp_159280.1, 6183.Smp_159290.1, 6183.Smp_160250.1, 6183.Smp_176160.1, 6183.Smp_176170.1, 6183.Smp_176180.1, 6183.Smp_179480.1, 6183.Smp_193680.1, 6183.Smp_193710.1, 6183.Smp_199890.1, 6183.Smp_210620.1
OG0000011		6183.Smp_000460.1, 6183.Smp_000850.1, 6183.Smp_005070.1, 6183.Smp_006690.1, 6183.Smp_020920.1, 6183.Smp_022330.1, 6183.Smp_035200.4, 6183.Smp_049600.4, 6183.Smp_078800.1, 6183.Smp_083450.1, 6183.Smp_096010.1, 6183.Smp_104730.1, 6183.Smp_105960.1, 6183.Smp_120800.1, 6183.Smp_132870.1, 6183.Smp_136540.1, 6183.Smp_136910.1, 6183.Smp_141080.1, 6183.Smp_145670.1, 6183.Smp_146900.1, 6183.Smp_151650.1, 6183.Smp_153360.1, 6183.Smp_172510.1, 6183.Smp_173390.1, 6183.Smp_196180.1, 6183.Smp_210160.1
OG0000012	DEG20070072	6183.Smp_004350.1, 6183.Smp_007770.1, 6183.Smp_027370.1, 6183.Smp_028100.1, 6183.Smp_041390.1, 6183.Smp_051010.1, 6183.Smp_055920.1, 6183.Smp_055960.1, 6183.Smp_059750.2, 6183.Smp_067980.4, 6183.Smp_067990.4, 6183.Smp_068000.1, 6183.Smp_082050.1, 6183.Smp_082820.1, 6183.Smp_083030.1, 6183.Smp_083400.1, 6183.Smp_103710.1, 6183.Smp_118220.1, 6183.Smp_145350.1, 6183.Smp_159540.1, 6183.Smp_169440.1, 6183.Smp_174670.1, 6183.Smp_180170.1
OG0000013		6183.Smp_000680.1, 6183.Smp_004080.1, 6183.Smp_038840.1, 6183.Smp_044020.1, 6183.Smp_044160.1, 6183.Smp_044690.1, 6183.Smp_055190.1, 6183.Smp_058130.1, 6183.Smp_061250.1, 6183.Smp_064150.1, 6183.Smp_079220.1, 6183.Smp_083720.1, 6183.Smp_093630.2, 6183.Smp_106060.1, 6183.Smp_121130.1, 6183.Smp_121160.1, 6183.Smp_137000.1, 6183.Smp_137160.1, 6183.Smp_142930.1, 6183.Smp_148470.1, 6183.Smp_149320.1, 6183.Smp_193410.1, 6183.Smp_194600.1
OG0000014		6183.Smp_011560.1, 6183.Smp_013370.3, 6183.Smp_017430.1, 6183.Smp_019340.1, 6183.Smp_024820.2, 6183.Smp_035020.2, 6183.Smp_059530.2, 6183.Smp_062980.1, 6183.Smp_075720.1, 6183.Smp_095630.1, 6183.Smp_099770.1, 6183.Smp_100080.1, 6183.Smp_131840.1, 6183.Smp_142230.1, 6183.Smp_154180.1, 6183.Smp_154190.1, 6183.Smp_173150.1, 6183.Smp_174190.1, 6183.Smp_176870.1, 6183.Smp_181530.1, 6183.Smp_194960.1, 6183.Smp_194970.1, 6183.Smp_194980.1
OG0000015		6183.Smp_035390.1, 6183.Smp_130560.1, 6183.Smp_130570.1, 6183.Smp_132370.1, 6183.Smp_134180.1, 6183.Smp_134190.1, 6183.Smp_135210.1, 6183.Smp_135920.1, 6183.Smp_139930.1, 6183.Smp_144050.1, 6183.Smp_144810.1, 6183.Smp_150220.2, 6183.Smp_152750.1, 6183.Smp_156220.1, 6183.Smp_156870.1, 6183.Smp_157620.1, 6183.Smp_158400.1, 6183.Smp_160050.1, 6183.Smp_165740.1, 6183.Smp_167520.1, 6183.Smp_169380.1, 6183.Smp_170870.1, 6183.Smp_172890.1
OG0000016		6183.Smp_002470.1, 6183.Smp_026200.1, 6183.Smp_026790.1, 6183.Smp_026860.1, 6183.Smp_032780.1, 6183.Smp_042790.1, 6183.Smp_048030.1, 6183.Smp_063550.1, 6183.Smp_088610.1, 6183.Smp_096830.1, 6183.Smp_101840.1, 6183.Smp_109240.1, 6183.Smp_114130.1, 6183.Smp_114870.1, 6183.Smp_120020.1, 6183.Smp_125000.1, 6183.Smp_138800.1, 6183.Smp_139590.1, 6183.Smp_174250.1, 6183.Smp_175190.1, 6183.Smp_178400.1, 6183.Smp_197170.1
OG0000017		6183.Smp_026570.1, 6183.Smp_034610.1, 6183.Smp_037510.1, 6183.Smp_058470.1, 6183.Smp_066900.1, 6183.Smp_073360.1, 6183.Smp_073380.1, 6183.Smp_088060.1, 6183.Smp_105760.1, 6183.Smp_117170.1, 6183.Smp_129020.1, 6183.Smp_140850.1, 6183.Smp_140860.1, 6183.Smp_141290.2, 6183.Smp_141390.1, 6183.Smp_142390.1, 6183.Smp_146940.1, 6183.Smp_161890.1, 6183.Smp_161900.1, 6183.Smp_170070.1, 6183.Smp_187190.1, 6183.Smp_200490.1
OG0000018		6183.Smp_111980.1, 6183.Smp_151790.1, 6183.Smp_200060.1, 6183.Smp_201230.1, 6183.Smp_201840.1, 6183.Smp_201900.1, 6183.Smp_202400.1, 6183.Smp_202450.1, 6183.Smp_203620.1, 6183.Smp_203660.1, 6183.Smp_203830.1, 6183.Smp_203930.1, 6183.Smp_204010.1, 6183.Smp_204150.1, 6183.Smp_204920.1, 6183.Smp_204980.1, 6183.Smp_205380.1, 6183.Smp_205540.1, 6183.Smp_205600.1, 6183.Smp_205630.1, 6183.Smp_205690.1, 6183.Smp_206060.1
OG0000019		6183.Smp_001100.1, 6183.Smp_001280.1, 6183.Smp_001330.1, 6183.Smp_034160.1, 6183.Smp_040110.1, 6183.Smp_050520.1, 6183.Smp_089670.1, 6183.Smp_105360.1, 6183.Smp_122740.1, 6183.Smp_122750.1, 6183.Smp_132540.1, 6183.Smp_135370.1, 6183.Smp_140600.1, 6183.Smp_140800.1, 6183.Smp_141250.1, 6183.Smp_143300.1, 6183.Smp_145730.1, 6183.Smp_157070.1, 6183.Smp_167190.1, 6183.Smp_173560.1, 6183.Smp_183600.1
OG0000020		6183.Smp_002860.1, 6183.Smp_005170.1, 6183.Smp_023190.1, 6183.Smp_028860.1, 6183.Smp_029950.1, 6183.Smp_061980.1, 6183.Smp_084210.1, 6183.Smp_086310.1, 6183.Smp_086370.1, 6183.Smp_099090.1, 6183.Smp_117560.1, 6183.Smp_120750.1, 6183.Smp_138720.1, 6183.Smp_138790.1, 6183.Smp_141260.1, 6183.Smp_166270.1, 6183.Smp_177900.1, 6183.Smp_178320.1, 6183.Smp_188510.1, 6183.Smp_188960.1, 6183.Smp_200580.1
OG0000021		6183.Smp_000710.1, 6183.Smp_017890.1, 6183.Smp_021300.1, 6183.Smp_046430.1, 6183.Smp_069960.1, 6183.Smp_074200.2, 6183.Smp_074400.1, 6183.Smp_089180.1, 6183.Smp_123630.1, 6183.Smp_127630.1, 6183.Smp_128770.1, 6183.Smp_131570.1, 6183.Smp_131830.1, 6183.Smp_139020.1, 6183.Smp_152000.1, 6183.Smp_153690.1, 6183.Smp_173820.1, 6183.Smp_196290.1, 6183.Smp_198740.1, 6183.Smp_212390.1
OG0000022		6183.Smp_035160.1, 6183.Smp_035180.1, 6183.Smp_035870.1, 6183.Smp_046120.1, 6183.Smp_063930.1, 6183.Smp_069240.1, 6183.Smp_081250.1, 6183.Smp_090420.1, 6183.Smp_090430.1, 6183.Smp_094560.1, 6183.Smp_121190.1, 6183.Smp_121920.1, 6183.Smp_129380.1, 6183.Smp_144310.1, 6183.Smp_156640.1, 6183.Smp_160780.1, 6183.Smp_163090.1, 6183.Smp_194490.1, 6183.Smp_194710.1, 6183.Smp_199260.1
OG0000023		6183.Smp_000755.1, 6183.Smp_059140.1, 6183.Smp_088180.1, 6183.Smp_094770.1, 6183.Smp_122860.1, 6183.Smp_125470.1, 6183.Smp_147480.1, 6183.Smp_157440.1, 6183.Smp_159370.1, 6183.Smp_167670.1, 6183.Smp_167780.1, 6183.Smp_168360.1, 6183.Smp_170460.1, 6183.Smp_170470.1, 6183.Smp_170480.1, 6183.Smp_170490.1, 6183.Smp_170500.1, 6183.Smp_175400.1, 6183.Smp_194190.1
OG0000024		6183.Smp_007270.1, 6183.Smp_012600.1, 6183.Smp_014780.2, 6183.Smp_018010.1, 6183.Smp_034550.1, 6183.Smp_046130.1, 6183.Smp_123730.1, 6183.Smp_123740.1, 6183.Smp_128920.1, 6183.Smp_128930.1, 6183.Smp_143470.2, 6183.Smp_143620.1, 6183.Smp_161970.1, 6183.Smp_163360.1, 6183.Smp_163740.1, 6183.Smp_168650.1, 6183.Smp_170310.1, 6183.Smp_176000.1, 6183.Smp_196570.1
OG0000025		6183.Smp_022560.2, 6183.Smp_056560.1, 6183.Smp_105340.1, 6183.Smp_136440.1, 6183.Smp_136450.1, 6183.Smp_142280.1, 6183.Smp_142290.1, 6183.Smp_146620.1, 6183.Smp_148670.1, 6183.Smp_151810.1, 6183.Smp_152350.1, 6183.Smp_152480.1, 6183.Smp_152500.1, 6183.Smp_153100.1, 6183.Smp_155040.1, 6183.Smp_161140.1, 6183.Smp_194700.1, 6183.Smp_196370.1, 6183.Smp_212410.1
OG0000026		6183.Smp_007630.1, 6183.Smp_012900.1, 6183.Smp_019690.1, 6183.Smp_032320.6, 6183.Smp_036270.2, 6183.Smp_064590.1, 6183.Smp_070200.1, 6183.Smp_071640.1, 6183.Smp_078240.1, 6183.Smp_079290.1, 6183.Smp_086600.2, 6183.Smp_089060.1, 6183.Smp_098890.2, 6183.Smp_129720.1, 6183.Smp_133470.1, 6183.Smp_161750.1, 6183.Smp_185230.1, 6183.Smp_192360.1
OG0000027		6183.Smp_008390.1, 6183.Smp_023140.1, 6183.Smp_124150.1, 6183.Smp_124880.1, 6183.Smp_125090.1, 6183.Smp_128820.1, 6183.Smp_128830.1, 6183.Smp_141020.1, 6183.Smp_152360.1, 6183.Smp_162070.1, 6183.Smp_164000.1, 6183.Smp_165180.1, 6183.Smp_165300.1, 6183.Smp_167530.1, 6183.Smp_173920.1, 6183.Smp_186920.1, 6183.Smp_187590.1, 6183.Smp_193730.1
OG0000028		6183.Smp_034920.1, 6183.Smp_067620.1, 6183.Smp_124170.1, 6183.Smp_130810.1, 6183.Smp_137550.1, 6183.Smp_137560.1, 6183.Smp_153140.1, 6183.Smp_153330.1, 6183.Smp_156080.1, 6183.Smp_157410.1, 6183.Smp_158760.1, 6183.Smp_159840.1, 6183.Smp_165620.1, 6183.Smp_165820.1, 6183.Smp_176300.1, 6183.Smp_212280.1, 6183.Smp_212290.1
OG0000029		6183.Smp_003230.1, 6183.Smp_036990.1, 6183.Smp_044530.1, 6183.Smp_062950.1, 6183.Smp_070090.1, 6183.Smp_085740.1, 6183.Smp_122030.1, 6183.Smp_126520.1, 6183.Smp_140490.1, 6183.Smp_147670.1, 6183.Smp_151490.1, 6183.Smp_173170.1, 6183.Smp_176510.1, 6183.Smp_196040.1, 6183.Smp_196890.1, 6183.Smp_212420.1
OG0000030		6183.Smp_010230.1, 6183.Smp_025100.1, 6183.Smp_049510.1, 6183.Smp_062970.1, 6183.Smp_063640.1, 6183.Smp_073560.2, 6183.Smp_073940.1, 6183.Smp_075130.1, 6183.Smp_090070.1, 6183.Smp_094480.1, 6183.Smp_153610.1, 6183.Smp_158700.1, 6183.Smp_160940.1, 6183.Smp_169060.1, 6183.Smp_170170.1, 6183.Smp_210840.1
OG0000031		6183.Smp_010670.1, 6183.Smp_042140.1, 6183.Smp_042150.1, 6183.Smp_045010.1, 6183.Smp_045200.1, 6183.Smp_072620.1, 6183.Smp_072630.1, 6183.Smp_074460.1, 6183.Smp_077310.1, 6183.Smp_086470.1, 6183.Smp_086480.1, 6183.Smp_086530.1, 6183.Smp_146460.1, 6183.Smp_169190.1, 6183.Smp_169200.1, 6183.Smp_195090.1
OG0000032		6183.Smp_016880.1, 6183.Smp_048550.1, 6183.Smp_118940.1, 6183.Smp_131690.1, 6183.Smp_137940.1, 6183.Smp_140410.1, 6183.Smp_146240.1, 6183.Smp_147500.1, 6183.Smp_147510.1, 6183.Smp_154560.1, 6183.Smp_162790.1, 6183.Smp_170290.1, 6183.Smp_183250.1, 6183.Smp_192170.1, 6183.Smp_199720.1, 6183.Smp_211150.1
OG0000033		6183.Smp_019030.1, 6183.Smp_034410.1, 6183.Smp_067060.1, 6183.Smp_085010.1, 6183.Smp_085180.1, 6183.Smp_103610.1, 6183.Smp_105370.1, 6183.Smp_139160.1, 6183.Smp_139240.1, 6183.Smp_141610.1, 6183.Smp_149730.1, 6183.Smp_158410.1, 6183.Smp_158420.1, 6183.Smp_179950.1, 6183.Smp_187140.1, 6183.Smp_210500.1
OG0000034		6183.Smp_056290.1, 6183.Smp_112270.1, 6183.Smp_117990.1, 6183.Smp_122020.1, 6183.Smp_132850.2, 6183.Smp_139510.1, 6183.Smp_165020.1, 6183.Smp_165800.1, 6183.Smp_167350.1, 6183.Smp_176350.1, 6183.Smp_176450.1, 6183.Smp_187770.1, 6183.Smp_191250.1, 6183.Smp_192030.1, 6183.Smp_199470.1, 6183.Smp_206030.1
OG0000035		6183.Smp_001560.1, 6183.Smp_016920.1, 6183.Smp_047420.1, 6183.Smp_047700.1, 6183.Smp_048680.1, 6183.Smp_049970.5, 6183.Smp_071380.4, 6183.Smp_079400.1, 6183.Smp_125460.1, 6183.Smp_134780.1, 6183.Smp_150210.1, 6183.Smp_157360.1, 6183.Smp_176120.1, 6183.Smp_201820.1, 6183.Smp_205270.1
OG0000036		6183.Smp_005470.1, 6183.Smp_019310.1, 6183.Smp_030910.1, 6183.Smp_040680.1, 6183.Smp_051400.1, 6183.Smp_095480.1, 6183.Smp_095500.1, 6183.Smp_095520.1, 6183.Smp_114620.1, 6183.Smp_125010.1, 6183.Smp_125020.1, 6183.Smp_174510.1, 6183.Smp_174520.1, 6183.Smp_200180.1, 6183.Smp_201060.1
OG0000037		6183.Smp_013840.2, 6183.Smp_014170.2, 6183.Smp_040190.1, 6183.Smp_057360.1, 6183.Smp_068990.1, 6183.Smp_094190.1, 6183.Smp_127060.1, 6183.Smp_134910.1, 6183.Smp_142990.1, 6183.Smp_162010.1, 6183.Smp_166150.1, 6183.Smp_169900.2, 6183.Smp_175140.1, 6183.Smp_194630.1, 6183.Smp_194640.1
OG0000038		6183.Smp_015520.1, 6183.Smp_032370.1, 6183.Smp_076580.1, 6183.Smp_078600.1, 6183.Smp_081430.1, 6183.Smp_092740.1, 6183.Smp_120070.1, 6183.Smp_139680.1, 6183.Smp_139700.1, 6183.Smp_151030.1, 6183.Smp_170300.1, 6183.Smp_179840.1, 6183.Smp_179850.1, 6183.Smp_203940.1, 6183.Smp_203950.1
OG0000039		6183.Smp_021590.1, 6183.Smp_028030.1, 6183.Smp_049380.1, 6183.Smp_094890.1, 6183.Smp_126640.1, 6183.Smp_138150.1, 6183.Smp_139070.1, 6183.Smp_142730.1, 6183.Smp_145770.1, 6183.Smp_151960.1, 6183.Smp_173570.1, 6183.Smp_174040.1, 6183.Smp_180150.1, 6183.Smp_180160.1, 6183.Smp_186680.1
