




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Homo sapiens - REFLIST (20580)	Client Text Box Input (2627)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
sensory perception (GO:0007600)	269	3	34.34	-	.09	2.01E-12	3.29E-10
cytokine-mediated signaling pathway (GO:0019221)	115	1	14.68	-	.07	4.08E-06	1.06E-04
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	106	0	13.53	-	 < 0.01	1.08E-06	3.22E-05
intermediate filament organization (GO:0045109)	65	0	8.30	-	 < 0.01	2.50E-04	4.90E-03
lymphocyte mediated immunity (GO:0002449)	105	0	13.40	-	 < 0.01	1.03E-06	3.11E-05
leukocyte mediated immunity (GO:0002443)	106	0	13.53	-	 < 0.01	1.08E-06	3.18E-05
production of molecular mediator of immune response (GO:0002440)	98	0	12.51	-	 < 0.01	2.35E-06	6.39E-05
detection of chemical stimulus involved in sensory perception (GO:0050907)	175	0	22.34	-	 < 0.01	6.15E-11	6.22E-09
detection of stimulus involved in sensory perception (GO:0050906)	181	0	23.10	-	 < 0.01	2.64E-11	3.73E-09
cell chemotaxis (GO:0060326)	65	0	8.30	-	 < 0.01	2.50E-04	4.86E-03
antimicrobial humoral response (GO:0019730)	63	0	8.04	-	 < 0.01	4.02E-04	7.35E-03
immune effector process (GO:0002252)	131	0	16.72	-	 < 0.01	3.82E-08	1.76E-06
adaptive immune response (GO:0002250)	114	0	14.55	-	 < 0.01	2.87E-07	1.09E-05
humoral immune response (GO:0006959)	83	0	10.59	-	 < 0.01	1.95E-05	4.64E-04
immunoglobulin mediated immune response (GO:0016064)	104	0	13.28	-	 < 0.01	1.01E-06	3.10E-05
detection of chemical stimulus (GO:0009593)	181	0	23.10	-	 < 0.01	2.64E-11	3.50E-09
sensory perception of chemical stimulus (GO:0007606)	225	0	28.72	-	 < 0.01	7.31E-14	1.55E-11
regulation of system process (GO:0044057)	47	0	6.00	-	 < 0.01	3.26E-03	4.50E-02
