Orthogroup	protein_mansoni	sequence_Caenorhabditis elegans	Total
OG0001160	2	0	2
OG0001161	2	0	2
OG0001162	2	0	2
OG0001163	2	0	2
OG0001164	2	0	2
OG0001165	2	0	2
OG0001166	1	1	2
OG0001167	1	1	2
OG0001168	1	1	2
OG0001169	2	0	2
OG0001170	2	0	2
OG0001171	2	0	2
OG0001172	2	0	2
OG0001173	2	0	2
OG0001174	2	0	2
OG0001175	2	0	2
OG0001176	2	0	2
OG0001177	1	1	2
OG0001178	2	0	2
OG0001179	2	0	2
OG0001180	2	0	2
OG0001181	2	0	2
OG0001182	1	1	2
OG0001183	2	0	2
OG0001184	2	0	2
OG0001185	1	1	2
OG0001186	1	1	2
OG0001187	2	0	2
OG0001188	2	0	2
OG0001189	1	1	2
OG0001190	1	1	2
OG0001191	1	1	2
OG0001192	2	0	2
OG0001193	2	0	2
OG0001194	2	0	2
OG0001195	2	0	2
OG0001196	2	0	2
OG0001197	2	0	2
OG0001198	2	0	2
OG0001199	2	0	2
OG0001200	2	0	2
OG0001201	2	0	2
OG0001202	2	0	2
OG0001203	1	1	2
OG0001204	1	1	2
OG0001205	2	0	2
OG0001206	2	0	2
OG0001207	2	0	2
OG0001208	1	1	2
OG0001209	1	1	2
OG0001210	1	1	2
OG0001211	2	0	2
OG0001212	2	0	2
OG0001213	2	0	2
OG0001214	2	0	2
OG0001215	2	0	2
OG0001216	2	0	2
OG0001217	1	1	2
OG0001218	2	0	2
OG0001219	2	0	2
OG0001220	2	0	2
OG0001221	2	0	2
OG0001222	1	1	2
OG0001223	1	1	2
OG0001224	1	1	2
OG0001225	1	1	2
OG0001226	1	1	2
OG0001227	0	2	2
