Orthogroup	protein_mansoni	sequence_Drosophila melanogaster	Total
OG0001161	1	1	2
OG0001162	2	0	2
OG0001163	1	1	2
OG0001164	2	0	2
OG0001165	2	0	2
OG0001166	2	0	2
OG0001167	2	0	2
OG0001168	2	0	2
OG0001169	1	1	2
OG0001170	2	0	2
OG0001171	2	0	2
OG0001172	2	0	2
OG0001173	1	1	2
OG0001174	2	0	2
OG0001175	1	1	2
OG0001176	2	0	2
OG0001177	2	0	2
OG0001178	2	0	2
OG0001179	1	1	2
OG0001180	1	1	2
OG0001181	1	1	2
OG0001182	1	1	2
OG0001183	2	0	2
OG0001184	2	0	2
OG0001185	2	0	2
OG0001186	2	0	2
OG0001187	2	0	2
OG0001188	2	0	2
OG0001189	2	0	2
OG0001190	2	0	2
OG0001191	1	1	2
OG0001192	2	0	2
OG0001193	1	1	2
OG0001194	2	0	2
OG0001195	2	0	2
OG0001196	2	0	2
OG0001197	2	0	2
OG0001198	2	0	2
OG0001199	1	1	2
OG0001200	2	0	2
OG0001201	1	1	2
OG0001202	1	1	2
OG0001203	2	0	2
OG0001204	2	0	2
OG0001205	2	0	2
OG0001206	2	0	2
OG0001207	1	1	2
OG0001208	2	0	2
OG0001209	1	1	2
OG0001210	1	1	2
OG0001211	1	1	2
OG0001212	1	1	2
OG0001213	1	1	2
OG0001214	2	0	2
OG0001215	2	0	2
OG0001216	1	1	2
OG0001217	1	1	2
OG0001218	2	0	2
OG0001219	2	0	2
OG0001220	2	0	2
OG0001221	1	1	2
OG0001222	2	0	2
OG0001223	1	1	2
OG0001224	2	0	2
OG0001225	2	0	2
OG0001226	2	0	2
OG0001227	1	1	2
OG0001228	1	1	2
OG0001229	1	1	2
OG0001230	1	1	2
OG0001231	1	1	2
OG0001232	1	1	2
OG0001233	2	0	2
OG0001234	2	0	2
OG0001235	2	0	2
OG0001236	2	0	2
OG0001237	2	0	2
OG0001238	2	0	2
OG0001239	2	0	2
OG0001240	2	0	2
OG0001241	2	0	2
OG0001242	2	0	2
OG0001243	2	0	2
OG0001244	2	0	2
OG0001245	2	0	2
OG0001246	2	0	2
OG0001247	1	1	2
OG0001248	1	1	2
OG0001249	1	1	2
OG0001250	1	1	2
OG0001251	2	0	2
OG0001252	2	0	2
OG0001253	2	0	2
OG0001254	2	0	2
OG0001255	2	0	2
OG0001256	2	0	2
OG0001257	2	0	2
OG0001258	2	0	2
OG0001259	2	0	2
OG0001260	2	0	2
OG0001261	1	1	2
OG0001262	2	0	2
OG0001263	1	1	2
OG0001264	1	1	2
OG0001265	1	1	2
OG0001266	1	1	2
OG0001267	0	2	2
