Orthogroup	cel_kog_final	dme_costa_final	kog_cel_final	kog_dme_final	kog_sce_final	kog_total_final	sce_costa_final	total_costa_final
OG0000010	NP_490744.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1		NP_490744.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1, NP_499799.1		NP_010931.3	NP_010931.3, NP_010931.3		
OG0000011	NP_506521.2, NP_506521.2, NP_506521.2, NP_506521.2, NP_506521.2, NP_506521.2, NP_506521.2, NP_506521.2, NP_506521.2, NP_508795.1, NP_508795.1, NP_508795.1, NP_508795.1, NP_508795.1, NP_508795.1, NP_508795.1, NP_508795.1, NP_508795.1, NP_510571.1, NP_510571.1, NP_510571.1, NP_510571.1, NP_510571.1, NP_510571.1, NP_510571.1, NP_510571.1, NP_510571.1		NP_506521.2, NP_506521.2, NP_506521.2, NP_506521.2, NP_506521.2, NP_506521.2, NP_506521.2, NP_506521.2, NP_506521.2, NP_508795.1, NP_508795.1, NP_508795.1, NP_508795.1, NP_508795.1, NP_508795.1, NP_508795.1, NP_508795.1, NP_508795.1, NP_510571.1, NP_510571.1, NP_510571.1, NP_510571.1, NP_510571.1, NP_510571.1, NP_510571.1, NP_510571.1, NP_510571.1	NP_609049.1				
OG0000012	NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1		NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1, NP_502079.1	NP_523444.1	NP_012822.1	NP_012822.1		
OG0000013				NP_609755.1, NP_609755.1, NP_609755.1, NP_609755.1, NP_609755.1, NP_609755.1, NP_609755.1, NP_609755.1, NP_609755.1, NP_609755.1, NP_609755.1, NP_609755.1, NP_609755.1, NP_609756.1, NP_609757.1, NP_609757.1, NP_609757.1, NP_609757.1, NP_609757.1, NP_609757.1, NP_609757.1, NP_609757.1, NP_609757.1, NP_609757.1, NP_609757.1, NP_609757.1, NP_609757.1, NP_609758.1, NP_609758.1, NP_609758.1, NP_609758.1, NP_609758.1, NP_609758.1, NP_609758.1, NP_609758.1, NP_609758.1, NP_609758.1, NP_609758.1, NP_609758.1, NP_609758.1, NP_609760.1, NP_609760.1, NP_609760.1, NP_609760.1, NP_609760.1, NP_609760.1, NP_609760.1, NP_609760.1, NP_609760.1, NP_609760.1, NP_609760.1, NP_609760.1, NP_609760.1				
OG0000014	NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1		NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1, NP_507861.1		NP_009402.1, NP_009402.1			
OG0000015	NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1		NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1, NP_495784.1		NP_013146.1		DEG20010687	
OG0000016	NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1		NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1, NP_501718.1					
OG0000017	NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505508.1		NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505507.1, NP_505508.1		NP_009788.3			
OG0000018	NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1		NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1, NP_502961.1					
OG0000019		DEG20070145, DEG20070145, DEG20070145, DEG20070145, DEG20070145, DEG20070145, DEG20070145, DEG20070145, DEG20070145, DEG20070145, DEG20070145, DEG20070145, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263, DEG20070263						
OG0000020		DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338, DEG20070338						
OG0000021	NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1		NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1, NP_493366.1	NP_610641.1				
OG0000022	NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1		NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1, NP_502236.1					
OG0000023	NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_507590.2, NP_507590.2, NP_507590.2, NP_507590.2		NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_497019.2, NP_507590.2, NP_507590.2, NP_507590.2, NP_507590.2	NP_477159.1				
