Orthogroup	costa_cerevisiae_pos_go	protein_mansoni	Total
OG0001098	1	1	2
OG0001099	1	1	2
OG0001100	1	1	2
OG0001101	1	1	2
OG0001102	1	1	2
OG0001103	1	1	2
OG0001104	1	1	2
OG0001105	1	1	2
OG0001106	1	1	2
OG0001107	1	1	2
OG0001108	1	1	2
OG0001109	1	1	2
OG0001110	1	1	2
OG0001111	1	1	2
OG0001112	1	1	2
OG0001113	1	1	2
OG0001114	0	2	2
OG0001115	0	2	2
OG0001116	0	2	2
OG0001117	0	2	2
OG0001118	0	2	2
OG0001119	0	2	2
OG0001120	0	2	2
OG0001121	0	2	2
OG0001122	0	2	2
OG0001123	0	2	2
OG0001124	0	2	2
OG0001125	0	2	2
OG0001126	0	2	2
OG0001127	0	2	2
OG0001128	0	2	2
OG0001129	0	2	2
OG0001130	0	2	2
OG0001131	0	2	2
OG0001132	0	2	2
OG0001133	0	2	2
OG0001134	0	2	2
OG0001135	0	2	2
OG0001136	0	2	2
OG0001137	0	2	2
OG0001138	0	2	2
OG0001139	0	2	2
OG0001140	0	2	2
OG0001141	0	2	2
OG0001142	0	2	2
OG0001143	0	2	2
OG0001144	0	2	2
OG0001145	0	2	2
OG0001146	0	2	2
OG0001147	0	2	2
OG0001148	0	2	2
OG0001149	0	2	2
OG0001150	0	2	2
OG0001151	0	2	2
OG0001152	0	2	2
OG0001153	0	2	2
OG0001154	0	2	2
OG0001155	0	2	2
OG0001156	0	2	2
OG0001157	0	2	2
OG0001158	0	2	2
OG0001159	0	2	2
OG0001160	0	2	2
