Orthogroup	Total	protein_mansoni	resultado_cel	resultado_dme	resultado_sce
OG0000052	23	6183.Smp_054010.1, 6183.Smp_083990.1, 6183.Smp_127000.1, 6183.Smp_150990.1, 6183.Smp_151000.1, 6183.Smp_151090.1	NP_491002.2, NP_491003.2, NP_492914.1, NP_493960.3, NP_500425.2, NP_500952.2, NP_501707.1, NP_505394.2, NP_505905.2, NP_508461.1	AAF48379.2, AAF56667.1, AAF57148.1, NP_524074.1, NP_609542.1	NP_011569.1, NP_011827.1
OG0000058	22	6183.Smp_134410.2, 6183.Smp_150090.1, 6183.Smp_151010.1, 6183.Smp_161430.1, 6183.Smp_161850.1, 6183.Smp_168000.1	NP_495464.2, NP_503655.2, NP_503681.2, NP_508838.3, NP_510225.2, NP_510308.1, NP_510705.1	AAF45749.2, AAF57326.2, AAF57382.1, AAF58221.2, AAF58616.2, NP_610940.1, NP_612069.1	NP_012701.2, NP_014274.1
OG0000062	21	6183.Smp_053220.1, 6183.Smp_150700.1	NP_496924.1, NP_496925.1, NP_496926.1, NP_504231.1, NP_506205.1, NP_509242.1, NP_509243.1, NP_509247.2	AAD38635.1, AAF47812.1, AAF49912.1, AAF49913.1, AAF50038.2, AAF50039.2, AAF54175.1, NP_610235.1	NP_010656.1, NP_011972.1, NP_014763.1
OG0000065	20	6183.Smp_044060.1, 6183.Smp_124250.1, 6183.Smp_129270.1, 6183.Smp_134140.1, 6183.Smp_134500.1, 6183.Smp_141980.1, 6183.Smp_146120.1, 6183.Smp_153650.1, 6183.Smp_197150.1	NP_490787.1, NP_493343.1, NP_495600.1, NP_495601.1, NP_497084.2	AAF48205.4, AAF48206.1, NP_525061.2, NP_609520.1, NP_611814.3	NP_015005.1
OG0000066	20	6183.Smp_088270.1	NP_490776.3, NP_490779.1, NP_490780.2, NP_491174.2, NP_492715.1, NP_506684.3	AAF46080.2, AAF46081.2, AAF46083.2, AAF50564.3, AAF50637.2, AAF52538.2, AAF52809.1, AAF52810.1, AAF56130.2, AAF59162.2, NP_609132.1, NP_610819.1	NP_012000.1
OG0000077	18	6183.Smp_034500.1, 6183.Smp_038530.1, 6183.Smp_135160.1, 6183.Smp_169960.1	NP_492133.1, NP_492580.2, NP_498399.1, NP_499190.2, NP_501053.2, NP_508975.2	AAF47341.2, AAF49192.2, AAF49193.2, AAF49810.2, AAF57003.2, NP_524273.1	NP_012153.1, NP_014345.3
OG0000078	18	6183.Smp_048560.1, 6183.Smp_140310.1, 6183.Smp_143130.1, 6183.Smp_165070.1	NP_492462.1, NP_492463.1, NP_498280.1, NP_501190.1, NP_502440.1	AAF47125.1, AAF48655.3, AAF49395.3, AAF49396.2, AAF49398.2, AAF53791.2, AAF53979.2	NP_010041.2, NP_013016.4
OG0000085	17	6183.Smp_009430.1, 6183.Smp_084570.1, 6183.Smp_102190.1, 6183.Smp_117920.1, 6183.Smp_131430.1, 6183.Smp_168550.1, 6183.Smp_168560.1, 6183.Smp_178940.1	NP_498386.2, NP_505205.2, NP_506448.2, NP_506449.1, NP_507092.1	AAF46291.1, AAF53580.3, AAF53581.1	NP_009717.1
OG0000086	17	6183.Smp_016780.1, 6183.Smp_027920.1, 6183.Smp_090120.1, 6183.Smp_103140.1, 6183.Smp_103790.1	CAC42274.1, NP_492268.1, NP_492600.1, NP_493270.1, NP_496351.1, NP_496352.1, NP_497663.1, NP_499463.1, NP_508555.2	NP_524264.1, NP_524297.1	NP_013625.1
OG0000087	17	6183.Smp_029360.1	NP_493751.1, NP_495405.2, NP_498989.1, NP_499743.2	AAF47603.1, AAF48694.1, AAF48695.2, AAF50114.1, AAF50116.1, AAF50117.4, AAF50252.1, AAF52663.1, AAF58478.2, AAF58727.1	NP_012776.1, NP_014298.1
OG0000088	17	6183.Smp_052910.1	NP_492512.1, NP_492513.1, NP_507059.1, NP_507393.1, NP_507574.2, NP_507857.1, NP_510192.1, NP_510193.4	AAF47061.1, AAF49021.1, AAF49022.2, AAF49023.1, NP_477390.1, NP_610729.1, NP_611796.1	NP_010615.3
OG0000090	17	6183.Smp_077980.1, 6183.Smp_144080.1, 6183.Smp_160240.1	NP_491828.3, NP_491829.3, NP_491830.2, NP_491831.1, NP_491832.1, NP_492974.2, NP_505614.3, NP_505615.1, T20760	AAA69860.1, AAF56463.2, NP_477318.1, NP_524885.1	NP_014161.1
OG0000091	17	6183.Smp_155690.1, 6183.Smp_161600.1, 6183.Smp_179780.1, 6183.Smp_180820.1	NP_508604.3, NP_508955.1, NP_509261.1, NP_510439.1	AAF47126.2, AAF49754.2, AAF49756.1, AAF57112.2, AAF58279.2, AAF59408.1, NP_524066.1, NP_524735.1	NP_015390.1
OG0000107	15	6183.Smp_000980.1, 6183.Smp_063790.1, 6183.Smp_100090.1, 6183.Smp_103530.1, 6183.Smp_173650.1	NP_493178.1, NP_498375.1, NP_498376.1, NP_498377.1	NP_523442.2, NP_524415.1, NP_611553.1	NP_009647.2, NP_010282.3, NP_015377.1
OG0000109	15	6183.Smp_006970.1, 6183.Smp_049380.1, 6183.Smp_151960.1, 6183.Smp_186680.1	NP_495666.4, NP_495667.2, NP_496445.1, NP_508894.2	AAF46047.1, AAF49953.1, AAF55715.1	NP_010667.1, NP_010677.1, NP_014770.1, NP_014777.3
OG0000110	15	6183.Smp_012440.1, 6183.Smp_046790.1, 6183.Smp_105410.1, 6183.Smp_127200.1	NP_493981.1, NP_493982.1, NP_503413.2, NP_508181.1	AAF57300.2, AAF59140.3, NP_523658.1, NP_523878.1, NP_524731.1	NP_009800.1, NP_011411.3
OG0000111	15	6183.Smp_016920.1, 6183.Smp_048680.1, 6183.Smp_049970.5, 6183.Smp_141490.1, 6183.Smp_176120.1, 6183.Smp_205270.1	NP_491059.2, NP_491091.1, NP_495976.1, NP_498962.1	AAF46210.2, AAF54321.1, AAF55568.1	NP_009618.2, NP_010427.3
OG0000112	15	6183.Smp_030730.1, 6183.Smp_078040.1, 6183.Smp_079960.1, 6183.Smp_079970.1, 6183.Smp_192110.1	NP_497728.2, NP_497806.1, NP_499367.1, NP_509313.1, NP_509585.1	AAF56770.3, AAF57556.1, NP_523842.2, P08840	NP_116616.1
OG0000113	15	6183.Smp_038970.1, 6183.Smp_101650.1, 6183.Smp_119730.1, 6183.Smp_125560.1, 6183.Smp_138660.1, 6183.Smp_142680.1, 6183.Smp_165850.1, 6183.Smp_175090.3, 6183.Smp_198870.1, 6183.Smp_209040.1	NP_490744.1, NP_499799.1, NP_503540.1	AAF49219.1	NP_010931.3
OG0000114	15	6183.Smp_040130.1, 6183.Smp_040790.1	NP_493624.1, NP_497257.1, NP_499828.1, NP_500632.3, NP_506561.1, NP_506749.1, NP_506751.1	AAF49750.1, NP_523366.2, NP_611695.1	NP_010439.1, NP_011924.1, NP_013633.1
OG0000115	15	6183.Smp_128110.1	NP_505511.2, NP_505512.3, NP_505691.2, NP_505727.1	AAF47034.2, AAF47035.2, AAF58642.1, AAF58643.2, NP_476837.1, NP_611810.1, NP_611813.1	NP_013047.1, NP_013048.1, NP_015518.1
OG0000119	14	6183.Smp_001500.1	NP_496608.3, NP_499751.2, NP_503123.1, NP_503124.1, NP_508094.1, P56570.2	AAF45584.2, AAF50460.2, AAF50509.2, AAF50651.1, AAF56840.1, NP_524829.1	NP_014502.1
OG0000120	14	6183.Smp_003620.1, 6183.Smp_029890.1, 6183.Smp_041060.1, 6183.Smp_060070.1	NP_493388.1, NP_506638.2	AAD49962.1, AAF48645.1, NP_477064.1, NP_523430.1, NP_524417.1	NP_009928.1, NP_011975.1, NP_013418.2
OG0000122	14	6183.Smp_014660.2, 6183.Smp_104670.1, 6183.Smp_132330.1, 6183.Smp_210430.1	NP_491199.2, NP_491857.1, NP_499454.1, NP_503397.1	NP_523419.1, NP_524172.1, NP_524432.4, NP_608373.1	NP_116615.1, NP_116650.1
OG0000124	14	6183.Smp_071250.1, 6183.Smp_142450.1, 6183.Smp_179910.1	NP_499079.1, NP_501549.1, NP_502213.3, NP_506707.2	NP_476699.1, NP_476857.1, NP_477402.1, Q9VND8.1	NP_009956.2, NP_011668.3, NP_014744.1
OG0000125	14	6183.Smp_072660.1, 6183.Smp_144590.1, 6183.Smp_155120.1, 6183.Smp_164680.1	CAA86414.2, NP_509594.3, NP_509595.1, NP_509596.1, NP_509597.1, NP_509598.1, NP_509599.1	AAF48558.2, AAF48761.1	NP_012831.1
OG0000126	14	6183.Smp_074610.1, 6183.Smp_082240.1, 6183.Smp_089860.1	NP_496797.1, NP_496899.1, NP_497811.1, NP_497812.2, NP_499608.1, NP_505106.1, NP_506164.1, NP_509230.1, NP_509344.1	NP_002098.1	NP_009564.1
OG0000127	14	6183.Smp_124050.4, 6183.Smp_124060.1, 6183.Smp_124070.1, 6183.Smp_163400.1	NP_494312.1, NP_505900.1, NP_509706.2, NP_509707.2	AAF51270.2, AAF54109.2, NP_608663.1	NP_012456.1, NP_012457.1, NP_012938.3
OG0000136	13	6183.Smp_000190.1	NP_492237.1, NP_492563.1, NP_505915.1, NP_509294.1	AAF46316.1, AAF50980.1, AAF53158.3, AAF53953.3, AAF56083.1, AAF56086.1	NP_010169.1, NP_013530.1
OG0000141	13	6183.Smp_018590.1, 6183.Smp_080030.1, 6183.Smp_159560.1, 6183.Smp_175500.1	NP_500143.1, NP_500144.2, NP_501708.1, NP_504283.1, NP_509755.2	AAF55262.2, AAF55264.3, P91623.1	NP_012959.1
OG0000142	13	6183.Smp_019100.1, 6183.Smp_065180.1, 6183.Smp_156950.1	NP_504590.1, NP_504591.1, NP_504592.2, NP_504593.1, NP_507699.1	AAF53068.2, AAF54856.2, AAF54988.1	NP_012271.3, NP_014315.1
OG0000143	13	6183.Smp_020920.1, 6183.Smp_022330.1, 6183.Smp_078800.1, 6183.Smp_104730.1	NP_496468.1, NP_498155.3	AAD48755.1, AAF51395.3, AAF51806.1, NP_572633.1, Q24133.3	NP_013884.1, NP_014391.1
OG0000144	13	6183.Smp_058690.1, 6183.Smp_058700.1, 6183.Smp_124360.1	NP_492598.1, NP_492818.1, NP_497078.1, NP_501381.2, NP_509319.1	AAF47761.1, AAF57607.2	NP_009803.3, NP_012303.1, NP_012899.3
OG0000145	13	6183.Smp_079220.1	NP_491927.1, NP_499782.1, NP_501440.1, NP_501727.1, NP_501803.1, NP_504498.2, NP_509733.1	NP_511109.1, NP_511110.1	NP_009523.1, NP_009642.3, NP_013772.1
OG0000146	13	6183.Smp_085240.2, 6183.Smp_171720.1	NP_494696.1, NP_495305.1, NP_509790.2	AAF51828.1, AAF51829.1, AAF51830.1, AAF51831.1, AAF51832.1, AAF58941.3, AAF58942.2	NP_010570.1
OG0000147	13	6183.Smp_091470.1, 6183.Smp_173030.1, 6183.Smp_174530.1	NP_501220.1, NP_506218.1	AAF47504.1, AAF54925.2, AAF54926.3, AAF54927.2, AAF54928.2, AAF56113.2	NP_011913.1, NP_012765.3
OG0000148	13	6183.Smp_149150.1	NP_491412.1, NP_496552.1, NP_498609.1, NP_499531.1, NP_509822.2	AAF50367.1, AAF50608.2, AAF50609.1, AAF50610.1, AAF52610.1, P42281.1	NP_011551.3
OG0000150	13	6183.Smp_163970.1, 6183.Smp_172590.1	NP_494846.1, NP_495284.1, NP_495509.1, NP_496134.1, NP_496507.1, NP_498460.1, NP_509079.2, NP_510452.4	AAF55705.1	NP_009697.3, NP_014026.1
OG0000160	12	6183.Smp_036220.1, 6183.Smp_108390.1	NP_496897.1, NP_502132.1, NP_505197.1, NP_505201.3, NP_505278.2, NP_505464.1, NP_507031.2	AAF45348.1	NP_009553.1, NP_010510.3
OG0000161	12	6183.Smp_043920.1, 6183.Smp_158370.1, 6183.Smp_161800.1, 6183.Smp_181160.1, 6183.Smp_210200.1	NP_505918.2	AAF47928.1, AAF48704.1, AAF52431.2, AAF52432.1, AAF56402.1	NP_009652.2
OG0000162	12	6183.Smp_045410.1, 6183.Smp_045420.1, 6183.Smp_057130.1	NP_498148.2, NP_500998.1, NP_502745.2	AAF55091.1, AAF56824.1, AAF56831.1	NP_010780.1, NP_014540.1, NP_014641.2
OG0000163	12	6183.Smp_047900.1, 6183.Smp_142050.1	NP_497846.3, NP_497847.2, NP_501364.1, NP_501365.1	NP_477163.1, NP_477361.1	NP_009537.1, NP_011554.3, NP_011895.1, NP_013214.1
OG0000164	12	6183.Smp_049630.1, 6183.Smp_120980.1, 6183.Smp_128970.1, 6183.Smp_154450.1	NP_496909.1, NP_502999.1	AAF48868.1, AAF53297.2, AAF55469.1	NP_011958.1, NP_014302.3, NP_014707.1
OG0000165	12	6183.Smp_058980.2, 6183.Smp_128150.1, 6183.Smp_144850.1	NP_499448.1, NP_499449.1, NP_506695.2	NP_477271.1, NP_611865.1	NP_009421.3, NP_009422.1, NP_010265.1, NP_011940.1
OG0000166	12	6183.Smp_065290.1	NP_500139.1, NP_501896.2, NP_501902.2, NP_501903.3, NP_501904.2, NP_501905.1, NP_501906.1	AAF59344.2, NP_524622.1	NP_014626.1, NP_116669.1
OG0000167	12	6183.Smp_068510.1, 6183.Smp_085650.1, 6183.Smp_151600.1, 6183.Smp_158980.1, 6183.Smp_158990.1	NP_492651.1, NP_508186.1, NP_508201.2	AAF49083.1, NP_524175.1, NP_525093.1	NP_010661.3
OG0000171	12	6183.Smp_130600.1, 6183.Smp_150890.1	NP_491747.1, NP_491748.1, NP_491749.2, NP_500829.2, NP_502869.1, NP_509380.1	AAF50159.1, NP_477374.1, NP_523399.1	NP_012942.3
OG0000173	12	6183.Smp_150500.1, 6183.Smp_181470.1, 6183.Smp_210790.1	NP_501350.3, NP_505500.2, NP_505501.1, NP_509545.1	AAF55028.1, AAF59166.2, NP_523722.1, NP_610824.1	NP_014094.1
OG0000174	12	6183.Smp_152550.1, 6183.Smp_162260.1	NP_491224.2, NP_491225.1, NP_491226.1, NP_491227.1, NP_491228.1, NP_491229.1, NP_491230.1	AAF54050.1	NP_011757.3, NP_012031.1
OG0000175	12	6183.Smp_173820.1	NP_492471.2, NP_501807.3, NP_502204.2, NP_502649.1, NP_506521.2, NP_508795.1, NP_510571.1	AAF49871.2, AAF51506.2, NP_609049.1	NP_009380.1
OG0000184	11	6183.Smp_004470.1, 6183.Smp_059480.1, 6183.Smp_062900.1, 6183.Smp_158110.2	NP_497892.1	AAF49652.1, AAF55431.2, NP_477510.1, NP_525002.1	NP_010741.1, NP_013684.1
OG0000185	11	6183.Smp_005860.1, 6183.Smp_065580.3, 6183.Smp_132270.1, 6183.Smp_145490.1, 6183.Smp_155850.1	NP_491825.2, NP_497351.3	AAF57450.2, NP_524208.1	NP_009521.1, NP_009792.3
OG0000186	11	6183.Smp_006720.2, 6183.Smp_102160.1, 6183.Smp_123870.1	NP_495887.1, NP_498790.1, NP_504688.1, NP_506093.2	AAF47530.1, NP_523680.1	NP_009372.1, NP_014972.3
OG0000187	11	6183.Smp_008070.1, 6183.Smp_054470.1	NP_491142.1, NP_495626.1	AAF46018.2, AAF49714.1, NP_511046.1, NP_523526.1	NP_010006.1, NP_011725.3, NP_013144.1
OG0000188	11	6183.Smp_009760.1, 6183.Smp_009780.2, 6183.Smp_034840.2	NP_502235.1, NP_502236.1, NP_509938.2, NP_509939.1	AAF58842.4, P92177.2	NP_010384.3, NP_011104.3
OG0000189	11	6183.Smp_019630.1	NP_501301.1, NP_501650.1, NP_501651.1, NP_501652.2	AAF56094.2, AAF56095.2, AAF56096.1, AAF56097.1, AAF56098.2	NP_012363.1
OG0000190	11	6183.Smp_031100.1, 6183.Smp_140330.1, 6183.Smp_202480.1	NP_509973.1, NP_510458.1, NP_510459.1	AAF50542.2, AAF55990.4	NP_010120.1, NP_012659.1, NP_013307.1
OG0000196	11	6183.Smp_056760.1, 6183.Smp_079770.1	NP_491995.1, NP_497746.1, NP_498775.2, NP_508778.1	AAF54574.1, AAF58609.2, NP_524079.1	NP_009887.1, NP_010806.1
OG0000197	11	6183.Smp_071020.1, 6183.Smp_135260.1	NP_491454.2, NP_506558.2, NP_510130.2	AAF52558.3, AAF53821.2, AAF58369.1, AAF58370.1	NP_011991.1, NP_014269.4
OG0000198	11	6183.Smp_073070.1, 6183.Smp_135770.1, 6183.Smp_146700.1, 6183.Smp_201760.1	NP_493007.2, NP_499713.3, NP_509449.1	AAF46492.1, AAF49939.3	NP_010411.1, NP_013347.1
OG0000201	11	6183.Smp_125270.1, 6183.Smp_130250.1, 6183.Smp_141230.1, 6183.Smp_150860.1, 6183.Smp_206070.1	NP_502492.2, NP_502493.1, NP_502494.1, NP_510460.2	NP_523564.1	NP_012394.1
OG0000221	10	6183.Smp_002080.1	NP_500871.1, NP_500872.1, NP_500954.1, NP_502901.2, NP_510002.1	AAF51554.1, AAF51558.1	NP_010790.3, NP_013281.1
OG0000224	10	6183.Smp_003190.1, 6183.Smp_064320.1, 6183.Smp_136530.1, 6183.Smp_146630.1	NP_500889.2, NP_509448.1	AAF49554.1, NP_476942.1	NP_010550.1, NP_014677.1
OG0000226	10	6183.Smp_004310.1, 6183.Smp_062890.1	NP_499165.1, NP_500188.1	AAF50062.2, AAF53003.1, AAF57930.1, NP_476801.1	NP_010887.3, NP_015090.1
OG0000228	10	6183.Smp_019310.1, 6183.Smp_040680.1, 6183.Smp_095520.1, 6183.Smp_174520.1, 6183.Smp_200180.1, 6183.Smp_201060.1	NP_498422.1, NP_502298.2	NP_525075.1	NP_010712.1
OG0000230	10	6183.Smp_028490.1, 6183.Smp_095580.1	NP_491479.2, NP_504643.1, NP_504644.1, NP_505971.2	AAF49471.1, AAF49473.1	NP_009598.1, NP_010301.1
OG0000231	10	6183.Smp_036270.2, 6183.Smp_185230.1	NP_496441.1, NP_496442.1, NP_499649.2	AAF43413.1, AAF54968.1, AAF54969.2, CAB60724.1	NP_010720.3
OG0000232	10	6183.Smp_040970.1	NP_496436.1, NP_498968.2, NP_498969.2, NP_501399.1	AAD34751.1, AAF53116.1, AAF55550.1, AAF55551.2	NP_014913.3
OG0000233	10	6183.Smp_046060.1, 6183.Smp_085540.6	NP_492186.3, NP_493596.1, NP_499769.1, NP_508504.2, NP_510092.2	AAF47311.1, AAF53566.4	NP_011888.1
OG0000234	10	6183.Smp_049160.1, 6183.Smp_152210.1	NP_498552.2, NP_509032.1	AAF51085.1, AAF55566.1, NP_523833.1, NP_536788.2	NP_013907.1, NP_015094.1
OG0000235	10	6183.Smp_051210.1, 6183.Smp_168490.1, 6183.Smp_174910.1	NP_491824.1, NP_501227.1	AAD37442.1, AAF50720.1, NP_477041.1, NP_524167.1	NP_014210.1
OG0000238	10	6183.Smp_088800.1, 6183.Smp_178380.1, 6183.Smp_179140.1, 6183.Smp_190720.1, 6183.Smp_194140.1, 6183.Smp_194150.1, 6183.Smp_199340.1	NP_506019.2	AAF53577.3	NP_015221.1
OG0000239	10	6183.Smp_089100.1	NP_490714.1, NP_502918.1, NP_505305.1, NP_508017.2	AAF48127.2, AAF48672.1, AAF48854.2, CAA21412.2	NP_013402.1
OG0000241	10	6183.Smp_095000.2	NP_492064.2	AAF49559.1, AAF49560.2, AAF49561.1, AAF49562.1, AAF51693.3, AAF51694.1	NP_010573.3, NP_011912.1
OG0000243	10	6183.Smp_097940.1, 6183.Smp_166540.1, 6183.Smp_176970.1, 6183.Smp_177920.1	NP_490967.1, NP_491914.1, NP_510080.2	AAF56344.1, NP_572415.1	NP_009410.1
OG0000244	10	6183.Smp_101670.1, 6183.Smp_124310.1, 6183.Smp_170160.1	NP_499446.1, NP_509218.1, NP_510298.1	NP_610460.1	NP_010710.4, NP_010944.1, NP_011307.1
OG0000248	10	6183.Smp_129990.1, 6183.Smp_145180.1	NP_499337.3, NP_499338.1, NP_499339.1, NP_508208.2, NP_508209.1	AAF48024.2, NP_612093.1	NP_013612.1
OG0000250	10	6183.Smp_136960.1	NP_496040.1, NP_496396.2, NP_496493.1, NP_506915.2, NP_509341.2, NP_509949.1	AAF49194.2, AAF52138.3	NP_014914.1
OG0000251	10	6183.Smp_141590.2, 6183.Smp_144430.1	NP_497505.4, NP_499047.1, NP_503132.3	AAF49761.3, NP_476966.1, NP_569900.3	NP_012107.1, NP_014128.2
OG0000252	10	6183.Smp_144600.1, 6183.Smp_156500.1, 6183.Smp_166070.1, 6183.Smp_176690.1	NP_505469.3, NP_508893.1	AAF46200.2, AAF57952.1, NP_611158.1	NP_013413.1
OG0000253	10	6183.Smp_145320.1	NP_491138.3, NP_505493.1, NP_505989.1, NP_505990.3, NP_508944.1, NP_509424.2, NP_509855.2	AAF49285.1	NP_015328.1
OG0000254	10	6183.Smp_158510.1, 6183.Smp_158520.1	NP_497659.1, NP_504649.1, NP_505413.1, NP_507469.1	AAF59200.2, NP_610317.1, NP_610318.1	NP_014888.1
OG0000256	10	6183.Smp_162910.1	NP_495694.1, NP_508533.1	AAF49202.2, AAF49203.1, AAF54771.1, NP_608804.1, NP_611548.1	NP_011749.3, NP_015215.1
OG0000257	10	6183.Smp_166190.1	NP_495120.1, NP_495121.1, NP_495122.1, NP_495123.2, NP_496718.1, NP_509705.3	AAF56224.1, AAF56776.1	NP_014382.1
OG0000258	10	6183.Smp_171740.1	NP_507812.3, NP_508121.1, NP_508122.2, NP_508123.1, NP_509658.1, NP_510616.2	AAF53223.4	NP_010419.3, NP_013086.1
OG0000261	10	6183.Smp_197330.1	NP_495455.2, NP_495456.1, NP_495461.2, NP_499752.2	AAF46282.1, NP_523528.1, NP_612094.2	NP_012106.1, NP_015297.1
OG0000279	9	6183.Smp_008490.1	NP_501428.3, NP_502866.1, NP_507238.1, NP_508608.1, NP_508609.1	AAF46696.3	NP_012398.1, NP_012984.2
OG0000281	9	6183.Smp_010370.1, 6183.Smp_099890.1	NP_491033.1, NP_499756.3, NP_499990.1	AAF48060.1, AAF56507.1, AAF58285.1	NP_015353.1
OG0000282	9	6183.Smp_011100.1, 6183.Smp_128100.1, 6183.Smp_146010.1	NP_504514.2, NP_504531.2, NP_504532.1, NP_507226.2	AAF51584.3	NP_013493.2
OG0000283	9	6183.Smp_012380.1	NP_498580.2	AAF46567.3, AAF54729.1, AAF54730.4, AAF54731.1	NP_013755.1, NP_015237.1, NP_015452.1
OG0000285	9	6183.Smp_014020.1, 6183.Smp_210250.1	NP_500570.1, NP_501511.1, NP_510022.2	AAF48613.1	NP_010018.1, NP_014076.1, NP_014446.3
