Orthogroup	Total	protein_mansoni	resultado_cel
OG0000044	18	6183.Smp_122930.1	NP_491859.1, NP_491871.1, NP_491886.2, NP_491942.1, NP_493832.1, NP_495066.2, NP_495067.1, NP_495068.1, NP_495142.1, NP_495493.1, NP_496469.1, NP_498885.1, NP_499329.1, NP_500720.1, NP_501452.1, NP_510788.1, NP_510789.1
OG0000049	17	6183.Smp_000240.1, 6183.Smp_002550.1, 6183.Smp_078520.1, 6183.Smp_113620.3	NP_493022.1, NP_493023.1, NP_493029.1, NP_495013.1, NP_495014.1, NP_495483.1, NP_497891.1, NP_497959.1, NP_499818.1, NP_502291.1, NP_502757.2, NP_506360.1, NP_508674.1
OG0000050	17	6183.Smp_041680.1	NP_495163.1, NP_496159.1, NP_496160.1, NP_496165.3, NP_496166.1, NP_496801.2, NP_497215.1, NP_497763.1, NP_501007.1, NP_501571.3, NP_503154.1, NP_504647.1, NP_509649.1, NP_509650.3, NP_510844.1, P36573.1
OG0000052	17	6183.Smp_165680.1	NP_494741.2, NP_494742.1, NP_494758.1, NP_501608.1, NP_502676.4, NP_503183.1, NP_503186.2, NP_503195.1, NP_503197.1, NP_503201.1, NP_505152.2, NP_506999.2, NP_507707.1, NP_507708.1, NP_510033.2, NP_510465.2
OG0000061	15	6183.Smp_028910.1, 6183.Smp_054300.1, 6183.Smp_129750.1, 6183.Smp_137730.1, 6183.Smp_137740.1, 6183.Smp_142860.1, 6183.Smp_154410.1, 6183.Smp_193620.1, 6183.Smp_193870.1, 6183.Smp_194990.1, 6183.Smp_199790.1, 6183.Smp_205640.1, 6183.Smp_209060.1, 6183.Smp_211180.1	NP_495862.2
OG0000063	15	6183.Smp_170930.1	NP_495132.2, NP_495133.1, NP_495134.1, NP_495136.1, NP_495137.1, NP_503783.1, NP_508133.1, NP_508160.1, NP_508836.5, NP_509494.2, NP_509628.1, NP_509881.1, NP_510648.1, NP_510649.3
OG0000065	14	6183.Smp_141570.1	NP_491692.1, NP_492381.3, NP_494786.5, NP_495727.1, NP_495961.3, NP_498903.3, NP_498905.2, NP_499790.1, NP_504663.2, NP_506091.2, NP_506416.2, NP_508732.3, NP_509697.1
OG0000070	13	6183.Smp_000900.1	NP_495481.2, NP_497125.2, NP_498743.2, NP_499038.1, NP_501164.2, NP_503056.4, NP_503107.2, NP_505883.1, NP_508606.2, NP_509416.2, NP_509629.1, NP_510833.3
OG0000071	13	6183.Smp_015520.1, 6183.Smp_032370.1, 6183.Smp_076580.1, 6183.Smp_081430.1, 6183.Smp_120070.1, 6183.Smp_139680.1, 6183.Smp_139700.1, 6183.Smp_170300.1, 6183.Smp_179840.1, 6183.Smp_179850.1, 6183.Smp_203940.1, 6183.Smp_203950.1	NP_506570.1
OG0000076	12	6183.Smp_038970.1, 6183.Smp_101650.1, 6183.Smp_119730.1, 6183.Smp_125560.1, 6183.Smp_138660.1, 6183.Smp_142680.1, 6183.Smp_165850.1, 6183.Smp_175090.3, 6183.Smp_198870.1, 6183.Smp_209040.1	NP_490744.1, NP_499799.1
OG0000087	11	6183.Smp_105910.1, 6183.Smp_127010.1, 6183.Smp_163470.1	NP_493339.1, NP_497144.3, NP_497145.1, NP_499160.2, NP_499161.2, NP_499197.1, NP_499201.1, NP_510006.1
OG0000098	10	6183.Smp_027830.1, 6183.Smp_110560.1, 6183.Smp_118350.1, 6183.Smp_137240.1, 6183.Smp_168420.1, 6183.Smp_191640.1, 6183.Smp_193320.1, 6183.Smp_193570.1, 6183.Smp_193580.1	NP_500606.1
OG0000099	10	6183.Smp_082240.1	NP_496797.1, NP_496899.1, NP_497811.1, NP_497812.2, NP_499608.1, NP_505106.1, NP_506164.1, NP_509230.1, NP_509344.1
OG0000111	9	6183.Smp_003770.1, 6183.Smp_162370.1	NP_491678.1, NP_500958.1, NP_503554.1, NP_504277.1, NP_506680.1, NP_509375.1, NP_510410.1
OG0000114	9	6183.Smp_015840.1, 6183.Smp_049160.1, 6183.Smp_128060.1, 6183.Smp_147010.1, 6183.Smp_152210.1, 6183.Smp_181200.1	NP_491997.1, NP_498552.2, NP_509032.1
OG0000115	9	6183.Smp_020840.1, 6183.Smp_036470.1, 6183.Smp_134980.1, 6183.Smp_134990.1, 6183.Smp_135010.1, 6183.Smp_135020.1, 6183.Smp_141800.1, 6183.Smp_145560.1	NP_494834.1
OG0000116	9	6183.Smp_022020.1, 6183.Smp_038990.1, 6183.Smp_129330.1, 6183.Smp_160140.1	NP_496994.3, NP_496995.3, NP_496996.1, NP_496997.1, NP_496998.1
OG0000120	9	6183.Smp_052910.1	NP_492512.1, NP_492513.1, NP_507059.1, NP_507393.1, NP_507574.2, NP_507857.1, NP_510192.1, NP_510194.1
OG0000124	9	6183.Smp_090100.1, 6183.Smp_090110.1, 6183.Smp_135530.1, 6183.Smp_153930.1, 6183.Smp_171320.1, 6183.Smp_171350.1, 6183.Smp_173070.1, 6183.Smp_204600.1	NP_499725.1
OG0000126	9	6183.Smp_126190.1	NP_491693.1, NP_492586.2, NP_495848.1, NP_496326.2, NP_499401.1, NP_501329.3, NP_507685.1, NP_509037.1
OG0000127	9	6183.Smp_159400.1	NP_491993.1, NP_495168.1, NP_495795.1, NP_496771.1, NP_505746.2, NP_506408.1, NP_508618.2, NP_510554.2
OG0000139	8	6183.Smp_001500.1	NP_496608.3, NP_499751.2, NP_503123.1, NP_503124.1, NP_508094.1, NP_508210.1, P56570.2
OG0000143	8	6183.Smp_015670.1	NP_496070.1, NP_500236.1, NP_505401.2, NP_508410.2, NP_508440.1, NP_508725.1, NP_509367.1
OG0000145	8	6183.Smp_036270.2	NP_490696.1, NP_491728.1, NP_494514.1, NP_494515.2, NP_496341.1, NP_496441.1, NP_507463.1
OG0000146	8	6183.Smp_037960.1, 6183.Smp_132070.1, 6183.Smp_142690.1, 6183.Smp_142700.1, 6183.Smp_157790.1, 6183.Smp_176310.1	NP_491472.1, NP_491533.2
OG0000147	8	6183.Smp_046410.1, 6183.Smp_059600.1, 6183.Smp_147440.1, 6183.Smp_154300.1, 6183.Smp_162540.1, 6183.Smp_165950.1, 6183.Smp_170210.1	NP_508689.1
OG0000148	8	6183.Smp_048230.1	NP_490841.3, NP_491594.1, NP_495391.1, NP_501713.1, NP_501714.1, NP_504358.1, NP_510665.2
OG0000150	8	6183.Smp_067060.1, 6183.Smp_085180.1, 6183.Smp_103610.1, 6183.Smp_105370.1, 6183.Smp_158410.1, 6183.Smp_158420.1, 6183.Smp_179950.1	NP_509112.1
OG0000151	8	6183.Smp_078280.1, 6183.Smp_149150.1	NP_491412.1, NP_496330.1, NP_496552.1, NP_498609.1, NP_499531.1, NP_509822.2
OG0000152	8	6183.Smp_079220.1	NP_491927.1, NP_499782.1, NP_501440.1, NP_501727.1, NP_501803.1, NP_504498.2, NP_509733.1
OG0000153	8	6183.Smp_088800.1, 6183.Smp_178380.1, 6183.Smp_179140.1, 6183.Smp_190720.1, 6183.Smp_194140.1, 6183.Smp_194150.1, 6183.Smp_199340.1	NP_506019.2
OG0000154	8	6183.Smp_089270.1, 6183.Smp_089290.1, 6183.Smp_170830.1, 6183.Smp_170840.1, 6183.Smp_179250.1, 6183.Smp_179260.1, 6183.Smp_186710.1	NP_506031.1
OG0000155	8	6183.Smp_108390.1	NP_496897.1, NP_502132.1, NP_505197.1, NP_505201.3, NP_505278.2, NP_505464.1, NP_507031.2
OG0000156	8	6183.Smp_112270.1, 6183.Smp_117990.1, 6183.Smp_122020.1, 6183.Smp_165800.1, 6183.Smp_191250.1, 6183.Smp_192030.1, 6183.Smp_199470.1	NP_503175.1
OG0000157	8	6183.Smp_124050.4, 6183.Smp_124060.1, 6183.Smp_124070.1, 6183.Smp_163400.1, 6183.Smp_200460.1	NP_494312.1, NP_509706.2, NP_509707.2
OG0000159	8	6183.Smp_125970.1, 6183.Smp_135890.1, 6183.Smp_149930.1	NP_499146.2, NP_499147.3, NP_504341.1, NP_504342.2, NP_505039.1
OG0000160	8	6183.Smp_128460.1, 6183.Smp_128470.1, 6183.Smp_154360.1, 6183.Smp_172750.1, 6183.Smp_175360.1, 6183.Smp_208060.1	NP_501755.2, NP_509364.1
OG0000161	8	6183.Smp_150820.1	NP_493374.2, NP_495072.2, NP_495075.1, NP_495079.1, NP_504301.1, NP_504302.1, NP_508159.2
OG0000162	8	6183.Smp_150920.1, 6183.Smp_194330.1	NP_493802.2, NP_495394.3, NP_495395.1, NP_495673.2, NP_497261.2, NP_503406.4
OG0000163	8	6183.Smp_155120.1	CAA86414.2, NP_509594.3, NP_509595.1, NP_509596.1, NP_509597.1, NP_509598.1, NP_509599.1
OG0000164	8	6183.Smp_162260.1	NP_491224.2, NP_491225.1, NP_491226.1, NP_491227.1, NP_491228.1, NP_491229.1, NP_491230.1
OG0000165	8	6183.Smp_194770.1	NP_491027.1, NP_491057.1, NP_492714.1, NP_494881.2, NP_503471.2, NP_507054.1, NP_509217.2
OG0000181	7	6183.Smp_000980.1, 6183.Smp_063790.1, 6183.Smp_100090.1, 6183.Smp_103530.1	NP_498375.1, NP_498376.1, NP_498377.1
OG0000182	7	6183.Smp_011000.1, 6183.Smp_146180.1	NP_503184.1, NP_503185.1, NP_503233.1, NP_505527.1, NP_506229.1
OG0000183	7	6183.Smp_013060.1, 6183.Smp_033950.2, 6183.Smp_085910.1, 6183.Smp_157540.1, 6183.Smp_169780.1, 6183.Smp_212740.1	NP_498931.2
OG0000184	7	6183.Smp_020300.1, 6183.Smp_101630.1, 6183.Smp_162410.1	NP_494937.4, NP_494978.4, NP_494979.5, NP_494980.4
OG0000185	7	6183.Smp_024070.1, 6183.Smp_129640.1, 6183.Smp_155460.1, 6183.Smp_169390.1, 6183.Smp_194810.1, 6183.Smp_196300.1	NP_509934.2
OG0000189	7	6183.Smp_044550.8	NP_491627.2, NP_498548.1, NP_498742.1, NP_505632.1, NP_505633.1, NP_510825.1
OG0000190	7	6183.Smp_045490.1, 6183.Smp_045500.1, 6183.Smp_045550.1, 6183.Smp_045560.1, 6183.Smp_146690.1, 6183.Smp_207040.1	NP_499282.1
OG0000192	7	6183.Smp_058690.1, 6183.Smp_058700.1	NP_492598.1, NP_492818.1, NP_497078.1, NP_501381.2, NP_509319.1
OG0000193	7	6183.Smp_062300.1	NP_500362.3, NP_500363.1, NP_502935.1, NP_502936.1, NP_502937.1, NP_502938.1
OG0000194	7	6183.Smp_077180.1	NP_502989.1, NP_503159.3, NP_503160.1, NP_503161.2, NP_503162.3, NP_504040.1
OG0000195	7	6183.Smp_084600.1, 6183.Smp_095090.1	NP_502010.3, NP_502011.1, NP_502012.2, NP_507025.1, NP_507026.1
OG0000197	7	6183.Smp_089100.1	NP_490714.1, NP_502918.1, NP_504305.1, NP_505057.3, NP_505305.1, NP_508017.2
OG0000198	7	6183.Smp_094660.1, 6183.Smp_116290.1	NP_496646.2, NP_501180.1, NP_504823.2, NP_505370.2, NP_505371.2
OG0000199	7	6183.Smp_097700.1, 6183.Smp_174700.1	NP_491103.1, NP_492612.1, NP_492613.1, NP_492615.2, NP_508779.3
OG0000200	7	6183.Smp_132570.1	NP_497879.2, NP_497880.2, NP_497881.2, NP_501732.1, NP_503573.1, NP_508734.1
OG0000201	7	6183.Smp_136960.1	NP_496040.1, NP_496396.2, NP_496493.1, NP_506915.2, NP_509341.2, NP_509949.1
OG0000202	7	6183.Smp_139110.1, 6183.Smp_154020.1, 6183.Smp_198650.1	NP_500898.1, NP_500899.2, NP_500900.2, NP_500901.2
OG0000203	7	6183.Smp_144140.1	NP_491660.1, NP_493626.1, NP_495126.1, NP_496876.1, NP_500517.1, NP_502003.1
OG0000204	7	6183.Smp_165000.1	NP_490970.1, NP_508351.2, NP_509963.2, NP_509981.2, NP_509997.1, NP_510056.2
OG0000205	7	6183.Smp_166190.1	NP_495120.1, NP_495121.1, NP_495122.1, NP_495123.2, NP_496718.1, NP_500805.2
OG0000206	7	6183.Smp_173820.1	NP_501807.3, NP_502204.2, NP_502649.1, NP_506521.2, NP_508795.1, NP_510571.1
OG0000207	7	6183.Smp_196620.1	NP_498106.1, NP_501175.1, NP_501176.1, NP_506077.1, NP_506439.1, NP_509638.2
OG0000226	6	6183.Smp_000190.1	NP_492237.1, NP_492240.1, NP_492563.1, NP_505915.1, NP_509294.1
OG0000227	6	6183.Smp_002080.1	NP_500871.1, NP_500872.1, NP_500873.2, NP_500954.1, NP_502901.2
OG0000228	6	6183.Smp_007070.1, 6183.Smp_018690.1, 6183.Smp_118040.1, 6183.Smp_132410.1, 6183.Smp_202290.1	NP_509725.2
OG0000229	6	6183.Smp_007630.1	NP_492504.1, NP_495021.1, NP_495022.2, NP_500665.2, NP_500666.2
OG0000230	6	6183.Smp_008490.1	NP_501428.3, NP_502866.1, NP_507238.1, NP_508608.1, NP_508609.1
OG0000231	6	6183.Smp_008860.1	NP_492975.3, NP_492976.2, NP_492977.2, NP_493321.1, NP_503934.2
OG0000232	6	6183.Smp_009760.1, 6183.Smp_009780.2	NP_502235.1, NP_502236.1, NP_509938.2, NP_509939.1
OG0000234	6	6183.Smp_015390.1, 6183.Smp_145610.1, 6183.Smp_145840.1, 6183.Smp_178480.1	NP_506171.2, NP_506172.2
OG0000235	6	6183.Smp_018250.2, 6183.Smp_059170.2	NP_500741.2, NP_507250.1, NP_509488.2, NP_509906.1
OG0000236	6	6183.Smp_020550.1, 6183.Smp_146950.1, 6183.Smp_159420.1, 6183.Smp_179370.1, 6183.Smp_208030.1	NP_497048.1
OG0000237	6	6183.Smp_024820.2, 6183.Smp_062980.1, 6183.Smp_095630.1, 6183.Smp_100080.1, 6183.Smp_174190.1	NP_510445.1
OG0000238	6	6183.Smp_026560.2	NP_495906.2, NP_500421.2, NP_501943.1, NP_503386.1, NP_506138.2
OG0000239	6	6183.Smp_030650.1, 6183.Smp_138730.1, 6183.Smp_138750.1, 6183.Smp_175120.2, 6183.Smp_212520.1	NP_504555.2
OG0000240	6	6183.Smp_031180.1, 6183.Smp_031190.1, 6183.Smp_160880.1, 6183.Smp_166500.1, 6183.Smp_166530.2	NP_492033.1
OG0000241	6	6183.Smp_037020.1, 6183.Smp_142100.1	NP_495441.1, NP_495442.1, NP_495443.1, NP_495444.1
OG0000242	6	6183.Smp_037540.2, 6183.Smp_052510.1, 6183.Smp_142810.1, 6183.Smp_156550.1	NP_497043.2, NP_503064.2
OG0000243	6	6183.Smp_040130.1	NP_499828.1, NP_500632.3, NP_506561.1, NP_506749.1, NP_506751.1
OG0000244	6	6183.Smp_045220.1, 6183.Smp_062250.1	NP_491778.2, NP_498193.1, NP_499813.1, NP_510375.2
OG0000245	6	6183.Smp_046180.1, 6183.Smp_122730.1, 6183.Smp_122770.1, 6183.Smp_182200.1, 6183.Smp_186690.1	NP_497098.2
OG0000246	6	6183.Smp_048560.1, 6183.Smp_143130.1	NP_492462.1, NP_492463.1, NP_501080.1, NP_501190.1
OG0000248	6	6183.Smp_073920.1, 6183.Smp_124240.1, 6183.Smp_160290.1, 6183.Smp_163170.1	NP_492506.1, NP_510300.1
OG0000250	6	6183.Smp_092780.2	NP_490695.2, NP_490706.2, NP_496774.1, NP_497807.1, NP_500819.1
OG0000251	6	6183.Smp_094090.1	NP_508739.4, NP_508741.2, NP_508742.1, NP_508743.4, NP_508744.1
OG0000252	6	6183.Smp_095360.1	NP_491926.1, NP_491928.1, NP_503562.1, NP_506440.1, NP_506444.2
OG0000253	6	6183.Smp_098710.1	NP_502314.1, NP_508419.1, NP_508652.1, NP_508653.1, NP_508654.1
OG0000254	6	6183.Smp_119580.1, 6183.Smp_134700.1, 6183.Smp_134710.1, 6183.Smp_134720.1, 6183.Smp_149880.1	NP_508799.1
OG0000257	6	6183.Smp_128640.1, 6183.Smp_146640.1, 6183.Smp_155520.1, 6183.Smp_155540.1, 6183.Smp_160150.1	NP_509833.3
OG0000258	6	6183.Smp_129230.1, 6183.Smp_173030.1, 6183.Smp_174530.1, 6183.Smp_174540.1, 6183.Smp_194090.1	NP_506218.1
OG0000259	6	6183.Smp_129250.1, 6183.Smp_158620.1, 6183.Smp_199900.1	NP_497717.2, NP_499041.1, NP_505874.1
OG0000261	6	6183.Smp_131940.1	NP_494383.2, NP_494384.2, NP_495218.2, NP_495219.1, NP_495662.2
OG0000262	6	6183.Smp_134470.1	NP_495043.1, NP_496961.2, NP_508818.1, NP_508864.2, NP_509228.1
OG0000263	6	6183.Smp_136100.1, 6183.Smp_143970.1, 6183.Smp_158450.2	NP_498380.1, NP_499241.3, NP_501919.1
OG0000264	6	6183.Smp_136530.1	NP_499452.2, NP_500889.2, NP_502249.3, NP_509448.1, NP_509620.2
OG0000265	6	6183.Smp_142320.1, 6183.Smp_153010.1, 6183.Smp_172130.1	NP_492442.3, NP_492443.3, NP_492444.4
OG0000266	6	6183.Smp_144330.1, 6183.Smp_156680.1, 6183.Smp_156700.1, 6183.Smp_180740.1, 6183.Smp_199810.1	NP_510155.3
OG0000267	6	6183.Smp_151860.1	NP_501250.2, NP_501251.2, NP_501252.1, NP_501253.1, NP_501254.1
OG0000268	6	6183.Smp_152940.1, 6183.Smp_168630.1, 6183.Smp_174870.1, 6183.Smp_179570.1	NP_500374.2, NP_509170.1
OG0000269	6	6183.Smp_157080.1	NP_495181.2, NP_495182.2, NP_506971.2, NP_506972.1, NP_510857.2
OG0000270	6	6183.Smp_158430.1, 6183.Smp_168300.1, 6183.Smp_179960.1, 6183.Smp_184360.1, 6183.Smp_193860.1	NP_503370.1
OG0000271	6	6183.Smp_158510.1, 6183.Smp_158520.1	NP_497659.1, NP_504649.1, NP_505413.1, NP_507469.1
OG0000272	6	6183.Smp_158950.1	NP_490768.3, NP_492043.2, NP_508370.1, NP_509857.1, NP_510696.2
OG0000273	6	6183.Smp_169930.1	NP_494744.2, NP_494745.3, NP_503022.1, NP_509661.1, NP_509788.2
OG0000274	6	6183.Smp_174840.1, 6183.Smp_179650.1	NP_499372.2, NP_499373.1, NP_499374.1, NP_510199.1
OG0000275	6	6183.Smp_179810.1	NP_503544.2, NP_509076.1, NP_509337.2, NP_509338.2, NP_509479.1
OG0000306	5	6183.Smp_002930.1, 6183.Smp_089840.1	NP_492642.1, NP_501718.1, NP_505463.1
OG0000307	5	6183.Smp_003980.1, 6183.Smp_089460.2, 6183.Smp_137410.1, 6183.Smp_157500.1	NP_498740.2
OG0000308	5	6183.Smp_005260.1, 6183.Smp_064360.1	NP_501588.1, NP_501594.1, NP_502301.1
OG0000309	5	6183.Smp_005670.1, 6183.Smp_173990.1, 6183.Smp_190370.1	NP_490675.1, NP_492966.1
OG0000311	5	6183.Smp_006440.1, 6183.Smp_051530.1, 6183.Smp_149700.1	NP_495411.2, NP_495412.1
