Orthogroup	Total	protein_mansoni	resultado_dme
OG0000029	17	6183.Smp_000120.1, 6183.Smp_038920.1, 6183.Smp_106390.1, 6183.Smp_158010.1, 6183.Smp_164350.1, 6183.Smp_178530.1, 6183.Smp_183860.1, 6183.Smp_185440.1, 6183.Smp_188900.1, 6183.Smp_192040.1, 6183.Smp_195110.1, 6183.Smp_195120.1, 6183.Smp_195130.1, 6183.Smp_195140.1, 6183.Smp_195150.1, 6183.Smp_195160.1	AAF48015.1
OG0000031	17	6183.Smp_135820.1	AAF46290.2, AAF48372.2, AAF48561.2, AAF50170.2, AAF50172.2, AAF51308.3, AAF52929.2, AAF53033.1, AAF54116.2, AAF54647.2, AAF54751.2, AAF54753.1, AAF55121.3, AAF57303.2, AAF57770.1, NP_612066.1
OG0000035	16	6183.Smp_094500.1	AAF48394.2, AAF48395.1, AAF48396.1, AAF48397.2, AAF48398.1, AAF48399.3, AAF48400.1, AAF48402.1, AAF48404.1, AAF48405.2, AAF48406.1, AAF54634.1, AAF56574.1, NP_477503.1, NP_572982.1
OG0000039	15	6183.Smp_001280.1, 6183.Smp_001330.1, 6183.Smp_034160.1, 6183.Smp_040110.1, 6183.Smp_050520.1, 6183.Smp_122740.1, 6183.Smp_122750.1, 6183.Smp_135370.1, 6183.Smp_140600.1, 6183.Smp_145730.1, 6183.Smp_171690.1, 6183.Smp_173560.1, 6183.Smp_183600.1	AAF56678.2, NP_477264.1
OG0000040	15	6183.Smp_028910.1, 6183.Smp_054300.1, 6183.Smp_129750.1, 6183.Smp_137730.1, 6183.Smp_137740.1, 6183.Smp_142860.1, 6183.Smp_154410.1, 6183.Smp_193620.1, 6183.Smp_193870.1, 6183.Smp_194990.1, 6183.Smp_199790.1, 6183.Smp_205640.1, 6183.Smp_209060.1, 6183.Smp_211180.1	AAF49657.2
OG0000041	15	6183.Smp_096520.1	AAF45986.1, AAF46908.2, AAF46909.3, AAF46910.2, AAF46911.1, AAF46912.2, AAF48230.1, AAF57210.1, AAF57299.2, AAF57635.2, AAF57636.3, AAF59171.3, NP_611376.1, XP_080912.1
OG0000043	14	6183.Smp_042680.1	AAF45844.2, AAF46353.1, AAF48896.1, AAF50801.1, AAF51983.1, AAF51984.1, AAF51985.3, AAF56735.1, AAF56937.1, NP_569835.1, NP_569875.2, NP_573109.1, NP_610724.1
OG0000045	13	6183.Smp_011000.1, 6183.Smp_146180.1	AAF51110.1, AAF51606.1, AAF54840.3, AAF54841.2, AAF54842.3, AAF54843.4, AAF54844.2, AAF56528.2, AAF57253.5, AAF58163.1, NP_477331.1
OG0000046	13	6183.Smp_011680.1	AAF47309.1, AAF47310.2, AAF47591.3, AAF50520.2, AAF52518.3, AAF52584.3, AAF53645.3, AAF55338.1, AAF55863.2, NP_477183.1, NP_609169.1, NP_611991.1
OG0000047	13	6183.Smp_152190.1	AAF54527.2, NP_476923.1, NP_523599.1, NP_524511.1, NP_524513.1, NP_525094.1, NP_536753.1, Q01068.1, Q01069.2, Q01070.1, Q01071.1, S06956
OG0000052	12	6183.Smp_006320.1	AAF46762.2, AAF46844.1, AAF46845.1, AAF46850.4, AAF46859.2, AAF46876.2, AAF53944.1, AAF53947.2, NP_477306.3, NP_523772.1, NP_610070.3
OG0000053	12	6183.Smp_031680.1, 6183.Smp_139330.1	AAF45409.3, AAF46361.3, AAF48950.4, AAF48951.1, AAF52817.3, AAF56301.2, AAF56302.2, NP_524483.1, NP_609700.2, P04755.1
OG0000054	12	6183.Smp_047460.1	AAF48872.1, AAF51925.1, AAF55124.2, AAF56122.1, AAF56275.1, NP_609755.1, NP_609756.1, NP_609757.1, NP_609758.1, NP_609759.1, NP_609760.1
OG0000055	12	6183.Smp_072470.1, 6183.Smp_082290.1, 6183.Smp_125400.1	AAF45802.1, AAF45967.1, AAF54684.2, AAF56590.1, NP_477344.1, NP_477446.1, NP_524251.2, NP_524376.2, P48987.2
OG0000062	11	6183.Smp_029360.1	AAF47603.1, AAF48694.1, AAF48695.2, AAF50114.1, AAF50116.1, AAF50117.4, AAF50252.1, AAF52663.1, AAF58478.2, AAF58727.1
OG0000063	11	6183.Smp_033550.1, 6183.Smp_073920.1, 6183.Smp_124240.1, 6183.Smp_160290.1, 6183.Smp_163170.1	AAF17588.1, AAF55652.1, NP_477167.1, NP_477168.1, NP_477169.1, NP_610108.1
OG0000064	11	6183.Smp_038970.1, 6183.Smp_101650.1, 6183.Smp_119730.1, 6183.Smp_125560.1, 6183.Smp_138660.1, 6183.Smp_142680.1, 6183.Smp_165850.1, 6183.Smp_175090.3, 6183.Smp_198870.1, 6183.Smp_209040.1	AAF49219.1
OG0000067	11	6183.Smp_142940.1, 6183.Smp_160670.1	AAF47314.1, AAF47315.2, AAF49918.2, AAF59318.1, AAF59395.4, NP_476686.1, NP_523556.1, NP_524041.2, NP_524276.1
OG0000068	11	6183.Smp_147010.1	AAF46592.1, AAF46653.2, AAF48063.1, AAF54410.1, AAF57650.1, AAF58014.2, NP_572731.1, NP_610639.1, NP_611075.1, NP_611944.1
OG0000069	11	6183.Smp_179120.1	AAF51073.2, AAF51075.1, AAF51077.1, AAF51078.1, AAF51083.1, AAF56131.2, AAF59015.1, NP_608797.1, NP_608800.1, NP_608802.2
OG0000077	10	6183.Smp_027830.1, 6183.Smp_110560.1, 6183.Smp_118350.1, 6183.Smp_137240.1, 6183.Smp_168420.1, 6183.Smp_191640.1, 6183.Smp_193320.1, 6183.Smp_193570.1, 6183.Smp_193580.1	AAF55975.1
OG0000081	10	6183.Smp_112270.1, 6183.Smp_117990.1, 6183.Smp_122020.1, 6183.Smp_167350.1, 6183.Smp_187770.1, 6183.Smp_191250.1, 6183.Smp_192030.1, 6183.Smp_199470.1	AAF47157.2, AAF50881.1
OG0000082	10	6183.Smp_147430.1, 6183.Smp_153780.1	AAF50075.2, AAF51569.2, AAF52268.1, AAF52269.3, AAF55818.1, AAF55821.2, NP_523610.2, NP_608557.4
OG0000083	10	6183.Smp_163920.1	AAF45541.5, AAF50455.3, AAF50456.3, AAF50457.1, AAF50600.3, AAF50601.3, AAF50602.3, AAF55425.1, NP_523649.5
OG0000084	10	6183.Smp_165800.1	AAF48511.1, AAF49305.4, AAF49312.4, AAF50836.4, AAF50837.2, AAF50838.3, AAF55726.3, AAF55727.1, AAF57490.2
OG0000086	10	6183.Smp_179650.1	AAF46438.1, AAF50999.1, AAF54354.2, AAF57821.1, NP_476755.1, NP_524199.1, NP_536794.1, NP_573229.1, XP_081407.1
OG0000087	10	6183.Smp_212240.1	AAF47338.1, AAF54075.1, AAF54145.2, AAF54146.1, AAF54147.1, AAF54148.1, AAF54149.3, AAF54577.1, AAF54580.2
OG0000093	9	6183.Smp_008070.1, 6183.Smp_054470.1	AAF46018.2, AAF47638.1, AAF49714.1, AAF57518.2, CAA19652.1, NP_511046.1, NP_523526.1
OG0000094	9	6183.Smp_009430.1, 6183.Smp_084570.1, 6183.Smp_102190.1, 6183.Smp_117920.1, 6183.Smp_131430.1, 6183.Smp_168550.1, 6183.Smp_168560.1, 6183.Smp_178940.1	AAF46291.1
OG0000096	9	6183.Smp_030220.1	AAF47701.2, AAF48108.2, AAF48109.2, AAF49296.1, AAF49297.2, NP_570021.2, NP_609219.1, NP_611656.2
OG0000101	9	6183.Smp_085240.2, 6183.Smp_171720.1	AAF51828.1, AAF51829.1, AAF51830.1, AAF51831.1, AAF51832.1, AAF58941.3, AAF58942.2
OG0000102	9	6183.Smp_089270.1, 6183.Smp_089290.1, 6183.Smp_170830.1, 6183.Smp_170840.1, 6183.Smp_179250.1, 6183.Smp_179260.1, 6183.Smp_186710.1	AAF52871.2, AAF58008.2
OG0000103	9	6183.Smp_104210.1, 6183.Smp_180030.1, 6183.Smp_180350.1	AAF55202.1, NP_476701.1, NP_477096.1, NP_524035.2, NP_524398.1, NP_524407.1
OG0000105	9	6183.Smp_122930.1	AAF49216.1, AAF50398.1, AAF50524.1, AAF54761.1, AAF55709.1, AAF57579.2, AAF58637.1, NP_609040.1
OG0000106	9	6183.Smp_129480.1, 6183.Smp_129490.1, 6183.Smp_144120.1, 6183.Smp_148570.1	AAF47800.2, AAF49930.2, AAF49932.2, NP_476606.1, NP_572505.1
OG0000107	9	6183.Smp_130350.1	AAF46848.2, AAF49401.2, AAF56502.3, AAF56503.2, AAF56504.1, AAF56505.2, AAF56506.2, AAF58399.1
OG0000108	9	6183.Smp_132330.1, 6183.Smp_210430.1	AAF46585.1, AAF47981.2, AAF51970.1, NP_523970.1, NP_524432.4, NP_608373.1, NP_612052.1
OG0000109	9	6183.Smp_175220.1	AAF57569.1, AAF57570.2, AAF57571.3, AAF57572.2, AAF57573.1, AAF57575.1, AAF58526.3, AAF58527.2
OG0000119	8	6183.Smp_001500.1	AAF45584.2, AAF50460.2, AAF50509.2, AAF50651.1, AAF56233.2, AAF56840.1, NP_524829.1
OG0000124	8	6183.Smp_024820.2	AAF52719.2, NP_477248.1, NP_523516.1, NP_523612.3, NP_523696.1, NP_523985.1, NP_524132.1
OG0000125	8	6183.Smp_045490.1, 6183.Smp_045500.1, 6183.Smp_045550.1, 6183.Smp_045560.1, 6183.Smp_146690.1, 6183.Smp_207040.1	AAF48609.1, NP_476604.1
OG0000126	8	6183.Smp_050700.1	AAF53219.2, AAF54136.1, AAF54137.1, AAF56003.1, AAF56004.1, NP_476998.1, NP_511152.2
OG0000127	8	6183.Smp_052910.1	AAF47061.1, AAF49021.1, AAF49022.2, AAF49023.1, NP_477390.1, NP_610729.1, NP_611796.1
OG0000129	8	6183.Smp_088800.1, 6183.Smp_178380.1, 6183.Smp_179140.1, 6183.Smp_190720.1, 6183.Smp_194140.1, 6183.Smp_194150.1, 6183.Smp_199340.1	AAF53577.3
OG0000130	8	6183.Smp_089670.1	AAF52539.2, AAF52541.2, AAF52542.2, AAF53490.3, AAF53826.2, AAF53827.1, AAF53828.3
OG0000132	8	6183.Smp_125970.1, 6183.Smp_135890.1, 6183.Smp_149930.1	AAF57956.4, AAF58692.3, AAF59053.2, AAF59055.4, AAF59056.2
OG0000133	8	6183.Smp_128110.1	AAF47034.2, AAF47035.2, AAF58642.1, AAF58643.2, NP_476837.1, NP_611810.1, NP_611813.1
OG0000134	8	6183.Smp_145890.1, 6183.Smp_180810.1	AAF46065.3, AAF52956.3, AAF56722.1, AAF56794.4, AAF57229.2, NP_611718.1
OG0000135	8	6183.Smp_149150.1	AAF50367.1, AAF50608.2, AAF50609.1, AAF50610.1, AAF52610.1, NP_608729.1, P42281.1
OG0000136	8	6183.Smp_168450.1, 6183.Smp_193030.1	AAF47429.2, AAF48917.4, AAF51193.3, AAF51197.1, AAF59121.3, NP_609258.1
OG0000137	8	6183.Smp_194950.1	AAF46241.4, AAF48215.3, AAF50792.4, AAF51178.2, AAF55205.1, CAA18091.1, NP_569908.1
OG0000141	7	6183.Smp_006930.1, 6183.Smp_042720.1, 6183.Smp_133290.1, 6183.Smp_151200.1, 6183.Smp_151210.1, 6183.Smp_151220.1	NP_476901.1
OG0000142	7	6183.Smp_019630.1	AAF56094.2, AAF56095.2, AAF56096.1, AAF56097.1, AAF56098.2, NP_610181.2
OG0000143	7	6183.Smp_020920.1	AAD48755.1, AAF51395.3, AAF51806.1, AAF52123.1, NP_572633.1, Q24133.3
OG0000147	7	6183.Smp_045410.1, 6183.Smp_045420.1, 6183.Smp_057130.1, 6183.Smp_086190.1	AAF55091.1, AAF56824.1, AAF56831.1
OG0000149	7	6183.Smp_048560.1	AAF49395.3, AAF49396.2, AAF49398.2, AAF59281.2, AAF59292.2, NP_611215.1
OG0000150	7	6183.Smp_056780.1	AAF53739.1, AAF57245.1, AAF57512.1, NP_523771.1, NP_608667.1, NP_611916.1
OG0000152	7	6183.Smp_076300.1, 6183.Smp_086270.1, 6183.Smp_133480.1, 6183.Smp_133520.1, 6183.Smp_155010.1, 6183.Smp_187740.1	NP_523912.1
OG0000153	7	6183.Smp_080070.1, 6183.Smp_180630.1, 6183.Smp_184340.1, 6183.Smp_186830.1, 6183.Smp_199440.1, 6183.Smp_209080.1	AAF52963.2
OG0000154	7	6183.Smp_082250.1, 6183.Smp_125080.1, 6183.Smp_127610.1, 6183.Smp_137760.1, 6183.Smp_167640.1, 6183.Smp_181340.1	AAF48304.2
OG0000156	7	6183.Smp_090100.1, 6183.Smp_090110.1, 6183.Smp_153930.1, 6183.Smp_171320.1, 6183.Smp_173070.1, 6183.Smp_204600.1	AAF54501.2
OG0000157	7	6183.Smp_128330.1, 6183.Smp_204720.1	NP_523445.1, NP_523945.2, NP_524535.2, P51023.2, Q01842.2
OG0000158	7	6183.Smp_134410.2	AAF45749.2, AAF57326.2, AAF57382.1, AAF58221.2, NP_610940.1, NP_612069.1
OG0000159	7	6183.Smp_194020.1	AAF54816.1, AAF55181.2, AAF56726.1, AAF58477.2, NP_609299.1, NP_610910.1
OG0000168	6	6183.Smp_001030.1, 6183.Smp_127420.1, 6183.Smp_142030.1, 6183.Smp_144700.1, 6183.Smp_212370.1	AAF55864.2
OG0000169	6	6183.Smp_004310.1, 6183.Smp_062890.1	AAF50062.2, AAF53003.1, AAF57930.1, NP_476801.1
OG0000171	6	6183.Smp_014660.2, 6183.Smp_104670.1	AAF48164.2, NP_523419.1, NP_524172.1, NP_609094.1
OG0000172	6	6183.Smp_015630.1, 6183.Smp_096480.1, 6183.Smp_099500.1, 6183.Smp_176730.1	AAF49571.3, AAF55695.2
OG0000173	6	6183.Smp_021370.1, 6183.Smp_056260.1, 6183.Smp_146430.1, 6183.Smp_153110.1, 6183.Smp_211240.1	NP_610946.1
OG0000174	6	6183.Smp_024660.1, 6183.Smp_204750.1	AAF51373.1, AAF51374.1, AAF51388.2, NP_476899.1
OG0000175	6	6183.Smp_030650.1, 6183.Smp_138730.1, 6183.Smp_138750.1, 6183.Smp_175120.2, 6183.Smp_212520.1	NP_572740.1
OG0000176	6	6183.Smp_032000.1	NP_476974.1, NP_477249.3, NP_477462.1, NP_524017.1, O01382.2
OG0000178	6	6183.Smp_044530.1, 6183.Smp_062950.1, 6183.Smp_196030.1	AAF51510.3, NP_476858.1, Q9XYM0.1
OG0000179	6	6183.Smp_046180.1, 6183.Smp_122730.1, 6183.Smp_122770.1, 6183.Smp_182200.1, 6183.Smp_186690.1	AAF45915.1
OG0000180	6	6183.Smp_047640.1, 6183.Smp_047650.1, 6183.Smp_047660.1, 6183.Smp_047680.1	AAF48226.1, AAF57038.1
OG0000181	6	6183.Smp_049160.1, 6183.Smp_152210.1	AAF51085.1, NP_476882.1, NP_476883.1, NP_536788.2
OG0000182	6	6183.Smp_051990.1, 6183.Smp_139810.1, 6183.Smp_149990.1	AAF49426.3, AAF57447.1, AAF57449.2
OG0000183	6	6183.Smp_053900.1, 6183.Smp_134300.1	AAF46407.1, AAF58500.2, NP_523924.1, NP_525081.1
OG0000184	6	6183.Smp_057530.1	AAF45422.1, AAF48688.3, AAF52291.2, AAF52407.3, NP_524739.1
OG0000185	6	6183.Smp_059600.1, 6183.Smp_147440.1, 6183.Smp_154300.1, 6183.Smp_162540.1, 6183.Smp_165950.1	NP_523940.2
OG0000186	6	6183.Smp_065130.2	AAF54657.2, AAF54658.3, AAF56048.1, AAF56711.2, AAF58853.2
OG0000190	6	6183.Smp_121160.1	AAD38577.1, AAF49238.1, AAF54347.1, AAF55767.2, AAF59153.1
OG0000191	6	6183.Smp_123670.1	AAF49154.2, AAF49155.1, AAF49156.2, AAF55931.1, NP_524917.1
OG0000192	6	6183.Smp_124050.4, 6183.Smp_124060.1, 6183.Smp_124070.1	AAF51270.2, AAF54109.2, NP_608663.1
OG0000193	6	6183.Smp_125420.1	AAF45788.2, AAF48216.2, AAF58388.1, AAF58501.4, NP_610960.1
OG0000195	6	6183.Smp_128640.1, 6183.Smp_146640.1, 6183.Smp_155520.1, 6183.Smp_155540.1, 6183.Smp_160150.1	AAF56394.2
OG0000196	6	6183.Smp_129700.1, 6183.Smp_145910.1, 6183.Smp_145920.1, 6183.Smp_147690.1, 6183.Smp_147700.1	Q9VYB7.2
OG0000198	6	6183.Smp_132840.1, 6183.Smp_156140.1, 6183.Smp_168410.1, 6183.Smp_175720.1	AAF52974.1, AAF52977.3
OG0000199	6	6183.Smp_134440.2	AAF54859.1, AAF58000.3, AAF58001.4, NP_611127.1, XP_081224.1
OG0000201	6	6183.Smp_141910.1, 6183.Smp_143930.1, 6183.Smp_155450.1	AAF50702.3, AAF55127.3, AAF58298.3
OG0000202	6	6183.Smp_150180.1, 6183.Smp_159850.1, 6183.Smp_202470.1	AAF55797.1, CAB38025.1, NP_524548.1
OG0000203	6	6183.Smp_150500.1, 6183.Smp_181470.1	AAF55028.1, AAF59166.2, NP_523722.1, NP_610824.1
OG0000204	6	6183.Smp_152940.1, 6183.Smp_168630.1, 6183.Smp_174870.1, 6183.Smp_179570.1	AAF46052.1, NP_572237.1
OG0000205	6	6183.Smp_155870.1	NP_524746.2, NP_608439.2, Q9VGA2.1, Q9VN97.1, Q9VNA0.2
OG0000206	6	6183.Smp_156580.1	AAF53777.1, AAF58429.3, NP_477139.1, NP_477341.2, NP_610834.2
OG0000207	6	6183.Smp_156620.1	AAF48242.2, NP_611025.2, NP_611808.2, O44386.2, P12080.2
OG0000208	6	6183.Smp_158430.1, 6183.Smp_168300.1, 6183.Smp_179960.1, 6183.Smp_184360.1, 6183.Smp_193860.1	AAF50502.1
OG0000209	6	6183.Smp_158550.1	AAF49966.3, AAF57999.1, NP_477507.1, NP_611244.1, Q24322.3
OG0000210	6	6183.Smp_162910.1	AAF49202.2, AAF49203.1, AAF54771.1, NP_608804.1, NP_611548.1
OG0000224	5	6183.Smp_003440.1, 6183.Smp_061140.1, 6183.Smp_122810.1, 6183.Smp_196010.1	AAF47921.3
OG0000225	5	6183.Smp_003980.1, 6183.Smp_083530.1, 6183.Smp_089460.2	AAF50189.2, NP_477047.1
OG0000227	5	6183.Smp_006560.1, 6183.Smp_007450.2	AAF54857.2, AAF56229.3, NP_523995.1
OG0000229	5	6183.Smp_007690.1, 6183.Smp_174920.1	AAF47444.1, NP_476898.1, P17276.3
OG0000230	5	6183.Smp_008360.1, 6183.Smp_008400.1	AAF49852.1, AAF54757.2, AAF59279.1
OG0000231	5	6183.Smp_010110.1	AAF52133.1, AAF56682.1, NP_570059.2, NP_572456.1
OG0000232	5	6183.Smp_010250.1, 6183.Smp_162970.1	AAF47435.3, AAF47436.3, AAF50532.2
OG0000235	5	6183.Smp_018690.1, 6183.Smp_118040.1, 6183.Smp_132410.1	AAF49074.2, AAF49075.1
OG0000238	5	6183.Smp_026560.2	AAF55119.1, AAF58544.1, NP_523710.1, NP_609925.1
OG0000239	5	6183.Smp_027040.1, 6183.Smp_099890.1	AAF48060.1, AAF56507.1, AAF58285.1
OG0000240	5	6183.Smp_029240.2	AAF51032.1, AAF53052.2, AAF54556.1, AAF55002.1
OG0000241	5	6183.Smp_030760.1, 6183.Smp_034220.1	AAF53014.1, AAF55315.1, NP_477158.1
OG0000243	5	6183.Smp_040130.1	AAF49750.1, AAF50235.1, AAF57375.1, NP_523366.2
OG0000244	5	6183.Smp_042390.1, 6183.Smp_178890.1	AAF51380.1, NP_477228.1, NP_608598.1
OG0000245	5	6183.Smp_043100.1, 6183.Smp_053940.1	AAF56800.2, NP_476807.1, NP_524543.1
OG0000246	5	6183.Smp_045790.1	AAF47265.3, AAF49765.1, NP_476652.1, NP_611963.5
