Orthogroup	kog_cerevisiae_pos_go	protein_mansoni
OG0000010		6183.Smp_001100.1, 6183.Smp_001280.1, 6183.Smp_001330.1, 6183.Smp_034160.1, 6183.Smp_040110.1, 6183.Smp_050520.1, 6183.Smp_064320.1, 6183.Smp_089670.1, 6183.Smp_105360.1, 6183.Smp_122740.1, 6183.Smp_122750.1, 6183.Smp_132540.1, 6183.Smp_135370.1, 6183.Smp_140600.1, 6183.Smp_140800.1, 6183.Smp_141250.1, 6183.Smp_143300.1, 6183.Smp_145730.1, 6183.Smp_157070.1, 6183.Smp_158310.1, 6183.Smp_167190.1, 6183.Smp_173560.1, 6183.Smp_183600.1
OG0000011		6183.Smp_011560.1, 6183.Smp_013370.3, 6183.Smp_017430.1, 6183.Smp_019340.1, 6183.Smp_024820.2, 6183.Smp_035020.2, 6183.Smp_059530.2, 6183.Smp_062980.1, 6183.Smp_075720.1, 6183.Smp_095630.1, 6183.Smp_099770.1, 6183.Smp_100080.1, 6183.Smp_131840.1, 6183.Smp_142230.1, 6183.Smp_154180.1, 6183.Smp_154190.1, 6183.Smp_173150.1, 6183.Smp_174190.1, 6183.Smp_176870.1, 6183.Smp_181530.1, 6183.Smp_194960.1, 6183.Smp_194970.1, 6183.Smp_194980.1
OG0000012	NP_015097.1	6183.Smp_002470.1, 6183.Smp_026200.1, 6183.Smp_026790.1, 6183.Smp_026860.1, 6183.Smp_032780.1, 6183.Smp_048030.1, 6183.Smp_063550.1, 6183.Smp_088610.1, 6183.Smp_096830.1, 6183.Smp_101840.1, 6183.Smp_109240.1, 6183.Smp_114130.1, 6183.Smp_114870.1, 6183.Smp_120020.1, 6183.Smp_125000.1, 6183.Smp_138800.1, 6183.Smp_139590.1, 6183.Smp_174250.1, 6183.Smp_175190.1, 6183.Smp_178400.1, 6183.Smp_197170.1
OG0000013		6183.Smp_018670.1, 6183.Smp_023620.1, 6183.Smp_024070.1, 6183.Smp_029800.1, 6183.Smp_062720.1, 6183.Smp_066760.2, 6183.Smp_095620.2, 6183.Smp_121940.1, 6183.Smp_125440.1, 6183.Smp_129640.1, 6183.Smp_149640.1, 6183.Smp_155460.1, 6183.Smp_163110.1, 6183.Smp_163570.1, 6183.Smp_164880.1, 6183.Smp_169390.1, 6183.Smp_174960.1, 6183.Smp_194800.1, 6183.Smp_194810.1, 6183.Smp_196300.1, 6183.Smp_198990.1, 6183.Smp_199540.1
OG0000014		6183.Smp_026570.1, 6183.Smp_034610.1, 6183.Smp_037510.1, 6183.Smp_058470.1, 6183.Smp_066900.1, 6183.Smp_073360.1, 6183.Smp_073380.1, 6183.Smp_088060.1, 6183.Smp_105760.1, 6183.Smp_117170.1, 6183.Smp_129020.1, 6183.Smp_140850.1, 6183.Smp_140860.1, 6183.Smp_141290.2, 6183.Smp_141390.1, 6183.Smp_142390.1, 6183.Smp_146940.1, 6183.Smp_161890.1, 6183.Smp_161900.1, 6183.Smp_170070.1, 6183.Smp_187190.1, 6183.Smp_200490.1
OG0000015		6183.Smp_111980.1, 6183.Smp_151790.1, 6183.Smp_200060.1, 6183.Smp_201230.1, 6183.Smp_201840.1, 6183.Smp_201900.1, 6183.Smp_202400.1, 6183.Smp_202450.1, 6183.Smp_203620.1, 6183.Smp_203660.1, 6183.Smp_203830.1, 6183.Smp_203930.1, 6183.Smp_204010.1, 6183.Smp_204150.1, 6183.Smp_204920.1, 6183.Smp_204980.1, 6183.Smp_205380.1, 6183.Smp_205540.1, 6183.Smp_205600.1, 6183.Smp_205630.1, 6183.Smp_205690.1, 6183.Smp_206060.1
OG0000016		6183.Smp_000340.1, 6183.Smp_016180.1, 6183.Smp_034860.1, 6183.Smp_036500.1, 6183.Smp_068780.1, 6183.Smp_073470.2, 6183.Smp_097700.1, 6183.Smp_105090.1, 6183.Smp_130200.1, 6183.Smp_134490.1, 6183.Smp_139200.1, 6183.Smp_139360.1, 6183.Smp_144170.1, 6183.Smp_150630.1, 6183.Smp_155250.1, 6183.Smp_163790.1, 6183.Smp_167770.1, 6183.Smp_174260.1, 6183.Smp_174700.1, 6183.Smp_174750.1, 6183.Smp_212440.1
OG0000017		6183.Smp_002860.1, 6183.Smp_005170.1, 6183.Smp_023190.1, 6183.Smp_028860.1, 6183.Smp_029950.1, 6183.Smp_061980.1, 6183.Smp_084210.1, 6183.Smp_086310.1, 6183.Smp_086370.1, 6183.Smp_099090.1, 6183.Smp_117560.1, 6183.Smp_120750.1, 6183.Smp_138720.1, 6183.Smp_138790.1, 6183.Smp_141260.1, 6183.Smp_166270.1, 6183.Smp_177900.1, 6183.Smp_178320.1, 6183.Smp_188510.1, 6183.Smp_188960.1, 6183.Smp_200580.1
OG0000018		6183.Smp_035160.1, 6183.Smp_035180.1, 6183.Smp_035870.1, 6183.Smp_046120.1, 6183.Smp_063930.1, 6183.Smp_069240.1, 6183.Smp_081250.1, 6183.Smp_090420.1, 6183.Smp_090430.1, 6183.Smp_094560.1, 6183.Smp_121190.1, 6183.Smp_121920.1, 6183.Smp_129380.1, 6183.Smp_144310.1, 6183.Smp_156640.1, 6183.Smp_160780.1, 6183.Smp_163090.1, 6183.Smp_194490.1, 6183.Smp_194710.1, 6183.Smp_199260.1
OG0000019		6183.Smp_039650.1, 6183.Smp_045300.1, 6183.Smp_048980.1, 6183.Smp_055600.1, 6183.Smp_104030.3, 6183.Smp_125480.1, 6183.Smp_126310.1, 6183.Smp_132600.1, 6183.Smp_137910.1, 6183.Smp_141070.1, 6183.Smp_141790.1, 6183.Smp_146240.1, 6183.Smp_154490.1, 6183.Smp_154560.1, 6183.Smp_168960.1, 6183.Smp_170290.1, 6183.Smp_180290.1, 6183.Smp_192580.1, 6183.Smp_197780.1, 6183.Smp_205990.1
OG0000020		6183.Smp_000755.1, 6183.Smp_059140.1, 6183.Smp_088180.1, 6183.Smp_094770.1, 6183.Smp_122860.1, 6183.Smp_125470.1, 6183.Smp_147480.1, 6183.Smp_157440.1, 6183.Smp_159370.1, 6183.Smp_167670.1, 6183.Smp_167780.1, 6183.Smp_168360.1, 6183.Smp_170460.1, 6183.Smp_170470.1, 6183.Smp_170480.1, 6183.Smp_170490.1, 6183.Smp_170500.1, 6183.Smp_175400.1, 6183.Smp_194190.1
OG0000021		6183.Smp_007270.1, 6183.Smp_012600.1, 6183.Smp_014780.2, 6183.Smp_018010.1, 6183.Smp_034550.1, 6183.Smp_046130.1, 6183.Smp_123730.1, 6183.Smp_123740.1, 6183.Smp_128920.1, 6183.Smp_128930.1, 6183.Smp_143470.2, 6183.Smp_143620.1, 6183.Smp_161970.1, 6183.Smp_163360.1, 6183.Smp_163740.1, 6183.Smp_168650.1, 6183.Smp_170310.1, 6183.Smp_176000.1, 6183.Smp_196570.1
OG0000022	NP_009624.4, NP_009625.1, NP_009690.1, NP_009905.3, NP_010331.3, NP_010444.1, NP_010796.1, NP_010851.1, NP_011707.1, NP_012965.3, NP_013039.1, NP_014129.1, NP_014131.1, NP_014622.1, NP_014993.1, NP_015049.1, NP_015058.1, NP_116600.1	
OG0000023	NP_012980.1	6183.Smp_034920.1, 6183.Smp_067620.1, 6183.Smp_124170.1, 6183.Smp_130810.1, 6183.Smp_137550.1, 6183.Smp_137560.1, 6183.Smp_153140.1, 6183.Smp_153330.1, 6183.Smp_156080.1, 6183.Smp_157410.1, 6183.Smp_158760.1, 6183.Smp_159840.1, 6183.Smp_165620.1, 6183.Smp_165820.1, 6183.Smp_176300.1, 6183.Smp_212280.1, 6183.Smp_212290.1
OG0000024		6183.Smp_008390.1, 6183.Smp_023140.1, 6183.Smp_124150.1, 6183.Smp_124880.1, 6183.Smp_125090.1, 6183.Smp_128820.1, 6183.Smp_128830.1, 6183.Smp_141020.1, 6183.Smp_152360.1, 6183.Smp_162070.1, 6183.Smp_164000.1, 6183.Smp_165180.1, 6183.Smp_165300.1, 6183.Smp_167530.1, 6183.Smp_173920.1, 6183.Smp_186920.1, 6183.Smp_187590.1, 6183.Smp_193730.1
OG0000025		6183.Smp_056560.1, 6183.Smp_105340.1, 6183.Smp_136440.1, 6183.Smp_136450.1, 6183.Smp_142280.1, 6183.Smp_142290.1, 6183.Smp_146620.1, 6183.Smp_148670.1, 6183.Smp_151810.1, 6183.Smp_152350.1, 6183.Smp_152480.1, 6183.Smp_152500.1, 6183.Smp_153100.1, 6183.Smp_155040.1, 6183.Smp_161140.1, 6183.Smp_194700.1, 6183.Smp_196370.1, 6183.Smp_212410.1
OG0000026	NP_009618.2	6183.Smp_001560.1, 6183.Smp_016920.1, 6183.Smp_047420.1, 6183.Smp_047700.1, 6183.Smp_048680.1, 6183.Smp_049970.5, 6183.Smp_071380.4, 6183.Smp_079400.1, 6183.Smp_125460.1, 6183.Smp_134780.1, 6183.Smp_150210.1, 6183.Smp_150830.1, 6183.Smp_176120.1, 6183.Smp_201820.1, 6183.Smp_205270.1
OG0000027	NP_009991.2	6183.Smp_012010.1, 6183.Smp_054350.1, 6183.Smp_076300.1, 6183.Smp_086270.1, 6183.Smp_098780.1, 6183.Smp_133480.1, 6183.Smp_133520.1, 6183.Smp_135710.1, 6183.Smp_145650.1, 6183.Smp_150430.1, 6183.Smp_152170.1, 6183.Smp_155010.1, 6183.Smp_158750.1, 6183.Smp_200710.1, 6183.Smp_212350.1
OG0000028	NP_010712.1	6183.Smp_005470.1, 6183.Smp_019310.1, 6183.Smp_030910.1, 6183.Smp_040680.1, 6183.Smp_051400.1, 6183.Smp_095480.1, 6183.Smp_095500.1, 6183.Smp_095520.1, 6183.Smp_114620.1, 6183.Smp_125010.1, 6183.Smp_125020.1, 6183.Smp_174510.1, 6183.Smp_174520.1, 6183.Smp_200180.1, 6183.Smp_201060.1
OG0000029		6183.Smp_000120.1, 6183.Smp_038920.1, 6183.Smp_106390.1, 6183.Smp_158010.1, 6183.Smp_164350.1, 6183.Smp_178530.1, 6183.Smp_183860.1, 6183.Smp_185440.1, 6183.Smp_188900.1, 6183.Smp_192040.1, 6183.Smp_195110.1, 6183.Smp_195120.1, 6183.Smp_195130.1, 6183.Smp_195140.1, 6183.Smp_195150.1, 6183.Smp_195160.1
OG0000030		6183.Smp_010670.1, 6183.Smp_042140.1, 6183.Smp_042150.1, 6183.Smp_045010.1, 6183.Smp_045200.1, 6183.Smp_072620.1, 6183.Smp_072630.1, 6183.Smp_074460.1, 6183.Smp_077310.1, 6183.Smp_086470.1, 6183.Smp_086480.1, 6183.Smp_086530.1, 6183.Smp_146460.1, 6183.Smp_169190.1, 6183.Smp_169200.1, 6183.Smp_195090.1
OG0000031		6183.Smp_019030.1, 6183.Smp_034410.1, 6183.Smp_067060.1, 6183.Smp_085010.1, 6183.Smp_085180.1, 6183.Smp_103610.1, 6183.Smp_105370.1, 6183.Smp_139160.1, 6183.Smp_139240.1, 6183.Smp_141610.1, 6183.Smp_149730.1, 6183.Smp_158410.1, 6183.Smp_158420.1, 6183.Smp_179950.1, 6183.Smp_187140.1, 6183.Smp_210500.1
OG0000032		6183.Smp_056290.1, 6183.Smp_112270.1, 6183.Smp_117990.1, 6183.Smp_122020.1, 6183.Smp_132850.2, 6183.Smp_139510.1, 6183.Smp_165020.1, 6183.Smp_165800.1, 6183.Smp_167350.1, 6183.Smp_176350.1, 6183.Smp_176450.1, 6183.Smp_187770.1, 6183.Smp_191250.1, 6183.Smp_192030.1, 6183.Smp_199470.1, 6183.Smp_206030.1
OG0000033	NP_010051.1	6183.Smp_130560.1, 6183.Smp_130570.1, 6183.Smp_134180.1, 6183.Smp_134190.1, 6183.Smp_135210.1, 6183.Smp_144050.1, 6183.Smp_144810.1, 6183.Smp_152750.1, 6183.Smp_156220.1, 6183.Smp_157620.1, 6183.Smp_160050.1, 6183.Smp_165740.1, 6183.Smp_167520.1, 6183.Smp_169380.1
OG0000034	NP_010087.1, NP_010143.1, NP_010629.3, NP_010630.1, NP_010632.1, NP_011960.2, NP_011962.1, NP_011964.1, NP_012321.1, NP_013182.1, NP_013724.1, NP_014081.1, NP_014486.1, NP_116644.1	
OG0000035	NP_014889.3	6183.Smp_000190.1, 6183.Smp_015520.1, 6183.Smp_032370.1, 6183.Smp_076580.1, 6183.Smp_081430.1, 6183.Smp_120070.1, 6183.Smp_139680.1, 6183.Smp_139700.1, 6183.Smp_170300.1, 6183.Smp_179840.1, 6183.Smp_179850.1, 6183.Smp_203940.1, 6183.Smp_203950.1
OG0000036		6183.Smp_012000.1, 6183.Smp_031680.1, 6183.Smp_037960.1, 6183.Smp_101990.1, 6183.Smp_119340.1, 6183.Smp_132070.1, 6183.Smp_139330.1, 6183.Smp_142690.1, 6183.Smp_142700.1, 6183.Smp_157790.1, 6183.Smp_175110.1, 6183.Smp_176310.1, 6183.Smp_180570.1, 6183.Smp_197600.1
OG0000037		6183.Smp_028910.1, 6183.Smp_054300.1, 6183.Smp_129750.1, 6183.Smp_137730.1, 6183.Smp_137740.1, 6183.Smp_142860.1, 6183.Smp_154410.1, 6183.Smp_193620.1, 6183.Smp_193870.1, 6183.Smp_194990.1, 6183.Smp_199790.1, 6183.Smp_205640.1, 6183.Smp_209060.1, 6183.Smp_211180.1
OG0000038	NP_014784.1	6183.Smp_050630.1, 6183.Smp_069120.1, 6183.Smp_145120.1, 6183.Smp_150350.1, 6183.Smp_150920.1, 6183.Smp_151430.1, 6183.Smp_159640.1, 6183.Smp_175650.1, 6183.Smp_175900.1, 6183.Smp_194330.1, 6183.Smp_206290.1, 6183.Smp_210510.1
OG0000039	NP_010041.2	6183.Smp_000780.1, 6183.Smp_000790.1, 6183.Smp_012810.1, 6183.Smp_020540.2, 6183.Smp_048560.1, 6183.Smp_138170.1, 6183.Smp_140310.1, 6183.Smp_143130.1, 6183.Smp_146200.2, 6183.Smp_157310.1, 6183.Smp_163960.1, 6183.Smp_165070.1
OG0000040		6183.Smp_001900.1, 6183.Smp_024660.1, 6183.Smp_121960.1, 6183.Smp_123660.1, 6183.Smp_141410.1, 6183.Smp_144130.1, 6183.Smp_148020.1, 6183.Smp_163920.1, 6183.Smp_165440.1, 6183.Smp_171680.1, 6183.Smp_172470.1, 6183.Smp_173100.1, 6183.Smp_204750.1
OG0000041		6183.Smp_003280.1, 6183.Smp_006810.1, 6183.Smp_079260.1, 6183.Smp_090160.1, 6183.Smp_129480.1, 6183.Smp_129490.1, 6183.Smp_142560.1, 6183.Smp_142580.1, 6183.Smp_144120.1, 6183.Smp_148570.1, 6183.Smp_163600.1, 6183.Smp_165410.1, 6183.Smp_174610.1
OG0000042		6183.Smp_008850.1, 6183.Smp_041700.1, 6183.Smp_127860.1, 6183.Smp_128710.1, 6183.Smp_129810.1, 6183.Smp_132730.1, 6183.Smp_140250.1, 6183.Smp_145240.1, 6183.Smp_149170.1, 6183.Smp_149580.1, 6183.Smp_157640.1, 6183.Smp_173010.1, 6183.Smp_193610.1
OG0000043		6183.Smp_011660.1, 6183.Smp_048550.1, 6183.Smp_118940.1, 6183.Smp_131690.1, 6183.Smp_137940.1, 6183.Smp_140410.1, 6183.Smp_147500.1, 6183.Smp_147510.1, 6183.Smp_162790.1, 6183.Smp_183250.1, 6183.Smp_192170.1, 6183.Smp_199720.1, 6183.Smp_211150.1
OG0000044		6183.Smp_077440.1, 6183.Smp_085380.1, 6183.Smp_096320.1, 6183.Smp_122340.1, 6183.Smp_122980.1, 6183.Smp_136100.1, 6183.Smp_141890.1, 6183.Smp_143070.1, 6183.Smp_143970.1, 6183.Smp_151050.1, 6183.Smp_158450.2, 6183.Smp_175960.1, 6183.Smp_176610.1
OG0000045		6183.Smp_090100.1, 6183.Smp_090110.1, 6183.Smp_127030.1, 6183.Smp_135530.1, 6183.Smp_153930.1, 6183.Smp_167070.1, 6183.Smp_167100.1, 6183.Smp_167110.1, 6183.Smp_167120.1, 6183.Smp_171320.1, 6183.Smp_171350.1, 6183.Smp_173070.1, 6183.Smp_204600.1
OG0000046	NP_015005.1	6183.Smp_044060.1, 6183.Smp_124250.1, 6183.Smp_129270.1, 6183.Smp_134140.1, 6183.Smp_134500.1, 6183.Smp_135500.1, 6183.Smp_141980.1, 6183.Smp_146120.1, 6183.Smp_153650.1, 6183.Smp_179590.1, 6183.Smp_197150.1
