Orthogroup	kog_cerevisiae_pos_go	kog_droso_pos_go	kog_elegans_pos_go	protein_mansoni
OG0000010			NP_490679.1, NP_491088.1, NP_491958.1, NP_493635.1, NP_493660.1, NP_493913.2, NP_494879.2, NP_494880.1, NP_495104.1, NP_495487.1, NP_495582.1, NP_495726.2, NP_495759.1, NP_496361.1, NP_496362.1, NP_496665.1, NP_499889.2, NP_499905.2, NP_501617.1, NP_502966.2, NP_503048.1, NP_505677.1, NP_505678.1, NP_508395.1, NP_508747.1, NP_509059.1, NP_509162.1, NP_509276.1, NP_509869.1, NP_509870.1, NP_509960.1, NP_510617.1	
OG0000011				6183.Smp_005710.1, 6183.Smp_086630.1, 6183.Smp_093070.1, 6183.Smp_102020.2, 6183.Smp_103640.1, 6183.Smp_113750.1, 6183.Smp_133400.1, 6183.Smp_154460.1, 6183.Smp_154590.1, 6183.Smp_155170.1, 6183.Smp_165590.1, 6183.Smp_165600.1, 6183.Smp_166470.1, 6183.Smp_173350.2, 6183.Smp_175670.1, 6183.Smp_179390.1, 6183.Smp_179420.1, 6183.Smp_179970.1, 6183.Smp_191400.1, 6183.Smp_192050.1, 6183.Smp_193380.1, 6183.Smp_194130.1, 6183.Smp_201330.1, 6183.Smp_202320.1, 6183.Smp_202420.1, 6183.Smp_202700.1, 6183.Smp_202840.1, 6183.Smp_202850.1, 6183.Smp_204710.1, 6183.Smp_204830.1, 6183.Smp_204840.1, 6183.Smp_205310.1
OG0000012	NP_010720.3, NP_011471.1, NP_012266.1, NP_014289.1, NP_014601.1	NP_476902.1, NP_572880.2	NP_492504.1, NP_493022.1, NP_493023.1, NP_493029.1, NP_495483.1, NP_497959.1, NP_499734.1, NP_499818.1, NP_500665.2, NP_500666.2, NP_502291.1, NP_502757.2, NP_506360.1, NP_508674.1	6183.Smp_000240.1, 6183.Smp_002550.1, 6183.Smp_007630.1, 6183.Smp_036270.2, 6183.Smp_078520.1, 6183.Smp_079730.1, 6183.Smp_098890.2, 6183.Smp_130190.1, 6183.Smp_185230.1
OG0000013			NP_494562.1, NP_495367.1, NP_496589.1, NP_499408.1, NP_499700.1, NP_499703.1, NP_500071.1, NP_500133.2, NP_500138.1, NP_500519.1, NP_500520.1, NP_500524.2, NP_500598.1, NP_501150.1, NP_501527.1, NP_501561.1, NP_501700.1, NP_501829.1, NP_501867.1, NP_502107.1, NP_502700.1, NP_502808.1, NP_504252.1, NP_505074.1, NP_505886.1, NP_505913.1, NP_509766.1, NP_510247.1, NP_510273.1, NP_510274.1	
OG0000014				6183.Smp_013630.1, 6183.Smp_016230.1, 6183.Smp_069720.1, 6183.Smp_083220.1, 6183.Smp_124580.1, 6183.Smp_126050.1, 6183.Smp_129530.1, 6183.Smp_131010.1, 6183.Smp_132320.1, 6183.Smp_135640.1, 6183.Smp_141740.1, 6183.Smp_149010.1, 6183.Smp_149140.1, 6183.Smp_151620.1, 6183.Smp_151630.1, 6183.Smp_155600.1, 6183.Smp_155810.1, 6183.Smp_159920.1, 6183.Smp_161520.1, 6183.Smp_162520.1, 6183.Smp_162550.1, 6183.Smp_166440.1, 6183.Smp_167460.1, 6183.Smp_167470.1, 6183.Smp_176390.1, 6183.Smp_176470.1, 6183.Smp_179750.1, 6183.Smp_193230.1, 6183.Smp_196240.1, 6183.Smp_199910.1
OG0000015			NP_490737.2, NP_494849.2, NP_495353.1, NP_495354.1, NP_495362.1, NP_495657.2, NP_496174.2, NP_500705.2, NP_501553.2, NP_501967.2, NP_502234.2, NP_502511.3, NP_503350.2, NP_503656.2, NP_503657.2, NP_503682.1, NP_503683.1, NP_504013.1, NP_504015.1, NP_504517.2, NP_504695.2, NP_505694.3, NP_506020.2, NP_506456.1, NP_507089.2, NP_507475.2, NP_507831.1, NP_508300.3, NP_510539.1	
OG0000016	NP_009407.1, NP_009550.1, NP_009568.1, NP_010455.1, NP_012561.3, NP_012563.1, NP_013673.1, NP_013760.1, NP_013766.1, NP_036195.3, NP_058141.1, NP_058149.1, NP_058153.3, NP_058155.1, NP_058156.1, NP_058159.1, NP_058161.1, NP_058166.1, NP_058173.1, NP_058176.1, NP_058179.1, NP_058180.1, NP_058182.1, NP_058184.3, NP_058190.1, NP_058192.1, NP_058196.1, NP_620388.3			
OG0000017	NP_012442.1	NP_511112.1, NP_610349.1, NP_610516.1	NP_491810.2, NP_492381.3, NP_494333.1, NP_494786.5, NP_495727.1, NP_498903.3, NP_501724.2, NP_505731.3, NP_506091.2, NP_506416.2, NP_507483.1, NP_508031.3, NP_508526.2, NP_508732.3, NP_509942.4, NP_510284.1, NP_510654.2	6183.Smp_034850.1, 6183.Smp_046640.1, 6183.Smp_127170.1, 6183.Smp_141570.1, 6183.Smp_147550.1, 6183.Smp_155970.1
OG0000018			NP_494902.1, NP_495967.1, NP_496858.1, NP_496859.1, NP_496860.1, NP_496861.1, NP_496862.1, NP_496863.1, NP_496864.1, NP_496866.1, NP_497115.1, NP_497116.1, NP_497117.1, NP_497118.1, NP_497119.1, NP_497121.1, NP_497123.2, NP_499981.1, NP_501846.1, NP_501847.1, NP_501848.1, NP_503532.1, NP_503968.1, NP_506983.1, NP_507095.1, NP_508625.1	6183.Smp_054160.1
OG0000019	NP_009991.2, NP_012135.1, NP_014331.3	NP_476730.1, NP_476834.1, NP_523814.1, NP_523912.1, NP_524202.1, NP_524495.1, NP_524496.1, NP_524542.1	NP_491826.1, NP_492676.2, NP_494704.1, NP_494775.1, NP_496411.1, NP_508644.1	6183.Smp_054350.1, 6183.Smp_076300.1, 6183.Smp_098780.1, 6183.Smp_127090.1, 6183.Smp_133480.1, 6183.Smp_135710.1, 6183.Smp_145650.1, 6183.Smp_150430.1, 6183.Smp_158750.1
OG0000020			NP_494784.1, NP_494785.1, NP_500109.1, NP_500111.3, NP_503460.1, NP_503461.1, NP_503561.2, NP_504153.1, NP_504765.2, NP_504766.1, NP_504767.1, NP_504768.1, NP_504769.1, NP_504770.2, NP_504771.1, NP_504798.2, NP_505588.1, NP_505589.1, NP_506854.1, NP_506905.1, NP_506987.1, NP_507015.3, NP_507045.2, NP_507194.2, NP_507636.1, NP_509893.3	
OG0000021			NP_492919.2, NP_492921.2, NP_492922.1, NP_492926.1, NP_492931.1, NP_493090.1, NP_493092.1, NP_493118.2, NP_493119.2, NP_493122.2, NP_493137.2, NP_493149.2, NP_493155.1, NP_493156.2, NP_494671.2, NP_494672.2, NP_494675.3, NP_496701.1, NP_496702.1, NP_497849.1, NP_501076.2, NP_501621.1, NP_501622.3, NP_503239.2, NP_503258.1, NP_506457.2	
OG0000022		NP_476771.1, NP_523691.1, NP_523692.1, NP_523693.1, NP_523695.1, NP_524554.1, NP_524555.1, NP_525112.1, NP_569865.1, NP_569939.2, NP_572492.1, NP_573072.1, NP_573151.1, NP_608517.1, NP_608662.1, NP_609550.1, NP_609708.2, NP_610109.1, NP_610673.1, NP_610674.5, NP_611736.1	NP_494910.2	6183.Smp_030350.1, 6183.Smp_065530.1, 6183.Smp_103680.1
OG0000023			NP_494195.3, NP_494196.2, NP_494197.1, NP_494198.3, NP_494199.1, NP_494229.2, NP_494230.1, NP_494231.1, NP_494290.2, NP_494291.1, NP_494318.2, NP_494319.2, NP_494320.2, NP_494473.2, NP_494474.2, NP_494476.2, NP_494479.2, NP_494481.2, NP_494482.1, NP_494483.2, NP_494485.2, NP_499312.2, NP_507324.1, NP_508239.2, NP_508383.1	
OG0000024	NP_011046.3	NP_570087.1	NP_491223.1, NP_494227.1, NP_494232.2, NP_494234.1, NP_494237.2, NP_494238.2, NP_494240.1, NP_494241.2, NP_494242.1, NP_494243.2, NP_494244.2, NP_494245.1, NP_494271.1, NP_496089.3, NP_496523.1, NP_496525.2, NP_497677.1, NP_500811.1, NP_501814.2, NP_505251.2, NP_507996.1	6183.Smp_136240.6
OG0000025	NP_010931.3, NP_012257.1, NP_013974.1, NP_014962.3	NP_524698.1, NP_609696.1	NP_490744.1, NP_493856.3, NP_498568.1, NP_499799.1, NP_501893.1, NP_503540.1, NP_508993.2	6183.Smp_038970.1, 6183.Smp_101650.1, 6183.Smp_103160.2, 6183.Smp_119730.1, 6183.Smp_125560.1, 6183.Smp_138660.1, 6183.Smp_142680.1, 6183.Smp_165850.1, 6183.Smp_175090.3, 6183.Smp_198870.1, 6183.Smp_209040.1
OG0000026		NP_610821.1		6183.Smp_001890.1, 6183.Smp_002060.1, 6183.Smp_002070.1, 6183.Smp_002630.1, 6183.Smp_070240.1, 6183.Smp_070250.1, 6183.Smp_078490.1, 6183.Smp_120670.1, 6183.Smp_123090.1, 6183.Smp_123540.1, 6183.Smp_123550.1, 6183.Smp_127130.1, 6183.Smp_139450.1, 6183.Smp_154260.1, 6183.Smp_154290.1, 6183.Smp_159280.1, 6183.Smp_159290.1, 6183.Smp_176160.1, 6183.Smp_176170.1, 6183.Smp_176180.1, 6183.Smp_179480.1, 6183.Smp_193680.1, 6183.Smp_210620.1
OG0000027	NP_013953.1, NP_014197.2	NP_569875.2	NP_497031.1, NP_501154.1, NP_501156.1, NP_502263.1, NP_503143.1, NP_503222.1, NP_503224.2, NP_503751.1, NP_503752.1, NP_503753.1, NP_503754.1, NP_505704.1, NP_505742.1, NP_505755.1, NP_506820.1, NP_506855.2, NP_507157.1, NP_510229.1	6183.Smp_042680.1, 6183.Smp_212250.1
OG0000028	NP_010051.1	NP_476687.1	NP_491071.1, NP_491275.3, NP_491276.1, NP_491277.1, NP_491278.1, NP_491722.2, NP_491758.1, NP_491761.3, NP_492194.1, NP_494193.1, NP_499934.1, NP_500718.1, NP_500756.1, NP_500775.1, NP_501293.3, NP_501766.1, NP_502058.3	6183.Smp_139930.1, 6183.Smp_156870.1, 6183.Smp_172890.1
OG0000029	NP_015097.1			6183.Smp_002470.1, 6183.Smp_026200.1, 6183.Smp_026790.1, 6183.Smp_026860.1, 6183.Smp_032780.1, 6183.Smp_048030.1, 6183.Smp_063550.1, 6183.Smp_088610.1, 6183.Smp_096830.1, 6183.Smp_101840.1, 6183.Smp_109240.1, 6183.Smp_114130.1, 6183.Smp_114870.1, 6183.Smp_120020.1, 6183.Smp_125000.1, 6183.Smp_138800.1, 6183.Smp_139590.1, 6183.Smp_174250.1, 6183.Smp_175190.1, 6183.Smp_178400.1, 6183.Smp_197170.1
OG0000030		NP_609116.1, NP_610207.1	NP_491247.2, NP_497168.1, NP_497267.2, NP_497312.1, NP_499125.3, NP_499148.2, NP_500843.1, NP_501369.1, NP_501371.1, NP_503091.3, NP_503095.2, NP_504500.1, NP_505170.2, NP_506744.1, NP_507547.1, NP_507829.1, NP_507830.1, NP_507951.1, NP_508518.1, NP_509202.1	
OG0000031			NP_491610.1, NP_491697.1, NP_491873.4, NP_492794.2, NP_494695.2, NP_495099.2, NP_495378.2, NP_496946.1, NP_496952.1, NP_500715.1, NP_500716.1, NP_500758.1, NP_500759.1, NP_500837.1, NP_501367.1, NP_502028.1, NP_502428.1, NP_502596.1, NP_504751.1, NP_505159.1, NP_505456.2, NP_506866.3	
OG0000032			NP_494455.1, NP_495798.2, NP_496018.2, NP_496019.1, NP_496020.1, NP_496021.1, NP_496024.2, NP_496026.2, NP_496028.1, NP_496029.2, NP_496031.2, NP_496035.1, NP_496125.1, NP_496126.1, NP_496127.1, NP_496128.1, NP_496131.2, NP_496133.2, NP_500856.2, NP_504862.2, NP_506735.3, NP_506770.2	
OG0000033			NP_493975.1, NP_494496.1, NP_499859.3, NP_500349.1, NP_502228.2, NP_502497.1, NP_502498.1, NP_502499.1, NP_502502.1, NP_502503.1, NP_502504.1, NP_502506.1, NP_502508.1, NP_502509.1, NP_502510.1, NP_502532.1, NP_504055.1, NP_504056.1, NP_507654.2, NP_507655.1, NP_507793.1, NP_509802.2	
OG0000034			NP_493141.1, NP_493820.1, NP_494663.2, NP_494670.1, NP_500564.4, NP_500991.2, NP_502716.2, NP_502914.1, NP_503241.2, NP_503243.3, NP_503251.3, NP_503256.2, NP_503257.1, NP_503533.3, NP_503534.1, NP_503789.1, NP_504844.2, NP_505002.2, NP_505096.1, NP_505097.1, NP_505599.2, NP_505744.1	
OG0000035				6183.Smp_026570.1, 6183.Smp_034610.1, 6183.Smp_037510.1, 6183.Smp_058470.1, 6183.Smp_066900.1, 6183.Smp_073360.1, 6183.Smp_073380.1, 6183.Smp_088060.1, 6183.Smp_105760.1, 6183.Smp_117170.1, 6183.Smp_129020.1, 6183.Smp_140850.1, 6183.Smp_140860.1, 6183.Smp_141290.2, 6183.Smp_141390.1, 6183.Smp_142390.1, 6183.Smp_146940.1, 6183.Smp_161890.1, 6183.Smp_161900.1, 6183.Smp_170070.1, 6183.Smp_187190.1, 6183.Smp_200490.1
OG0000036				6183.Smp_111980.1, 6183.Smp_151790.1, 6183.Smp_200060.1, 6183.Smp_201230.1, 6183.Smp_201840.1, 6183.Smp_201900.1, 6183.Smp_202400.1, 6183.Smp_202450.1, 6183.Smp_203620.1, 6183.Smp_203660.1, 6183.Smp_203830.1, 6183.Smp_203930.1, 6183.Smp_204010.1, 6183.Smp_204150.1, 6183.Smp_204920.1, 6183.Smp_204980.1, 6183.Smp_205380.1, 6183.Smp_205540.1, 6183.Smp_205600.1, 6183.Smp_205630.1, 6183.Smp_205690.1, 6183.Smp_206060.1
OG0000037				6183.Smp_002860.1, 6183.Smp_005170.1, 6183.Smp_023190.1, 6183.Smp_028860.1, 6183.Smp_029950.1, 6183.Smp_061980.1, 6183.Smp_084210.1, 6183.Smp_086310.1, 6183.Smp_086370.1, 6183.Smp_099090.1, 6183.Smp_117560.1, 6183.Smp_120750.1, 6183.Smp_138720.1, 6183.Smp_138790.1, 6183.Smp_141260.1, 6183.Smp_166270.1, 6183.Smp_177900.1, 6183.Smp_178320.1, 6183.Smp_188510.1, 6183.Smp_188960.1, 6183.Smp_200580.1
OG0000038		NP_524483.1	NP_491354.2, NP_491472.1, NP_491533.2, NP_491906.1, NP_492399.1, NP_492429.2, NP_495647.1, NP_495716.1, NP_496959.1, NP_505206.2, NP_505207.1, NP_508692.3, NP_509128.1, NP_509129.1, NP_509932.2, NP_510262.1, NP_510285.2	6183.Smp_031680.1, 6183.Smp_139330.1
OG0000039			NP_492062.1, NP_492748.3, NP_499465.3, NP_499906.3, NP_501069.2, NP_501075.1, NP_501294.1, NP_501627.1, NP_503439.2, NP_503567.2, NP_503571.1, NP_503574.3, NP_503885.2, NP_504847.1, NP_504849.2, NP_504854.4, NP_505043.2, NP_505695.4, NP_505887.1, NP_506032.1	
OG0000040			NP_493774.2, NP_496008.1, NP_496010.2, NP_496119.1, NP_496120.1, NP_496567.2, NP_496568.1, NP_496661.1, NP_496881.1, NP_496882.1, NP_496883.2, NP_499629.2, NP_499816.2, NP_503916.1, NP_503917.1, NP_503955.1, NP_508830.3, NP_510328.2, NP_510338.1	6183.Smp_212240.1
OG0000041	NP_009373.1, NP_011888.1, NP_012793.2, NP_013827.1, NP_014971.1	NP_523538.1	NP_490856.1, NP_492053.1, NP_492186.3, NP_492393.1, NP_493596.1, NP_497809.1, NP_501620.2, NP_505094.1, NP_506065.2, NP_508504.2, NP_510092.2	6183.Smp_046060.1, 6183.Smp_085540.6
OG0000042		NP_476606.1, NP_476775.1, NP_523621.2, NP_572505.1	NP_491668.1, NP_492696.1, NP_508669.1, NP_509273.1	6183.Smp_003280.1, 6183.Smp_006810.1, 6183.Smp_079260.1, 6183.Smp_090160.1, 6183.Smp_129480.1, 6183.Smp_129490.1, 6183.Smp_142560.1, 6183.Smp_144120.1, 6183.Smp_148570.1, 6183.Smp_163600.1, 6183.Smp_165410.1
OG0000043	NP_013728.1	NP_523628.1, NP_523645.1, NP_523646.1, NP_523850.1, NP_608403.1, NP_608457.1, NP_608911.1, NP_608912.1, NP_609694.1, NP_609891.1, NP_610206.1, NP_610390.1, NP_611004.1, NP_611698.1	NP_497775.3, NP_497776.2, NP_497779.1	
OG0000044	NP_009624.4, NP_009625.1, NP_009690.1, NP_009905.3, NP_010331.3, NP_010444.1, NP_010796.1, NP_010851.1, NP_011707.1, NP_012965.3, NP_013039.1, NP_014129.1, NP_014131.1, NP_014622.1, NP_014993.1, NP_015049.1, NP_015058.1, NP_116600.1			
OG0000045			NP_491074.1, NP_491162.1, NP_491433.2, NP_491444.3, NP_495333.1, NP_495347.1, NP_497999.1, NP_498080.1, NP_499308.1, NP_500816.3, NP_501151.1, NP_501483.2, NP_501778.4, NP_501824.1, NP_501832.1, NP_502112.1, NP_506465.2, NP_506600.1	
OG0000046				6183.Smp_008390.1, 6183.Smp_023140.1, 6183.Smp_124150.1, 6183.Smp_124880.1, 6183.Smp_125090.1, 6183.Smp_128820.1, 6183.Smp_128830.1, 6183.Smp_141020.1, 6183.Smp_152360.1, 6183.Smp_162070.1, 6183.Smp_164000.1, 6183.Smp_165180.1, 6183.Smp_165300.1, 6183.Smp_167530.1, 6183.Smp_173920.1, 6183.Smp_186920.1, 6183.Smp_187590.1, 6183.Smp_193730.1
OG0000047				6183.Smp_010670.1, 6183.Smp_042140.1, 6183.Smp_042150.1, 6183.Smp_045010.1, 6183.Smp_045200.1, 6183.Smp_072620.1, 6183.Smp_072630.1, 6183.Smp_074460.1, 6183.Smp_077310.1, 6183.Smp_086470.1, 6183.Smp_086480.1, 6183.Smp_086530.1, 6183.Smp_135980.1, 6183.Smp_146220.1, 6183.Smp_146460.1, 6183.Smp_169190.1, 6183.Smp_169200.1, 6183.Smp_195090.1
