Orthogroup	kog_droso_pos_go	protein_mansoni
OG0000010		6183.Smp_111980.1, 6183.Smp_151790.1, 6183.Smp_200060.1, 6183.Smp_201230.1, 6183.Smp_201840.1, 6183.Smp_201900.1, 6183.Smp_202400.1, 6183.Smp_202450.1, 6183.Smp_203620.1, 6183.Smp_203660.1, 6183.Smp_203830.1, 6183.Smp_203930.1, 6183.Smp_204010.1, 6183.Smp_204150.1, 6183.Smp_204920.1, 6183.Smp_204980.1, 6183.Smp_205380.1, 6183.Smp_205540.1, 6183.Smp_205600.1, 6183.Smp_205630.1, 6183.Smp_205690.1, 6183.Smp_206060.1
OG0000011		6183.Smp_002860.1, 6183.Smp_005170.1, 6183.Smp_023190.1, 6183.Smp_028860.1, 6183.Smp_029950.1, 6183.Smp_061980.1, 6183.Smp_084210.1, 6183.Smp_086310.1, 6183.Smp_086370.1, 6183.Smp_099090.1, 6183.Smp_117560.1, 6183.Smp_120750.1, 6183.Smp_138720.1, 6183.Smp_138790.1, 6183.Smp_141260.1, 6183.Smp_166270.1, 6183.Smp_177900.1, 6183.Smp_178320.1, 6183.Smp_188510.1, 6183.Smp_188960.1, 6183.Smp_200580.1
OG0000012	NP_609331.1	6183.Smp_056290.1, 6183.Smp_112270.1, 6183.Smp_117990.1, 6183.Smp_122020.1, 6183.Smp_123710.1, 6183.Smp_132850.2, 6183.Smp_139510.1, 6183.Smp_165020.1, 6183.Smp_165800.1, 6183.Smp_167350.1, 6183.Smp_176350.1, 6183.Smp_176450.1, 6183.Smp_187770.1, 6183.Smp_191250.1, 6183.Smp_192030.1, 6183.Smp_199470.1, 6183.Smp_206030.1
OG0000013		6183.Smp_008390.1, 6183.Smp_023140.1, 6183.Smp_124150.1, 6183.Smp_124880.1, 6183.Smp_125090.1, 6183.Smp_128820.1, 6183.Smp_128830.1, 6183.Smp_141020.1, 6183.Smp_152360.1, 6183.Smp_162070.1, 6183.Smp_164000.1, 6183.Smp_165180.1, 6183.Smp_165300.1, 6183.Smp_167530.1, 6183.Smp_173920.1, 6183.Smp_186920.1, 6183.Smp_187590.1, 6183.Smp_193730.1
OG0000014		6183.Smp_059140.1, 6183.Smp_088180.1, 6183.Smp_094770.1, 6183.Smp_122860.1, 6183.Smp_125470.1, 6183.Smp_147480.1, 6183.Smp_157440.1, 6183.Smp_167670.1, 6183.Smp_167780.1, 6183.Smp_168360.1, 6183.Smp_170460.1, 6183.Smp_170470.1, 6183.Smp_170480.1, 6183.Smp_170490.1, 6183.Smp_170500.1, 6183.Smp_175400.1, 6183.Smp_194190.1
OG0000015		6183.Smp_010670.1, 6183.Smp_042140.1, 6183.Smp_042150.1, 6183.Smp_045010.1, 6183.Smp_045200.1, 6183.Smp_072620.1, 6183.Smp_072630.1, 6183.Smp_074460.1, 6183.Smp_077310.1, 6183.Smp_086470.1, 6183.Smp_086480.1, 6183.Smp_086530.1, 6183.Smp_146460.1, 6183.Smp_169190.1, 6183.Smp_169200.1, 6183.Smp_195090.1
OG0000016		6183.Smp_028030.1, 6183.Smp_049380.1, 6183.Smp_094890.1, 6183.Smp_138150.1, 6183.Smp_139070.1, 6183.Smp_142730.1, 6183.Smp_143390.1, 6183.Smp_145770.1, 6183.Smp_147020.1, 6183.Smp_151960.1, 6183.Smp_166640.1, 6183.Smp_173570.1, 6183.Smp_174350.1, 6183.Smp_180150.1, 6183.Smp_180160.1, 6183.Smp_186680.1
OG0000017	NP_569969.1	6183.Smp_001560.1, 6183.Smp_016920.1, 6183.Smp_047420.1, 6183.Smp_047700.1, 6183.Smp_048680.1, 6183.Smp_049970.5, 6183.Smp_071380.4, 6183.Smp_079400.1, 6183.Smp_125460.1, 6183.Smp_134780.1, 6183.Smp_150830.1, 6183.Smp_176120.1, 6183.Smp_201820.1, 6183.Smp_205270.1
OG0000018	NP_524326.1, NP_524912.1, NP_524913.1, NP_524914.3, NP_524915.1, NP_524916.1, NP_525114.1, NP_610457.1, NP_610509.2, NP_610855.1, NP_611323.1, NP_611324.1, NP_611328.1, NP_611329.1, NP_611339.1	
OG0000019		6183.Smp_008850.1, 6183.Smp_041700.1, 6183.Smp_123350.1, 6183.Smp_127860.1, 6183.Smp_128710.1, 6183.Smp_129810.1, 6183.Smp_132730.1, 6183.Smp_140250.1, 6183.Smp_145240.1, 6183.Smp_149170.1, 6183.Smp_149580.1, 6183.Smp_157640.1, 6183.Smp_173010.1, 6183.Smp_193610.1, 6183.Smp_203500.1
OG0000020		6183.Smp_011660.1, 6183.Smp_016880.1, 6183.Smp_118940.1, 6183.Smp_131690.1, 6183.Smp_137940.1, 6183.Smp_140410.1, 6183.Smp_146240.1, 6183.Smp_147500.1, 6183.Smp_147510.1, 6183.Smp_162790.1, 6183.Smp_170290.1, 6183.Smp_183250.1, 6183.Smp_192170.1, 6183.Smp_199720.1, 6183.Smp_211150.1
OG0000021	NP_477264.1, NP_610829.1	6183.Smp_001280.1, 6183.Smp_001330.1, 6183.Smp_034160.1, 6183.Smp_050520.1, 6183.Smp_122740.1, 6183.Smp_122750.1, 6183.Smp_135370.1, 6183.Smp_140600.1, 6183.Smp_140800.1, 6183.Smp_143300.1, 6183.Smp_173560.1, 6183.Smp_183600.1
OG0000022		6183.Smp_028910.1, 6183.Smp_054300.1, 6183.Smp_129750.1, 6183.Smp_137730.1, 6183.Smp_137740.1, 6183.Smp_142860.1, 6183.Smp_154410.1, 6183.Smp_193620.1, 6183.Smp_193870.1, 6183.Smp_194990.1, 6183.Smp_199790.1, 6183.Smp_205640.1, 6183.Smp_209060.1, 6183.Smp_211180.1
OG0000023		6183.Smp_027300.1, 6183.Smp_043580.1, 6183.Smp_055310.1, 6183.Smp_070170.1, 6183.Smp_078900.1, 6183.Smp_081440.1, 6183.Smp_137030.1, 6183.Smp_137060.1, 6183.Smp_138030.1, 6183.Smp_140390.2, 6183.Smp_144180.1, 6183.Smp_160700.1, 6183.Smp_210650.1
OG0000024		6183.Smp_039650.1, 6183.Smp_048980.1, 6183.Smp_055600.1, 6183.Smp_104030.3, 6183.Smp_126310.1, 6183.Smp_132600.1, 6183.Smp_141070.1, 6183.Smp_141790.1, 6183.Smp_168960.1, 6183.Smp_180290.1, 6183.Smp_192580.1, 6183.Smp_197780.1, 6183.Smp_205990.1
OG0000025		6183.Smp_090100.1, 6183.Smp_090110.1, 6183.Smp_127030.1, 6183.Smp_135530.1, 6183.Smp_153930.1, 6183.Smp_167070.1, 6183.Smp_167100.1, 6183.Smp_167110.1, 6183.Smp_167120.1, 6183.Smp_171320.1, 6183.Smp_171350.1, 6183.Smp_173070.1, 6183.Smp_204600.1
OG0000026	NP_610309.1, NP_611471.1	6183.Smp_032370.1, 6183.Smp_076580.1, 6183.Smp_081430.1, 6183.Smp_120070.1, 6183.Smp_139680.1, 6183.Smp_139700.1, 6183.Smp_179840.1, 6183.Smp_179850.1, 6183.Smp_203940.1, 6183.Smp_203950.1
OG0000027	NP_523649.5	6183.Smp_130560.1, 6183.Smp_130570.1, 6183.Smp_134180.1, 6183.Smp_134190.1, 6183.Smp_135210.1, 6183.Smp_144050.1, 6183.Smp_152750.1, 6183.Smp_156220.1, 6183.Smp_157620.1, 6183.Smp_160050.1, 6183.Smp_169380.1
OG0000028	NP_524599.1	6183.Smp_043260.1, 6183.Smp_043270.1, 6183.Smp_043290.1, 6183.Smp_043300.1, 6183.Smp_043320.1, 6183.Smp_043340.1, 6183.Smp_059400.1, 6183.Smp_126730.1, 6183.Smp_134460.1, 6183.Smp_145520.1, 6183.Smp_148210.1
OG0000029		6183.Smp_000050.1, 6183.Smp_022480.1, 6183.Smp_035140.1, 6183.Smp_130890.1, 6183.Smp_138760.1, 6183.Smp_147140.1, 6183.Smp_161630.1, 6183.Smp_161640.1, 6183.Smp_165170.1, 6183.Smp_173720.1, 6183.Smp_197680.1, 6183.Smp_199590.1
OG0000030		6183.Smp_002930.1, 6183.Smp_031720.1, 6183.Smp_056420.1, 6183.Smp_060760.1, 6183.Smp_082750.1, 6183.Smp_086860.1, 6183.Smp_089840.1, 6183.Smp_089870.1, 6183.Smp_123850.1, 6183.Smp_130880.1, 6183.Smp_150470.1, 6183.Smp_176670.1
OG0000031		6183.Smp_003190.1, 6183.Smp_007670.1, 6183.Smp_075030.1, 6183.Smp_079760.1, 6183.Smp_105360.1, 6183.Smp_125690.1, 6183.Smp_128950.1, 6183.Smp_136530.1, 6183.Smp_141250.1, 6183.Smp_143770.1, 6183.Smp_147040.1, 6183.Smp_198360.1
OG0000032		6183.Smp_023620.1, 6183.Smp_095620.2, 6183.Smp_121940.1, 6183.Smp_125440.1, 6183.Smp_149640.1, 6183.Smp_155460.1, 6183.Smp_163110.1, 6183.Smp_163570.1, 6183.Smp_164880.1, 6183.Smp_194800.1, 6183.Smp_194810.1, 6183.Smp_199540.1
OG0000033		6183.Smp_038970.1, 6183.Smp_101650.1, 6183.Smp_103160.2, 6183.Smp_119730.1, 6183.Smp_125560.1, 6183.Smp_138660.1, 6183.Smp_142680.1, 6183.Smp_165850.1, 6183.Smp_175090.3, 6183.Smp_187840.1, 6183.Smp_198870.1, 6183.Smp_209040.1
OG0000034		6183.Smp_089320.1, 6183.Smp_089330.1, 6183.Smp_089370.1, 6183.Smp_089380.1, 6183.Smp_114430.1, 6183.Smp_119060.1, 6183.Smp_120180.1, 6183.Smp_128340.1, 6183.Smp_159300.1, 6183.Smp_168940.1, 6183.Smp_170890.1, 6183.Smp_176190.1
OG0000035	NP_476616.1	6183.Smp_084330.1, 6183.Smp_104170.1, 6183.Smp_117880.1, 6183.Smp_124900.1, 6183.Smp_144740.1, 6183.Smp_147200.1, 6183.Smp_154120.1, 6183.Smp_158920.1, 6183.Smp_159900.1, 6183.Smp_179400.1
OG0000036	NP_477504.1, NP_524258.2, NP_524259.2, NP_524261.1, NP_524262.1, NP_524265.3, NP_524266.1, NP_524267.2, NP_524269.3, NP_536784.1, NP_608591.1	
OG0000037	NP_523631.1, NP_523632.2, NP_523633.1, NP_523636.1, NP_523637.1, NP_523639.1, NP_523640.1, NP_523641.2, NP_523642.1, NP_523643.2, NP_523644.1	
OG0000038	NP_524019.1	6183.Smp_003660.1, 6183.Smp_031010.1, 6183.Smp_034190.1, 6183.Smp_096530.1, 6183.Smp_096560.1, 6183.Smp_097660.1, 6183.Smp_166400.1, 6183.Smp_171180.1, 6183.Smp_175130.1, 6183.Smp_211330.1
OG0000039		6183.Smp_048050.1, 6183.Smp_049230.1, 6183.Smp_049240.1, 6183.Smp_049250.1, 6183.Smp_049270.1, 6183.Smp_049300.3, 6183.Smp_136930.1, 6183.Smp_138210.1, 6183.Smp_148530.1, 6183.Smp_185680.1, 6183.Smp_186020.1
OG0000040		6183.Smp_075350.1, 6183.Smp_075360.1, 6183.Smp_075370.1, 6183.Smp_075380.1, 6183.Smp_075390.1, 6183.Smp_075400.1, 6183.Smp_075420.1, 6183.Smp_075430.1, 6183.Smp_162840.1, 6183.Smp_166170.1, 6183.Smp_204390.1
OG0000041		6183.Smp_200150.1, 6183.Smp_200390.1, 6183.Smp_200970.1, 6183.Smp_201180.1, 6183.Smp_202180.1, 6183.Smp_203770.1, 6183.Smp_203990.1, 6183.Smp_204030.1, 6183.Smp_205070.1, 6183.Smp_205980.1, 6183.Smp_206260.1
OG0000042	NP_523516.1, NP_523612.3	6183.Smp_011560.1, 6183.Smp_013370.3, 6183.Smp_017430.1, 6183.Smp_075720.1, 6183.Smp_142230.1, 6183.Smp_173150.1, 6183.Smp_176870.1, 6183.Smp_181530.1
OG0000043		6183.Smp_001420.1, 6183.Smp_007210.1, 6183.Smp_042770.1, 6183.Smp_070310.1, 6183.Smp_079800.1, 6183.Smp_133790.1, 6183.Smp_145170.1, 6183.Smp_150050.1, 6183.Smp_160470.1, 6183.Smp_165040.1
OG0000044		6183.Smp_027830.1, 6183.Smp_110560.1, 6183.Smp_118350.1, 6183.Smp_137240.1, 6183.Smp_168420.1, 6183.Smp_180990.1, 6183.Smp_191640.1, 6183.Smp_193320.1, 6183.Smp_193570.1, 6183.Smp_193580.1
OG0000045		6183.Smp_074150.1, 6183.Smp_077880.2, 6183.Smp_155580.1, 6183.Smp_173290.1, 6183.Smp_173300.1, 6183.Smp_178820.1, 6183.Smp_194120.1, 6183.Smp_201250.1, 6183.Smp_201340.1, 6183.Smp_205300.1
OG0000046		6183.Smp_083940.1, 6183.Smp_083950.1, 6183.Smp_084270.1, 6183.Smp_091950.1, 6183.Smp_167870.1, 6183.Smp_177720.1, 6183.Smp_196080.1, 6183.Smp_203400.1, 6183.Smp_204060.1, 6183.Smp_204550.1
OG0000047		6183.Smp_088570.1, 6183.Smp_107700.1, 6183.Smp_110040.1, 6183.Smp_110310.1, 6183.Smp_184370.1, 6183.Smp_184780.1, 6183.Smp_186960.1, 6183.Smp_189290.1, 6183.Smp_190390.1, 6183.Smp_191130.1
OG0000048		6183.Smp_177380.1, 6183.Smp_180780.1, 6183.Smp_182090.1, 6183.Smp_187010.1, 6183.Smp_187410.1, 6183.Smp_188780.1, 6183.Smp_193400.1, 6183.Smp_194180.1, 6183.Smp_199230.1, 6183.Smp_205290.1
OG0000049	NP_523386.1, NP_523387.1	6183.Smp_001980.1, 6183.Smp_060750.1, 6183.Smp_125600.1, 6183.Smp_152980.1, 6183.Smp_158000.1, 6183.Smp_186930.1, 6183.Smp_189380.1
OG0000050	NP_573251.1	6183.Smp_050630.1, 6183.Smp_069120.1, 6183.Smp_145120.1, 6183.Smp_150350.1, 6183.Smp_150920.1, 6183.Smp_159640.1, 6183.Smp_175900.1, 6183.Smp_194330.1
OG0000051	NP_477167.1, NP_477168.1, NP_477169.1, NP_610108.1	6183.Smp_033550.1, 6183.Smp_073920.1, 6183.Smp_124240.1, 6183.Smp_160290.1, 6183.Smp_163170.1
OG0000052		6183.Smp_001000.1, 6183.Smp_031300.1, 6183.Smp_043120.1, 6183.Smp_076400.1, 6183.Smp_097930.1, 6183.Smp_136890.1, 6183.Smp_200240.1, 6183.Smp_202690.1, 6183.Smp_205720.1
OG0000053		6183.Smp_002500.1, 6183.Smp_109090.1, 6183.Smp_112480.1, 6183.Smp_112910.1, 6183.Smp_157780.1, 6183.Smp_164700.1, 6183.Smp_167840.1, 6183.Smp_177890.1, 6183.Smp_178330.1
OG0000054		6183.Smp_005070.1, 6183.Smp_078800.1, 6183.Smp_083450.1, 6183.Smp_105960.1, 6183.Smp_132870.1, 6183.Smp_145670.1, 6183.Smp_146900.1, 6183.Smp_151650.1, 6183.Smp_196180.1
OG0000055		6183.Smp_005350.1, 6183.Smp_025410.1, 6183.Smp_033010.1, 6183.Smp_096390.1, 6183.Smp_096410.2, 6183.Smp_135970.1, 6183.Smp_135980.1, 6183.Smp_144790.1, 6183.Smp_146220.1
OG0000056		6183.Smp_012460.1, 6183.Smp_015480.1, 6183.Smp_020480.1, 6183.Smp_080620.1, 6183.Smp_084440.1, 6183.Smp_084450.1, 6183.Smp_130620.1, 6183.Smp_146440.1, 6183.Smp_170260.1
OG0000057		6183.Smp_033380.1, 6183.Smp_119260.1, 6183.Smp_121200.1, 6183.Smp_121230.1, 6183.Smp_121240.1, 6183.Smp_166690.1, 6183.Smp_166710.1, 6183.Smp_166720.1, 6183.Smp_166730.1
OG0000058		6183.Smp_052630.1, 6183.Smp_083980.1, 6183.Smp_093210.1, 6183.Smp_124040.1, 6183.Smp_144110.1, 6183.Smp_162680.1, 6183.Smp_170810.1, 6183.Smp_178830.1, 6183.Smp_180260.1
OG0000059		6183.Smp_085680.1, 6183.Smp_097460.1, 6183.Smp_097470.1, 6183.Smp_124470.1, 6183.Smp_125450.1, 6183.Smp_142620.1, 6183.Smp_149980.1, 6183.Smp_211230.1, 6183.Smp_211310.1
OG0000060		6183.Smp_117000.1, 6183.Smp_120390.1, 6183.Smp_185340.1, 6183.Smp_200510.1, 6183.Smp_200620.1, 6183.Smp_203100.1, 6183.Smp_203380.1, 6183.Smp_204620.1, 6183.Smp_204630.1
OG0000061		6183.Smp_185420.1, 6183.Smp_200230.1, 6183.Smp_200760.1, 6183.Smp_200960.1, 6183.Smp_201680.1, 6183.Smp_204180.1, 6183.Smp_205320.1, 6183.Smp_205660.1, 6183.Smp_205790.1
OG0000062	NP_476900.1, NP_572731.1, NP_610627.2, NP_611075.1, NP_611944.1	6183.Smp_015840.1, 6183.Smp_147010.1, 6183.Smp_164720.1
OG0000063	NP_476901.1	6183.Smp_006930.1, 6183.Smp_042720.1, 6183.Smp_102400.1, 6183.Smp_133290.1, 6183.Smp_151200.1, 6183.Smp_151210.1, 6183.Smp_151220.1
OG0000064	NP_523919.1, NP_572582.1, NP_609374.1, NP_609640.1, NP_609840.1, NP_610402.1, NP_610403.1	6183.Smp_129230.1
OG0000065		6183.Smp_000110.1, 6183.Smp_075690.1, 6183.Smp_096450.1, 6183.Smp_130790.2, 6183.Smp_143140.1, 6183.Smp_143150.1, 6183.Smp_165720.1, 6183.Smp_165840.1
OG0000066		6183.Smp_000670.1, 6183.Smp_021290.1, 6183.Smp_052420.1, 6183.Smp_123030.1, 6183.Smp_138500.1, 6183.Smp_142850.1, 6183.Smp_152370.1, 6183.Smp_196880.1
OG0000067		6183.Smp_003600.1, 6183.Smp_003610.2, 6183.Smp_035550.1, 6183.Smp_035560.2, 6183.Smp_083240.1, 6183.Smp_167270.1, 6183.Smp_167280.1, 6183.Smp_188200.1
OG0000068		6183.Smp_005190.2, 6183.Smp_005200.1, 6183.Smp_068060.1, 6183.Smp_081410.1, 6183.Smp_094090.1, 6183.Smp_096640.1, 6183.Smp_150260.1, 6183.Smp_212600.1
OG0000069		6183.Smp_006510.1, 6183.Smp_006520.1, 6183.Smp_056680.2, 6183.Smp_112090.1, 6183.Smp_119130.1, 6183.Smp_141450.1, 6183.Smp_185150.1, 6183.Smp_185190.1
OG0000070		6183.Smp_007260.2, 6183.Smp_015020.1, 6183.Smp_126300.1, 6183.Smp_130300.1, 6183.Smp_136710.1, 6183.Smp_137170.1, 6183.Smp_144970.1, 6183.Smp_199210.1
