Orthogroup	kog_humano_pos_go	protein_mansoni
OG0000010	NP_002353.3, NP_002354.2, NP_002355.2, NP_002356.2, NP_002358.1, NP_002478.1, NP_004979.3, NP_005352.1, NP_005353.1, NP_005354.1, NP_005355.2, NP_005356.1, NP_005357.2, NP_005358.2, NP_005453.2, NP_008917.3, NP_054780.2, NP_055414.2, NP_057241.2, NP_057333.1, NP_061939.3, NP_065983.1, NP_066386.3, NP_071432.2, NP_619649.1	
OG0000011	NP_000094.2, NP_000488.3, NP_000489.3, NP_000756.3, NP_000768.1, NP_000769.2, NP_000770.2, NP_000772.2, NP_000773.2, NP_000774.2, NP_000775.1, NP_000776.1, NP_000777.1, NP_000887.2, NP_001052.3, NP_001073.3, NP_006659.1, NP_009184.1, NP_059488.2, NP_063938.1, NP_067010.3, NP_076433.3, NP_112246.3, NP_476436.1	
OG0000012	NP_001998.1, NP_002000.1, NP_002001.1, NP_003853.1, NP_003858.1, NP_003859.1, NP_004103.1, NP_004105.1, NP_004106.1, NP_004455.2, NP_004456.1, NP_005108.1, NP_005238.1, NP_006110.1, NP_061986.1, NP_062825.1, NP_065688.1, NP_065689.1, NP_066276.2, NP_066360.1, NP_149134.1, NP_149353.1, NP_149354.1, NP_149355.1	
OG0000013		6183.Smp_001890.1, 6183.Smp_002060.1, 6183.Smp_002070.1, 6183.Smp_002630.1, 6183.Smp_070240.1, 6183.Smp_070250.1, 6183.Smp_078490.1, 6183.Smp_120670.1, 6183.Smp_123090.1, 6183.Smp_123540.1, 6183.Smp_123550.1, 6183.Smp_127130.1, 6183.Smp_139450.1, 6183.Smp_154260.1, 6183.Smp_154290.1, 6183.Smp_159280.1, 6183.Smp_159290.1, 6183.Smp_176160.1, 6183.Smp_176170.1, 6183.Smp_176180.1, 6183.Smp_179480.1, 6183.Smp_193680.1, 6183.Smp_199890.1, 6183.Smp_210620.1
OG0000014	NP_001100.3, NP_001455.3, NP_002381.2, NP_003465.3, NP_003803.1, NP_003804.2, NP_003805.4, NP_003806.3, NP_003807.1, NP_004185.1, NP_055052.1, NP_055080.2, NP_055084.3, NP_055294.1, NP_057435.2, NP_067673.2, NP_068367.1, NP_068368.2, NP_068369.1, NP_068547.2, NP_068566.2, NP_079496.1	6183.Smp_160620.1
OG0000015	NP_000499.1, NP_000500.2, NP_001137.2, NP_001138.1, NP_001994.2, NP_002151.2, NP_003276.3, NP_003656.2, NP_004099.2, NP_004458.3, NP_004664.1, NP_005132.2, NP_006673.1, NP_036230.1, NP_055310.1, NP_057069.1, NP_061978.6, NP_066969.1, NP_068656.2, NP_071376.1, NP_114123.2, NP_116232.3	
OG0000016	NP_037470.1	6183.Smp_002470.1, 6183.Smp_026200.1, 6183.Smp_026790.1, 6183.Smp_026860.1, 6183.Smp_032780.1, 6183.Smp_048030.1, 6183.Smp_063550.1, 6183.Smp_088610.1, 6183.Smp_096830.1, 6183.Smp_101840.1, 6183.Smp_109240.1, 6183.Smp_114130.1, 6183.Smp_114870.1, 6183.Smp_120020.1, 6183.Smp_125000.1, 6183.Smp_138800.1, 6183.Smp_139590.1, 6183.Smp_174250.1, 6183.Smp_175190.1, 6183.Smp_178400.1, 6183.Smp_197170.1
OG0000017	NP_061721.2, NP_061722.1, NP_061723.1, NP_061724.1, NP_061725.1, NP_061726.1, NP_061727.1, NP_061728.1, NP_061729.1, NP_061730.1, NP_061731.1, NP_061732.1, NP_061733.1, NP_061734.1, NP_065866.1, NP_113685.1, NP_113688.1, NP_114062.1, NP_114063.1, NP_114070.1, NP_114071.1, NP_116586.1	
OG0000018		6183.Smp_026570.1, 6183.Smp_034610.1, 6183.Smp_037510.1, 6183.Smp_058470.1, 6183.Smp_066900.1, 6183.Smp_073360.1, 6183.Smp_073380.1, 6183.Smp_088060.1, 6183.Smp_105760.1, 6183.Smp_117170.1, 6183.Smp_129020.1, 6183.Smp_140850.1, 6183.Smp_140860.1, 6183.Smp_141290.2, 6183.Smp_141390.1, 6183.Smp_142390.1, 6183.Smp_146940.1, 6183.Smp_161890.1, 6183.Smp_161900.1, 6183.Smp_170070.1, 6183.Smp_187190.1, 6183.Smp_200490.1
OG0000019		6183.Smp_111980.1, 6183.Smp_151790.1, 6183.Smp_200060.1, 6183.Smp_201230.1, 6183.Smp_201840.1, 6183.Smp_201900.1, 6183.Smp_202400.1, 6183.Smp_202450.1, 6183.Smp_203620.1, 6183.Smp_203660.1, 6183.Smp_203830.1, 6183.Smp_203930.1, 6183.Smp_204010.1, 6183.Smp_204150.1, 6183.Smp_204920.1, 6183.Smp_204980.1, 6183.Smp_205380.1, 6183.Smp_205540.1, 6183.Smp_205600.1, 6183.Smp_205630.1, 6183.Smp_205690.1, 6183.Smp_206060.1
OG0000020	NP_000093.1, NP_000095.2, NP_000097.3, NP_000490.1, NP_000491.4, NP_000752.2, NP_000753.3, NP_000755.2, NP_000757.2, NP_000758.1, NP_000760.1, NP_000761.3, NP_000762.2, NP_000763.1, NP_000764.1, NP_000765.2, NP_000766.2, NP_060251.2, NP_085079.2, NP_085125.1	6183.Smp_156400.1
OG0000021		6183.Smp_002860.1, 6183.Smp_005170.1, 6183.Smp_023190.1, 6183.Smp_028860.1, 6183.Smp_029950.1, 6183.Smp_061980.1, 6183.Smp_084210.1, 6183.Smp_086310.1, 6183.Smp_086370.1, 6183.Smp_099090.1, 6183.Smp_117560.1, 6183.Smp_120750.1, 6183.Smp_138720.1, 6183.Smp_138790.1, 6183.Smp_141260.1, 6183.Smp_166270.1, 6183.Smp_177900.1, 6183.Smp_178320.1, 6183.Smp_188510.1, 6183.Smp_188960.1, 6183.Smp_200580.1
OG0000022	NP_000165.1, NP_001258.2, NP_001702.1, NP_001911.1, NP_002014.2, NP_002336.1, NP_002716.1, NP_005005.1, NP_005536.1, NP_008966.1, NP_060150.4, NP_079101.4, NP_112153.1, NP_598012.1, NP_598013.1, NP_598014.1	6183.Smp_008450.1, 6183.Smp_173420.1
OG0000023	NP_000085.1, NP_001839.2, NP_001840.3, NP_001842.3, NP_001847.3, NP_001849.2, NP_002370.1, NP_002371.3, NP_002372.1, NP_003824.2, NP_004077.1, NP_004361.3, NP_073745.2, NP_085080.1, NP_085095.1, NP_110447.2, NP_444506.2, NP_542376.2	
OG0000024	NP_000604.1, NP_000867.3, NP_002412.1, NP_002413.1, NP_002414.1, NP_002415.1, NP_002416.1, NP_002417.2, NP_002418.1, NP_004521.1, NP_004762.2, NP_004985.2, NP_005931.2, NP_068573.2, NP_071405.2, NP_071425.3	6183.Smp_145930.1, 6183.Smp_162300.1
OG0000025	NP_000100.3, NP_001930.2, NP_003997.2, NP_004000.1, NP_004002.3, NP_004003.2, NP_004004.2, NP_004005.2, NP_004006.1, NP_004007.1, NP_004008.1, NP_004009.1, NP_004011.3, NP_004012.2, NP_004013.2, NP_004014.2, NP_009055.2	6183.Smp_076500.1
OG0000026	NP_001172.1, NP_001662.1, NP_001772.1, NP_001773.1, NP_005118.2, NP_005402.3, NP_006429.2, NP_037401.1, NP_055173.1, NP_056532.4, NP_057268.1, NP_057593.3, NP_057607.1, NP_076932.1, NP_525126.2, NP_550435.1, NP_550436.1, NP_569708.1	
OG0000027		6183.Smp_008390.1, 6183.Smp_023140.1, 6183.Smp_124150.1, 6183.Smp_124880.1, 6183.Smp_125090.1, 6183.Smp_128820.1, 6183.Smp_128830.1, 6183.Smp_141020.1, 6183.Smp_152360.1, 6183.Smp_162070.1, 6183.Smp_164000.1, 6183.Smp_165180.1, 6183.Smp_165300.1, 6183.Smp_167530.1, 6183.Smp_173920.1, 6183.Smp_186920.1, 6183.Smp_187590.1, 6183.Smp_193730.1
OG0000028	NP_002132.3, NP_002138.1, NP_004493.3, NP_004494.1, NP_008827.2, NP_055435.2, NP_055436.2, NP_061825.2, NP_061826.1, NP_061975.2, NP_062458.1, NP_073149.1, NP_076919.1, NP_076920.1, NP_076921.1	6183.Smp_002640.1, 6183.Smp_081620.1
OG0000029		6183.Smp_059140.1, 6183.Smp_088180.1, 6183.Smp_094770.1, 6183.Smp_122860.1, 6183.Smp_125470.1, 6183.Smp_147480.1, 6183.Smp_157440.1, 6183.Smp_167670.1, 6183.Smp_167780.1, 6183.Smp_168360.1, 6183.Smp_170460.1, 6183.Smp_170470.1, 6183.Smp_170480.1, 6183.Smp_170490.1, 6183.Smp_170500.1, 6183.Smp_175400.1, 6183.Smp_194190.1
OG0000030	NP_003509.1, NP_003510.1, NP_003511.1, NP_003512.1, NP_003514.2, NP_003515.1, NP_003517.2, NP_003518.2, NP_003519.1, NP_059141.1, NP_066402.2, NP_066406.1, NP_066407.1, NP_542160.1	6183.Smp_077790.1, 6183.Smp_108390.1
OG0000031	NP_003603.1, NP_003957.2, NP_004177.3, NP_004254.2, NP_004627.1, NP_006071.1, NP_006369.3, NP_006370.1, NP_036563.1, NP_060259.4, NP_064548.1, NP_065847.1, NP_071762.2, NP_112175.2, NP_115484.2	6183.Smp_158550.1
OG0000032	NP_000151.1, NP_000155.1, NP_000307.1, NP_000814.2, NP_001109.2, NP_001733.1, NP_001874.2, NP_002053.3, NP_002971.2, NP_003373.2, NP_004237.1, NP_004373.2, NP_004615.2, NP_005039.1, NP_005786.1	6183.Smp_125420.1
OG0000033		6183.Smp_010670.1, 6183.Smp_042140.1, 6183.Smp_042150.1, 6183.Smp_045010.1, 6183.Smp_045200.1, 6183.Smp_072620.1, 6183.Smp_072630.1, 6183.Smp_074460.1, 6183.Smp_077310.1, 6183.Smp_086470.1, 6183.Smp_086480.1, 6183.Smp_086530.1, 6183.Smp_146460.1, 6183.Smp_169190.1, 6183.Smp_169200.1, 6183.Smp_195090.1
OG0000034	NP_000454.1, NP_001063.2, NP_001064.1, NP_001065.2, NP_001066.1, NP_001067.2, NP_001068.1, NP_003351.3, NP_009051.1, NP_061949.3, NP_061966.1, NP_066307.1, NP_066962.2, NP_079019.3, NP_444267.1	
OG0000035	NP_000176.2, NP_000479.1, NP_001226.2, NP_002566.1, NP_002630.2, NP_002631.3, NP_003775.1, NP_004146.1, NP_004559.4, NP_005015.1, NP_008850.1, NP_036529.1, NP_109591.1, NP_536722.1, NP_536723.2	
OG0000036	NP_003023.1, NP_003024.1, NP_003025.1, NP_003887.3, NP_005659.1, NP_006002.1, NP_006091.1, NP_006269.1, NP_006270.1, NP_006447.2, NP_008858.1, NP_037437.2, NP_038471.2, NP_056963.2, NP_112227.1	
OG0000037	NP_000902.3, NP_000903.2, NP_000904.1, NP_000905.3, NP_001040.1, NP_001041.1, NP_001042.1, NP_001043.2, NP_001044.1, NP_005276.2, NP_005277.2, NP_005288.4, NP_057652.1, NP_061822.1, NP_115892.2	
OG0000038	NP_001073917.2, NP_004422.2, NP_004429.1, NP_004431.1, NP_004432.1, NP_004433.2, NP_004434.2, NP_004435.3, NP_004436.4, NP_005223.4, NP_005224.2, NP_059145.2, NP_065387.1	6183.Smp_139480.1
OG0000039	NP_000132.3, NP_000133.1, NP_002002.3, NP_056934.2, NP_068742.2, NP_075252.2, NP_075254.1, NP_075259.4, NP_075418.1, NP_075593.1, NP_075594.1, NP_075598.2	6183.Smp_157300.1, 6183.Smp_175590.1
OG0000040	NP_001775.2, NP_001965.3, NP_005673.3, NP_005747.2, NP_036434.1, NP_038475.2, NP_056051.2, NP_071442.2, NP_115495.3, NP_115960.2, NP_116166.9, NP_116176.2, NP_510966.1	6183.Smp_058380.1
OG0000041	NP_000518.1, NP_001954.2, NP_002323.2, NP_002325.2, NP_002326.2, NP_002327.2, NP_003374.3, NP_004516.2, NP_004622.2, NP_057663.1, NP_059992.3, NP_061027.2, NP_150643.2	6183.Smp_154760.1
OG0000042	NP_002236.1, NP_003731.1, NP_004814.1, NP_005705.1, NP_055032.1, NP_066984.1, NP_113648.2, NP_115491.1, NP_201567.1, NP_203133.1, NP_203134.1, NP_612190.1, NP_612191.1	6183.Smp_034850.1
OG0000043	NP_001177370.2, NP_001819.2, NP_002296.1, NP_002297.2, NP_002298.1, NP_002299.2, NP_006140.1, NP_006489.1, NP_006490.3, NP_033665.1, NP_037400.1, NP_054900.2, NP_064514.1, NP_149092.3	
OG0000044	NP_000211.1, NP_000516.3, NP_000881.3, NP_000882.1, NP_002230.1, NP_002231.1, NP_002232.2, NP_002234.2, NP_004972.1, NP_004973.1, NP_004974.2, NP_037480.1, NP_061128.3, NP_066292.2	
OG0000045		6183.Smp_028910.1, 6183.Smp_054300.1, 6183.Smp_129750.1, 6183.Smp_137730.1, 6183.Smp_137740.1, 6183.Smp_142860.1, 6183.Smp_154410.1, 6183.Smp_193620.1, 6183.Smp_193870.1, 6183.Smp_194990.1, 6183.Smp_199790.1, 6183.Smp_205640.1, 6183.Smp_209060.1, 6183.Smp_211180.1
OG0000046	NP_000125.2, NP_001433.1, NP_001435.1, NP_001437.1, NP_001869.1, NP_002668.1, NP_002890.2, NP_004093.1, NP_004155.2, NP_004369.1, NP_113679.1, NP_443192.1	6183.Smp_095360.1
OG0000047		6183.Smp_008850.1, 6183.Smp_041700.1, 6183.Smp_127860.1, 6183.Smp_128710.1, 6183.Smp_129810.1, 6183.Smp_132730.1, 6183.Smp_140250.1, 6183.Smp_145240.1, 6183.Smp_149170.1, 6183.Smp_149580.1, 6183.Smp_157640.1, 6183.Smp_173010.1, 6183.Smp_193610.1
OG0000048	NP_000007.1, NP_000008.1, NP_000009.1, NP_000150.1, NP_001599.1, NP_001600.1, NP_002216.3, NP_039663.1, NP_055199.1, NP_079523.3, NP_115545.3	6183.Smp_122930.1
OG0000049	NP_003048.1, NP_003049.2, NP_003050.2, NP_003051.1, NP_004245.2, NP_004247.2, NP_004781.2, NP_004794.2, NP_060954.1, NP_065105.3, NP_068812.1, NP_149116.2	
OG0000050	NP_002493.3, NP_002494.2, NP_004547.3, NP_005169.2, NP_055240.2, NP_065390.1, NP_113607.1, NP_116110.2	6183.Smp_064320.1, 6183.Smp_105360.1, 6183.Smp_158310.1, 6183.Smp_198360.1
OG0000051	NP_057110.3	6183.Smp_032370.1, 6183.Smp_076580.1, 6183.Smp_081430.1, 6183.Smp_120070.1, 6183.Smp_139680.1, 6183.Smp_139700.1, 6183.Smp_170300.1, 6183.Smp_179840.1, 6183.Smp_179850.1, 6183.Smp_203940.1, 6183.Smp_203950.1
OG0000052	NP_003416.1, NP_003436.4, NP_004225.3, NP_006291.2, NP_037491.2, NP_037492.2, NP_037493.3, NP_037494.2, NP_037530.2, NP_056178.3, NP_057003.2, NP_057528.2	
OG0000053	NP_000548.2, NP_001191.1, NP_001193.2, NP_001483.3, NP_001709.1, NP_001710.1, NP_001711.2, NP_055297.1, NP_057288.1, NP_065685.1, NP_066551.1	6183.Smp_146790.1
OG0000054	NP_004116.2, NP_004117.1, NP_004476.1, NP_005265.1, NP_057625.1, NP_061329.3, NP_068774.1, NP_113686.1, NP_150283.1, NP_443079.1	6183.Smp_136910.1, 6183.Smp_205760.1
OG0000055	NP_000327.2, NP_001029.1, NP_001030.2, NP_001085.2, NP_001086.2, NP_004760.1, NP_061144.4, NP_064423.2, NP_064717.1, NP_064718.1	6183.Smp_153900.1, 6183.Smp_167450.1
OG0000056	NP_003661.1, NP_005515.1, NP_036390.3, NP_036391.1, NP_055386.2, NP_061115.2, NP_061962.2, NP_066993.1, NP_110389.1, NP_115969.2	6183.Smp_121350.1, 6183.Smp_152190.1
OG0000057		6183.Smp_089320.1, 6183.Smp_089330.1, 6183.Smp_089370.1, 6183.Smp_089380.1, 6183.Smp_114430.1, 6183.Smp_119060.1, 6183.Smp_120180.1, 6183.Smp_128340.1, 6183.Smp_159300.1, 6183.Smp_168940.1, 6183.Smp_170890.1, 6183.Smp_176190.1
OG0000058		6183.Smp_090100.1, 6183.Smp_090110.1, 6183.Smp_135530.1, 6183.Smp_153930.1, 6183.Smp_167070.1, 6183.Smp_167100.1, 6183.Smp_167110.1, 6183.Smp_167120.1, 6183.Smp_171320.1, 6183.Smp_171350.1, 6183.Smp_173070.1, 6183.Smp_204600.1
OG0000059	NP_001080.2, NP_116106.2	6183.Smp_112270.1, 6183.Smp_117990.1, 6183.Smp_122020.1, 6183.Smp_165800.1, 6183.Smp_167350.1, 6183.Smp_187770.1, 6183.Smp_191250.1, 6183.Smp_192030.1, 6183.Smp_199470.1
OG0000060	NP_056375.2, NP_115667.2, NP_570844.1, NP_570845.1, NP_570846.1, NP_570847.2, NP_570848.1, NP_570849.2, NP_570850.2	6183.Smp_028120.1, 6183.Smp_028140.1
OG0000061	NP_000188.1, NP_057226.1, NP_113651.4	6183.Smp_009430.1, 6183.Smp_084570.1, 6183.Smp_102190.1, 6183.Smp_117920.1, 6183.Smp_131430.1, 6183.Smp_168550.1, 6183.Smp_168560.1, 6183.Smp_178940.1
OG0000062	NP_000205.1, NP_002217.3	6183.Smp_001280.1, 6183.Smp_001330.1, 6183.Smp_034160.1, 6183.Smp_050520.1, 6183.Smp_122740.1, 6183.Smp_122750.1, 6183.Smp_140600.1, 6183.Smp_173560.1, 6183.Smp_183600.1
OG0000063	NP_003424.3, NP_003426.3, NP_005764.2, NP_060122.2, NP_065708.2, NP_078967.3, NP_079038.2, NP_079109.2, NP_116217.1, NP_597717.1, NP_612356.2	
OG0000064	NP_001189.2, NP_001346562.2, NP_036363.2, NP_036538.3, NP_056950.2, NP_061169.2, NP_064612.2, NP_064613.2, NP_067632.2, NP_067633.2	6183.Smp_128350.1
OG0000065	NP_002913.3, NP_002914.1, NP_002918.1, NP_002919.3, NP_003608.1, NP_005604.1, NP_570138.1, NP_570613.2, NP_602299.1, NP_652760.3	6183.Smp_069400.1
