Orthogroup	protein_mansoni	resultado_cel
OG0000010	6183.Smp_159700.1, 6183.Smp_194580.1	NP_493993.1, NP_494195.3, NP_494196.2, NP_494197.1, NP_494198.3, NP_494199.1, NP_494229.2, NP_494230.1, NP_494231.1, NP_494290.2, NP_494291.1, NP_494292.2, NP_494315.1, NP_494317.2, NP_494318.2, NP_494319.2, NP_494320.2, NP_494473.2, NP_494474.2, NP_494475.1, NP_494476.2, NP_494477.2, NP_494478.1, NP_494479.2, NP_494480.2, NP_494481.2, NP_494482.1, NP_494483.2, NP_494485.2, NP_496332.1, NP_496768.1, NP_498381.1, NP_499312.2, NP_507324.1, NP_508239.2, NP_508383.1, NP_510217.2
OG0000011		NP_490679.1, NP_491088.1, NP_491958.1, NP_493635.1, NP_493660.1, NP_493913.2, NP_494879.2, NP_494880.1, NP_495104.1, NP_495487.1, NP_495582.1, NP_495726.2, NP_495759.1, NP_496361.1, NP_496362.1, NP_496665.1, NP_499889.2, NP_499905.2, NP_501273.2, NP_501617.1, NP_502966.2, NP_503048.1, NP_505677.1, NP_505678.1, NP_506283.1, NP_506284.2, NP_508395.1, NP_508747.1, NP_509051.1, NP_509059.1, NP_509060.1, NP_509121.1, NP_509162.1, NP_509276.1, NP_509869.1, NP_509870.1, NP_509960.1, NP_510021.1, NP_510617.1
OG0000012	6183.Smp_054160.1	NP_494882.2, NP_494883.1, NP_494884.1, NP_494887.1, NP_494889.1, NP_494902.1, NP_495967.1, NP_496357.1, NP_496858.1, NP_496859.1, NP_496860.1, NP_496861.1, NP_496862.1, NP_496863.1, NP_496864.1, NP_496865.1, NP_496866.1, NP_497115.1, NP_497116.1, NP_497117.1, NP_497118.1, NP_497119.1, NP_497121.1, NP_497123.2, NP_499981.1, NP_501846.1, NP_501847.1, NP_501848.1, NP_503492.1, NP_503532.1, NP_503968.1, NP_505972.2, NP_506983.1, NP_507095.1, NP_508625.1, NP_509652.2
OG0000013		CAB07558.2, NP_494783.2, NP_494784.1, NP_494785.1, NP_500109.1, NP_500110.1, NP_500111.3, NP_500112.2, NP_500643.1, NP_501382.1, NP_503460.1, NP_503461.1, NP_503561.2, NP_504153.1, NP_504765.2, NP_504766.1, NP_504767.1, NP_504768.1, NP_504769.1, NP_504770.2, NP_504771.1, NP_504798.2, NP_504989.2, NP_505588.1, NP_505589.1, NP_506854.1, NP_506905.1, NP_506987.1, NP_507015.3, NP_507016.1, NP_507045.2, NP_507194.2, NP_507231.1, NP_507636.1, NP_509893.3, NP_510659.1, O17933.3
OG0000014		NP_494455.1, NP_495798.2, NP_496018.2, NP_496019.1, NP_496020.1, NP_496021.1, NP_496023.1, NP_496024.2, NP_496026.2, NP_496027.1, NP_496028.1, NP_496029.2, NP_496030.1, NP_496031.2, NP_496032.1, NP_496033.2, NP_496034.1, NP_496035.1, NP_496122.2, NP_496125.1, NP_496126.1, NP_496127.1, NP_496128.1, NP_496129.2, NP_496131.2, NP_496132.1, NP_496133.2, NP_496660.2, NP_497437.2, NP_500855.1, NP_500856.2, NP_501082.2, NP_504806.1, NP_504862.2, NP_506735.3, NP_506770.2, NP_508588.1
OG0000015		NP_495052.1, NP_496085.3, NP_496108.1, NP_496109.1, NP_496110.1, NP_496111.1, NP_496112.1, NP_496113.1, NP_496114.1, NP_496115.1, NP_496939.2, NP_497775.3, NP_497776.2, NP_497779.1, NP_499704.1, NP_499705.1, NP_500322.1, NP_500512.1, NP_500637.2, NP_501586.1, NP_502152.3, NP_502584.1, NP_503130.2, NP_503598.1, NP_505009.4, NP_505490.2, NP_505847.1, NP_507109.1, NP_507688.2, NP_508961.3, NP_509959.1, NP_510231.1, NP_510232.1, NP_510233.1, NP_510369.2, NP_510643.1
OG0000016		NP_494562.1, NP_495366.2, NP_495367.1, NP_496589.1, NP_499408.1, NP_499409.1, NP_499410.1, NP_499700.1, NP_499703.1, NP_500071.1, NP_500133.2, NP_500138.1, NP_500519.1, NP_500520.1, NP_500524.2, NP_500598.1, NP_501150.1, NP_501527.1, NP_501561.1, NP_501700.1, NP_501829.1, NP_501867.1, NP_502107.1, NP_502700.1, NP_502808.1, NP_504252.1, NP_505074.1, NP_505886.1, NP_505888.2, NP_505913.1, NP_506095.1, NP_509766.1, NP_510247.1, NP_510273.1, NP_510274.1
OG0000017	6183.Smp_005710.1, 6183.Smp_086630.1, 6183.Smp_093070.1, 6183.Smp_102020.2, 6183.Smp_103640.1, 6183.Smp_113750.1, 6183.Smp_133400.1, 6183.Smp_154460.1, 6183.Smp_154590.1, 6183.Smp_155170.1, 6183.Smp_165590.1, 6183.Smp_165600.1, 6183.Smp_166470.1, 6183.Smp_173350.2, 6183.Smp_175670.1, 6183.Smp_179390.1, 6183.Smp_179420.1, 6183.Smp_179970.1, 6183.Smp_191400.1, 6183.Smp_192050.1, 6183.Smp_193380.1, 6183.Smp_194130.1, 6183.Smp_201330.1, 6183.Smp_202320.1, 6183.Smp_202420.1, 6183.Smp_202700.1, 6183.Smp_202840.1, 6183.Smp_202850.1, 6183.Smp_204710.1, 6183.Smp_204830.1, 6183.Smp_204840.1, 6183.Smp_205310.1	NP_497804.2
OG0000018		NP_499148.2, NP_500257.1, NP_500258.2, NP_500259.1, NP_500260.3, NP_500262.1, NP_500437.2, NP_500438.5, NP_500439.2, NP_500440.2, NP_500442.3, NP_500446.2, NP_500447.2, NP_500448.1, NP_500449.2, NP_500469.4, NP_502450.2, NP_502451.1, NP_503546.3, NP_503676.1, NP_503855.2, NP_507836.1, T19123, T21928, T21929, T21930, T21932, T21933, T21934, T21935
OG0000019	6183.Smp_000120.1, 6183.Smp_018510.1, 6183.Smp_025180.1, 6183.Smp_038920.1, 6183.Smp_106390.1, 6183.Smp_154080.1, 6183.Smp_158010.1, 6183.Smp_164350.1, 6183.Smp_167710.1, 6183.Smp_168700.1, 6183.Smp_178530.1, 6183.Smp_182910.1, 6183.Smp_183860.1, 6183.Smp_184750.1, 6183.Smp_185370.1, 6183.Smp_185440.1, 6183.Smp_188900.1, 6183.Smp_190320.1, 6183.Smp_190590.1, 6183.Smp_192040.1, 6183.Smp_194000.1, 6183.Smp_195110.1, 6183.Smp_195120.1, 6183.Smp_195130.1, 6183.Smp_195140.1, 6183.Smp_195150.1, 6183.Smp_195160.1, 6183.Smp_197110.1	
OG0000020		NP_492919.2, NP_492921.2, NP_492922.1, NP_492926.1, NP_492931.1, NP_492932.1, NP_493090.1, NP_493092.1, NP_493118.2, NP_493119.2, NP_493122.2, NP_493137.2, NP_493149.2, NP_493155.1, NP_493156.2, NP_494671.2, NP_494672.2, NP_494675.3, NP_494676.1, NP_496701.1, NP_496702.1, NP_501076.2, NP_501621.1, NP_501622.3, NP_503239.2, NP_503258.1, NP_506457.2, NP_506768.1
OG0000021		NP_493141.1, NP_493820.1, NP_494663.2, NP_494670.1, NP_500564.4, NP_500991.2, NP_502716.2, NP_502914.1, NP_503241.2, NP_503242.1, NP_503243.3, NP_503251.3, NP_503256.2, NP_503257.1, NP_503533.3, NP_503534.1, NP_503564.2, NP_503565.2, NP_503789.1, NP_503884.1, NP_504844.2, NP_504853.1, NP_505002.2, NP_505095.1, NP_505096.1, NP_505097.1, NP_505599.2, NP_505744.1
OG0000022		NP_492267.1, NP_494797.1, NP_501470.2, NP_501471.1, NP_501480.2, NP_503303.1, NP_503592.2, NP_503594.1, NP_503599.1, NP_503612.1, NP_503613.1, NP_503615.1, NP_503616.1, NP_503617.1, NP_503618.2, NP_503846.1, NP_504051.1, NP_504435.1, NP_504988.1, NP_505342.2, NP_507076.1, NP_507679.2, NP_509038.1, NP_510203.1, NP_510204.1, NP_510205.1, NP_510207.1
OG0000023		NP_492062.1, NP_492748.3, NP_493485.1, NP_501069.2, NP_501075.1, NP_501294.1, NP_501627.1, NP_501628.1, NP_503439.2, NP_503567.2, NP_503571.1, NP_503572.1, NP_503574.3, NP_503883.1, NP_503885.2, NP_504847.1, NP_504849.2, NP_504851.2, NP_504854.4, NP_504855.1, NP_504857.1, NP_505043.2, NP_505695.4, NP_505887.1, NP_506032.1, NP_506045.3, NP_507847.1
OG0000024	6183.Smp_212240.1	NP_493774.2, NP_496008.1, NP_496010.2, NP_496119.1, NP_496120.1, NP_496390.1, NP_496567.2, NP_496568.1, NP_496661.1, NP_496881.1, NP_496882.1, NP_496883.2, NP_496884.1, NP_498977.1, NP_499629.2, NP_499816.2, NP_503916.1, NP_503917.1, NP_503943.2, NP_503944.2, NP_503955.1, NP_508830.3, NP_510328.2, NP_510338.1
OG0000025		NP_491223.1, NP_494227.1, NP_494232.2, NP_494234.1, NP_494235.1, NP_494236.1, NP_494237.2, NP_494238.2, NP_494239.2, NP_494240.1, NP_494241.2, NP_494242.1, NP_494243.2, NP_494244.2, NP_494245.1, NP_494271.1, NP_496089.3, NP_496180.1, NP_496523.1, NP_497677.1, NP_500811.1, NP_501814.2, NP_507996.1, NP_509495.3, NP_509564.1
OG0000026		NP_491073.1, NP_491455.1, NP_492336.1, NP_493497.1, NP_494082.1, NP_497194.1, NP_498141.1, NP_498529.1, NP_499141.1, NP_500588.1, NP_500861.1, NP_501308.1, NP_502159.1, NP_503102.1, NP_503166.1, NP_503524.1, NP_503526.1, NP_505558.1, NP_507055.1, NP_508248.1, NP_508371.1, NP_509520.1, NP_510543.1, NP_510780.1, NP_510856.1
OG0000027	6183.Smp_001890.1, 6183.Smp_002060.1, 6183.Smp_002070.1, 6183.Smp_002630.1, 6183.Smp_070240.1, 6183.Smp_070250.1, 6183.Smp_078490.1, 6183.Smp_120670.1, 6183.Smp_123090.1, 6183.Smp_123540.1, 6183.Smp_123550.1, 6183.Smp_127130.1, 6183.Smp_139450.1, 6183.Smp_154260.1, 6183.Smp_154290.1, 6183.Smp_159280.1, 6183.Smp_159290.1, 6183.Smp_176160.1, 6183.Smp_176170.1, 6183.Smp_176180.1, 6183.Smp_179480.1, 6183.Smp_193680.1, 6183.Smp_210620.1	NP_505900.1
OG0000028		NP_493974.1, NP_493975.1, NP_494496.1, NP_499859.3, NP_500349.1, NP_502228.2, NP_502497.1, NP_502498.1, NP_502499.1, NP_502502.1, NP_502503.1, NP_502504.1, NP_502505.1, NP_502506.1, NP_502508.1, NP_502509.1, NP_502510.1, NP_502532.1, NP_504055.1, NP_504056.1, NP_506396.2, NP_507654.2, NP_507655.1, NP_507793.1
OG0000029		NP_490687.1, NP_490751.1, NP_491005.2, NP_491221.1, NP_491658.2, NP_493245.1, NP_493603.1, NP_493718.2, NP_494986.2, NP_496343.1, NP_496392.2, NP_496761.3, NP_497114.1, NP_499030.2, NP_499380.1, NP_501963.1, NP_503388.2, NP_504760.1, NP_505380.1, NP_507690.1, NP_509013.2, NP_510472.2, NP_510810.3
OG0000030		NP_490795.5, NP_492109.2, NP_493926.2, NP_494953.3, NP_495880.1, NP_497769.3, NP_498342.3, NP_498583.1, NP_503351.3, NP_505785.1, NP_505889.2, NP_505891.1, NP_505892.1, NP_505893.2, NP_505906.2, NP_505907.2, NP_505908.2, NP_505910.1, NP_506409.2, NP_508120.2, NP_509086.2, NP_509669.2, NP_510440.1
OG0000031	6183.Smp_026570.1, 6183.Smp_034610.1, 6183.Smp_037510.1, 6183.Smp_058470.1, 6183.Smp_066900.1, 6183.Smp_073360.1, 6183.Smp_073380.1, 6183.Smp_088060.1, 6183.Smp_105760.1, 6183.Smp_117170.1, 6183.Smp_129020.1, 6183.Smp_140850.1, 6183.Smp_140860.1, 6183.Smp_141290.2, 6183.Smp_141390.1, 6183.Smp_142390.1, 6183.Smp_146940.1, 6183.Smp_161890.1, 6183.Smp_161900.1, 6183.Smp_170070.1, 6183.Smp_187190.1, 6183.Smp_200490.1	
OG0000032	6183.Smp_111980.1, 6183.Smp_151790.1, 6183.Smp_200060.1, 6183.Smp_201230.1, 6183.Smp_201840.1, 6183.Smp_201900.1, 6183.Smp_202400.1, 6183.Smp_202450.1, 6183.Smp_203620.1, 6183.Smp_203660.1, 6183.Smp_203830.1, 6183.Smp_203930.1, 6183.Smp_204010.1, 6183.Smp_204150.1, 6183.Smp_204920.1, 6183.Smp_204980.1, 6183.Smp_205380.1, 6183.Smp_205540.1, 6183.Smp_205600.1, 6183.Smp_205630.1, 6183.Smp_205690.1, 6183.Smp_206060.1	
OG0000033		NP_490700.1, NP_494202.1, NP_499726.1, NP_501697.1, NP_503327.1, NP_504391.1, NP_504448.1, NP_505184.1, NP_505185.1, NP_505186.1, NP_505273.1, NP_505288.1, NP_505289.1, NP_507613.1, NP_508646.1, NP_509245.1, NP_509246.1, NP_509552.1, NP_510774.1, NP_510858.1, NP_510859.1, NP_510860.1
OG0000034		NP_491528.2, NP_495167.3, NP_497335.3, NP_499050.1, NP_499052.3, NP_499621.1, NP_499623.2, NP_499630.2, NP_500090.3, NP_502123.1, NP_502962.3, NP_503389.1, NP_503390.2, NP_503517.1, NP_503542.3, NP_504600.3, NP_505743.1, NP_507596.3, NP_507602.1, NP_507603.1, NP_508336.2, NP_510221.1
OG0000035		NP_492843.2, NP_492846.1, NP_492891.1, NP_492924.1, NP_493102.1, NP_493105.1, NP_493131.1, NP_493132.1, NP_493311.2, NP_495699.1, NP_496940.1, NP_501387.2, NP_503250.1, NP_503791.3, NP_504002.2, NP_504005.2, NP_504917.1, NP_504940.1, NP_506420.3, NP_508623.1, NP_508624.1, NP_510579.2
OG0000036	6183.Smp_002470.1, 6183.Smp_026200.1, 6183.Smp_026790.1, 6183.Smp_026860.1, 6183.Smp_032780.1, 6183.Smp_048030.1, 6183.Smp_063550.1, 6183.Smp_088610.1, 6183.Smp_096830.1, 6183.Smp_101840.1, 6183.Smp_109240.1, 6183.Smp_114130.1, 6183.Smp_114870.1, 6183.Smp_120020.1, 6183.Smp_125000.1, 6183.Smp_138800.1, 6183.Smp_139590.1, 6183.Smp_174250.1, 6183.Smp_175190.1, 6183.Smp_178400.1, 6183.Smp_197170.1	
OG0000037	6183.Smp_005170.1, 6183.Smp_023190.1, 6183.Smp_028860.1, 6183.Smp_029950.1, 6183.Smp_061980.1, 6183.Smp_084210.1, 6183.Smp_086310.1, 6183.Smp_086370.1, 6183.Smp_099090.1, 6183.Smp_117560.1, 6183.Smp_120750.1, 6183.Smp_138720.1, 6183.Smp_138790.1, 6183.Smp_141260.1, 6183.Smp_166270.1, 6183.Smp_177900.1, 6183.Smp_178320.1, 6183.Smp_188510.1, 6183.Smp_188960.1, 6183.Smp_200580.1	NP_504187.1
OG0000038	6183.Smp_186960.1	NP_490937.1, NP_491105.2, NP_492844.1, NP_494135.1, NP_494890.1, NP_495266.1, NP_495733.1, NP_498084.1, NP_498860.1, NP_500227.1, NP_500443.2, NP_501611.1, NP_504664.2, NP_505161.1, NP_505162.1, NP_506741.1, NP_508328.1, NP_509377.1, NP_510399.1
OG0000039		CAB01123.2, NP_504092.1, NP_504093.1, NP_504094.1, NP_504095.1, NP_504097.1, NP_504099.1, NP_504100.2, NP_504101.1, NP_504102.2, NP_504103.2, NP_504104.1, NP_504121.1, NP_504124.1, NP_504879.3, NP_504880.2, NP_506765.1, NP_506787.1, NP_506788.1, NP_507044.1
OG0000040		NP_491275.3, NP_491276.1, NP_491277.1, NP_491278.1, NP_491722.2, NP_491758.1, NP_491761.3, NP_491872.1, NP_492647.2, NP_494193.1, NP_494221.3, NP_497497.1, NP_497499.1, NP_500718.1, NP_500756.1, NP_500775.1, NP_501041.1, NP_501293.3, NP_501721.1, NP_501766.1
OG0000041		NP_497031.1, NP_501154.1, NP_501155.1, NP_501156.1, NP_502263.1, NP_503143.1, NP_503222.1, NP_503224.2, NP_503751.1, NP_503752.1, NP_503753.1, NP_503754.1, NP_505704.1, NP_505742.1, NP_505755.1, NP_506820.1, NP_506855.2, NP_507157.1, NP_510229.1
