Orthogroup	protein_mansoni	resultado_dme
OG0000010	6183.Smp_013630.1, 6183.Smp_016230.1, 6183.Smp_069720.1, 6183.Smp_083220.1, 6183.Smp_124580.1, 6183.Smp_129530.1, 6183.Smp_131010.1, 6183.Smp_135630.1, 6183.Smp_135640.1, 6183.Smp_141740.1, 6183.Smp_149010.1, 6183.Smp_149140.1, 6183.Smp_149330.1, 6183.Smp_151620.1, 6183.Smp_155600.1, 6183.Smp_155810.1, 6183.Smp_159920.1, 6183.Smp_162520.1, 6183.Smp_162550.1, 6183.Smp_166440.1, 6183.Smp_167460.1, 6183.Smp_167470.1, 6183.Smp_176390.1, 6183.Smp_176470.1, 6183.Smp_179750.1, 6183.Smp_193230.1, 6183.Smp_196240.1, 6183.Smp_199910.1	
OG0000011		AAF50706.2, AAF50707.2, AAF50732.2, AAF50734.1, AAF51793.2, AAF51796.2, AAF51797.3, AAF55098.1, AAF55099.1, AAF55100.1, AAF55281.1, AAF55282.1, AAF55286.3, AAF55679.2, AAF55680.1, AAF55681.3, AAF55682.1, AAF55683.2, AAF55684.2, AAF55963.1, AAF56270.1, AAF56271.1, AAF56273.2, AAF58407.3, AAF58448.2, NP_610052.1, NP_611451.1
OG0000012	6183.Smp_001890.1, 6183.Smp_002060.1, 6183.Smp_002070.1, 6183.Smp_002630.1, 6183.Smp_070240.1, 6183.Smp_070250.1, 6183.Smp_078490.1, 6183.Smp_120670.1, 6183.Smp_123090.1, 6183.Smp_123540.1, 6183.Smp_123550.1, 6183.Smp_127130.1, 6183.Smp_139450.1, 6183.Smp_154260.1, 6183.Smp_154290.1, 6183.Smp_159280.1, 6183.Smp_159290.1, 6183.Smp_176160.1, 6183.Smp_176170.1, 6183.Smp_176180.1, 6183.Smp_179480.1, 6183.Smp_193680.1, 6183.Smp_199890.1, 6183.Smp_210620.1	AAF54913.2
OG0000013		AAD38605.1, AAF45912.2, AAF46856.1, AAF51734.1, AAF52698.1, AAF52699.1, AAF52791.1, AAF52792.2, AAF54003.2, AAF54015.2, AAF56142.2, AAF58061.3, AAF58062.2, NP_477504.1, NP_524037.1, NP_524258.2, NP_524259.2, NP_524261.1, NP_524262.1, NP_524265.3, NP_524266.1, NP_524267.2, NP_524269.3, NP_536784.1, P08171.2
OG0000014		AAF46608.2, AAF51768.1, AAF52037.2, AAF54276.2, AAF54277.2, AAF54278.2, AAF54279.1, AAF54280.1, AAF54449.1, AAF54606.1, AAF54607.1, AAF54620.2, AAF54621.2, AAF54664.2, AAF54667.1, AAF55141.2, AAF55470.2, AAF55471.1, AAF55472.3, AAF55473.3, AAF55474.2, AAF55566.1, AAF57174.1, NP_569896.1
OG0000015		AAF46778.1, AAF46849.2, AAF47149.1, AAF47789.2, AAF48671.3, AAF48734.2, AAF50555.3, AAF52108.2, AAF52370.2, AAF52371.2, AAF52808.3, AAF52812.2, AAF53955.1, AAF56586.2, AAF56909.3, AAF56910.2, AAF56911.2, AAF56913.2, AAF57143.3, AAF57416.1, AAF57500.3, NP_477232.1, NP_611145.1
OG0000016	6183.Smp_002470.1, 6183.Smp_026200.1, 6183.Smp_026790.1, 6183.Smp_026860.1, 6183.Smp_032780.1, 6183.Smp_048030.1, 6183.Smp_063550.1, 6183.Smp_088610.1, 6183.Smp_096830.1, 6183.Smp_101840.1, 6183.Smp_109240.1, 6183.Smp_114130.1, 6183.Smp_114870.1, 6183.Smp_120020.1, 6183.Smp_125000.1, 6183.Smp_138800.1, 6183.Smp_139590.1, 6183.Smp_174250.1, 6183.Smp_175190.1, 6183.Smp_178400.1, 6183.Smp_197170.1	AAF52633.1
OG0000017	6183.Smp_026570.1, 6183.Smp_034610.1, 6183.Smp_037510.1, 6183.Smp_058470.1, 6183.Smp_066900.1, 6183.Smp_073360.1, 6183.Smp_073380.1, 6183.Smp_088060.1, 6183.Smp_105760.1, 6183.Smp_117170.1, 6183.Smp_129020.1, 6183.Smp_140850.1, 6183.Smp_140860.1, 6183.Smp_141290.2, 6183.Smp_141390.1, 6183.Smp_142390.1, 6183.Smp_146940.1, 6183.Smp_161890.1, 6183.Smp_161900.1, 6183.Smp_170070.1, 6183.Smp_187190.1, 6183.Smp_200490.1	
OG0000018	6183.Smp_111980.1, 6183.Smp_151790.1, 6183.Smp_200060.1, 6183.Smp_201230.1, 6183.Smp_201840.1, 6183.Smp_201900.1, 6183.Smp_202400.1, 6183.Smp_202450.1, 6183.Smp_203620.1, 6183.Smp_203660.1, 6183.Smp_203830.1, 6183.Smp_203930.1, 6183.Smp_204010.1, 6183.Smp_204150.1, 6183.Smp_204920.1, 6183.Smp_204980.1, 6183.Smp_205380.1, 6183.Smp_205540.1, 6183.Smp_205600.1, 6183.Smp_205630.1, 6183.Smp_205690.1, 6183.Smp_206060.1	
OG0000019	6183.Smp_002860.1, 6183.Smp_005170.1, 6183.Smp_023190.1, 6183.Smp_028860.1, 6183.Smp_029950.1, 6183.Smp_061980.1, 6183.Smp_084210.1, 6183.Smp_086310.1, 6183.Smp_086370.1, 6183.Smp_099090.1, 6183.Smp_117560.1, 6183.Smp_120750.1, 6183.Smp_138720.1, 6183.Smp_138790.1, 6183.Smp_141260.1, 6183.Smp_166270.1, 6183.Smp_177900.1, 6183.Smp_178320.1, 6183.Smp_188510.1, 6183.Smp_188960.1, 6183.Smp_200580.1	
OG0000020	6183.Smp_068280.1	AAF49251.3, AAF49252.1, AAF49253.3, AAF49254.3, AAF49255.4, AAF49256.3, AAF52410.1, AAF54203.1, AAF56834.5, AAF57053.2, AAF57054.1, AAF57057.1, AAF57058.1, AAF57059.2, AAF57060.2, AAF57061.2, AAF57062.2, AAF57071.5, AAF57073.4
OG0000021	6183.Smp_144130.1	AAF45880.2, AAF46838.2, AAF48788.2, AAF50779.2, AAF50780.1, AAF50811.1, AAF50812.2, AAF51754.3, AAF52273.4, AAF52275.1, AAF52409.1, AAF52743.3, AAF52744.3, AAF56071.1, AAF56750.1, AAF56835.1, AAF58506.1, NP_476579.1, NP_611666.2
OG0000022		AAF24518.1, AAF52530.2, AAF52578.4, AAF52588.2, AAF52627.2, AAF52854.1, AAF53932.3, AAF57405.3, AAF57406.3, AAF57408.2, AAF57409.2, AAF57895.3, AAF59286.2, AAF59287.1, NP_524153.1, NP_524805.1, NP_524851.1, NP_524953.1, NP_610245.2, NP_610633.1
OG0000023	6183.Smp_008390.1, 6183.Smp_023140.1, 6183.Smp_124150.1, 6183.Smp_124880.1, 6183.Smp_125090.1, 6183.Smp_128820.1, 6183.Smp_128830.1, 6183.Smp_141020.1, 6183.Smp_152360.1, 6183.Smp_162070.1, 6183.Smp_164000.1, 6183.Smp_165180.1, 6183.Smp_165300.1, 6183.Smp_167530.1, 6183.Smp_173920.1, 6183.Smp_186920.1, 6183.Smp_187590.1, 6183.Smp_193730.1	
OG0000024	6183.Smp_010770.1	AAF49430.2, AAF50101.2, AAF52122.3, AAF54172.2, AAF54460.1, AAF54461.1, AAF54462.1, AAF54463.2, AAF54464.1, AAF56015.1, AAF56018.1, AAF56019.1, AAF56020.2, AAF56021.1, AAF56072.1, AAF57647.2, NP_611366.2
OG0000025	6183.Smp_080210.1, 6183.Smp_165340.1	AAF45762.1, AAF46152.1, AAF47455.1, AAF47890.1, AAF47891.1, AAF49914.2, AAF52032.1, AAF53485.3, AAF55994.1, AAF56166.2, AAF56167.1, AAF57178.1, AAF58912.1, NP_523939.1, NP_610507.1, T13428
OG0000026	6183.Smp_088270.1	AAF46080.2, AAF46081.2, AAF46083.2, AAF50548.1, AAF50560.2, AAF50561.2, AAF50562.1, AAF50563.3, AAF50565.1, AAF50637.2, AAF52538.2, AAF52809.1, AAF52810.1, AAF56130.2, AAF59162.2, NP_609132.1, NP_610819.1
OG0000027		AAF46239.1, AAF49874.1, AAF51123.1, AAF51125.5, AAF51126.1, AAF51129.2, AAF51941.1, AAF51943.2, AAF54046.4, AAF54047.1, AAF58103.1, AAF58630.1, AAF58631.1, NP_523675.1, NP_536732.1, NP_608766.1, NP_611234.1, NP_611834.3
OG0000028		AAF45750.3, AAF46099.1, AAF47294.2, AAF47295.2, AAF50776.3, AAF52692.2, AAF54798.2, AAF54799.3, AAF55342.2, AAF55343.2, AAF55344.2, AAF55719.1, AAF56210.1, AAF56838.2, AAF57974.1, AAF57976.3, AAF57977.2, NP_610535.1
OG0000029	6183.Smp_000120.1, 6183.Smp_038920.1, 6183.Smp_106390.1, 6183.Smp_158010.1, 6183.Smp_164350.1, 6183.Smp_178530.1, 6183.Smp_183860.1, 6183.Smp_185440.1, 6183.Smp_188900.1, 6183.Smp_192040.1, 6183.Smp_195110.1, 6183.Smp_195120.1, 6183.Smp_195130.1, 6183.Smp_195140.1, 6183.Smp_195150.1, 6183.Smp_195160.1	AAF48015.1
OG0000030	6183.Smp_059140.1, 6183.Smp_088180.1, 6183.Smp_094770.1, 6183.Smp_122860.1, 6183.Smp_125470.1, 6183.Smp_147480.1, 6183.Smp_157440.1, 6183.Smp_167670.1, 6183.Smp_167780.1, 6183.Smp_168360.1, 6183.Smp_170460.1, 6183.Smp_170470.1, 6183.Smp_170480.1, 6183.Smp_170490.1, 6183.Smp_170500.1, 6183.Smp_175400.1, 6183.Smp_194190.1	
OG0000031	6183.Smp_135820.1	AAF46290.2, AAF48372.2, AAF48561.2, AAF50170.2, AAF50172.2, AAF51308.3, AAF52929.2, AAF53033.1, AAF54116.2, AAF54647.2, AAF54751.2, AAF54753.1, AAF55121.3, AAF57303.2, AAF57770.1, NP_612066.1
OG0000032		AAF45397.1, AAF46212.1, AAF46534.1, AAF46544.3, AAF46663.2, AAF47562.1, AAF47714.3, AAF54987.1, AAF55402.2, AAF57703.2, NP_477081.1, NP_477256.1, NP_477257.2, NP_477258.1, NP_523616.1, NP_523617.1, NP_611543.3
OG0000033		AAF59303.2, AAF59307.2, AAF59308.2, AAF59312.3, AAF59313.2, NP_511054.4, NP_523631.1, NP_523632.2, NP_523633.1, NP_523637.1, NP_523639.1, NP_523640.1, NP_523641.2, NP_523642.1, NP_523643.2, NP_523644.1, NP_523960.2
OG0000034	6183.Smp_010670.1, 6183.Smp_042140.1, 6183.Smp_042150.1, 6183.Smp_045010.1, 6183.Smp_045200.1, 6183.Smp_072620.1, 6183.Smp_072630.1, 6183.Smp_074460.1, 6183.Smp_077310.1, 6183.Smp_086470.1, 6183.Smp_086480.1, 6183.Smp_086530.1, 6183.Smp_146460.1, 6183.Smp_169190.1, 6183.Smp_169200.1, 6183.Smp_195090.1	
OG0000035	6183.Smp_094500.1	AAF48394.2, AAF48395.1, AAF48396.1, AAF48397.2, AAF48398.1, AAF48399.3, AAF48400.1, AAF48402.1, AAF48404.1, AAF48405.2, AAF48406.1, AAF54634.1, AAF56574.1, NP_477503.1, NP_572982.1
OG0000036		AAF47384.1, AAF47964.1, AAF48233.2, AAF49775.1, AAF49776.2, AAF51003.2, AAF51023.1, AAF51135.3, AAF51728.1, AAF54165.2, AAF54310.2, AAF54415.3, AAF55074.1, AAF56136.2, NP_524062.1, NP_608754.1
OG0000037		AAB39701.1, AAF46260.2, AAF47595.3, AAF51293.5, AAF52616.2, AAF54633.1, AAF55596.1, AAF56529.1, AAF56530.1, AAF56531.2, AAF56532.2, AAF56533.3, AAF56534.2, AAF57191.2, AAF57193.1, NP_611465.2
OG0000038		AAF51038.1, AAF51070.1, AAF51328.3, AAF51469.2, AAF51470.2, AAF51471.2, AAF52570.2, AAF52666.1, AAF52758.2, AAF58899.1, AAF58900.1, CAB53190.1, NP_572491.1, NP_609116.1, NP_610208.1, NP_610685.2
OG0000039	6183.Smp_001280.1, 6183.Smp_001330.1, 6183.Smp_034160.1, 6183.Smp_040110.1, 6183.Smp_050520.1, 6183.Smp_122740.1, 6183.Smp_122750.1, 6183.Smp_135370.1, 6183.Smp_140600.1, 6183.Smp_145730.1, 6183.Smp_171690.1, 6183.Smp_173560.1, 6183.Smp_183600.1	AAF56678.2, NP_477264.1
OG0000040	6183.Smp_028910.1, 6183.Smp_054300.1, 6183.Smp_129750.1, 6183.Smp_137730.1, 6183.Smp_137740.1, 6183.Smp_142860.1, 6183.Smp_154410.1, 6183.Smp_193620.1, 6183.Smp_193870.1, 6183.Smp_194990.1, 6183.Smp_199790.1, 6183.Smp_205640.1, 6183.Smp_209060.1, 6183.Smp_211180.1	AAF49657.2
OG0000041	6183.Smp_096520.1	AAF45986.1, AAF46908.2, AAF46909.3, AAF46910.2, AAF46911.1, AAF46912.2, AAF48230.1, AAF57210.1, AAF57299.2, AAF57635.2, AAF57636.3, AAF59171.3, NP_611376.1, XP_080912.1
OG0000042	6183.Smp_011430.1, 6183.Smp_055240.1, 6183.Smp_126050.1, 6183.Smp_131600.1, 6183.Smp_132320.1, 6183.Smp_148300.1, 6183.Smp_151540.1, 6183.Smp_151630.1, 6183.Smp_156970.1, 6183.Smp_158870.1, 6183.Smp_161520.1, 6183.Smp_162610.1, 6183.Smp_176540.1, 6183.Smp_192490.1	
OG0000043	6183.Smp_042680.1	AAF45844.2, AAF46353.1, AAF48896.1, AAF50801.1, AAF51983.1, AAF51984.1, AAF51985.3, AAF56735.1, AAF56937.1, NP_569835.1, NP_569875.2, NP_573109.1, NP_610724.1
OG0000044		AAF46717.1, AAF46718.2, AAF47248.1, AAF48366.1, AAF48386.1, AAF48387.1, AAF50169.1, AAF50171.1, AAF53881.2, AAF54127.2, AAF54613.2, AAF54623.2, NP_610821.1, NP_611888.2
OG0000045	6183.Smp_011000.1, 6183.Smp_146180.1	AAF51110.1, AAF51606.1, AAF54840.3, AAF54841.2, AAF54842.3, AAF54843.4, AAF54844.2, AAF56528.2, AAF57253.5, AAF58163.1, NP_477331.1
OG0000046	6183.Smp_011680.1	AAF47309.1, AAF47310.2, AAF47591.3, AAF50520.2, AAF52518.3, AAF52584.3, AAF53645.3, AAF55338.1, AAF55863.2, NP_477183.1, NP_609169.1, NP_611991.1
OG0000047	6183.Smp_152190.1	AAF54527.2, NP_476923.1, NP_523599.1, NP_524511.1, NP_524513.1, NP_525094.1, NP_536753.1, Q01068.1, Q01069.2, Q01070.1, Q01071.1, S06956
OG0000048		AAF46628.2, AAF46629.1, AAF50737.2, AAF50738.3, AAF52246.1, AAF54758.1, AAF55697.2, AAF55698.1, AAF55699.1, AAF55700.2, AAF56245.1, AAF58513.1, NP_611913.1
OG0000049		AAF46965.3, AAF46966.1, AAF51887.4, AAF51931.1, AAF51932.1, AAF54434.2, AAF54582.1, AAF54583.1, AAF54952.3, AAF56707.1, AAF56709.1, AAF57468.4, NP_609732.1
OG0000050		AAF46819.1, AAF46820.1, AAF46821.1, AAF50764.1, AAF50765.1, AAF51724.2, AAF53795.1, AAF54384.4, AAF54492.2, AAF55830.1, AAF57106.1, NP_573047.1, NP_610496.1
OG0000051	6183.Smp_002930.1, 6183.Smp_031720.1, 6183.Smp_056420.1, 6183.Smp_060760.1, 6183.Smp_082750.1, 6183.Smp_086860.1, 6183.Smp_089840.1, 6183.Smp_089870.1, 6183.Smp_123850.1, 6183.Smp_130880.1, 6183.Smp_150470.1, 6183.Smp_176670.1	
OG0000052	6183.Smp_006320.1	AAF46762.2, AAF46844.1, AAF46845.1, AAF46850.4, AAF46859.2, AAF46876.2, AAF53944.1, AAF53947.2, NP_477306.3, NP_523772.1, NP_610070.3
OG0000053	6183.Smp_031680.1, 6183.Smp_139330.1	AAF45409.3, AAF46361.3, AAF48950.4, AAF48951.1, AAF52817.3, AAF56301.2, AAF56302.2, NP_524483.1, NP_609700.2, P04755.1
OG0000054	6183.Smp_047460.1	AAF48872.1, AAF51925.1, AAF55124.2, AAF56122.1, AAF56275.1, NP_609755.1, NP_609756.1, NP_609757.1, NP_609758.1, NP_609759.1, NP_609760.1
OG0000055	6183.Smp_072470.1, 6183.Smp_082290.1, 6183.Smp_125400.1	AAF45802.1, AAF45967.1, AAF54684.2, AAF56590.1, NP_477344.1, NP_477446.1, NP_524251.2, NP_524376.2, P48987.2
OG0000056	6183.Smp_089320.1, 6183.Smp_089330.1, 6183.Smp_089370.1, 6183.Smp_089380.1, 6183.Smp_114430.1, 6183.Smp_119060.1, 6183.Smp_120180.1, 6183.Smp_128340.1, 6183.Smp_159300.1, 6183.Smp_168940.1, 6183.Smp_170890.1, 6183.Smp_176190.1	
OG0000057		AAF46611.1, AAF46612.1, AAF46982.3, AAF50034.2, AAF55911.2, AAF55912.3, AAF56639.3, AAF56863.2, AAF56882.3, AAF56883.3, AAF56884.1, NP_609770.3
OG0000058		AAF48846.1, AAF52161.1, AAF54896.2, AAF54897.1, AAF54898.1, AAF56848.1, AAF56849.1, AAF56850.1, AAF57983.2, NP_572492.1, NP_573296.2, NP_611736.1
OG0000059		AAF48427.3, AAF48975.1, AAF48977.2, AAF51390.2, AAF51391.1, AAF55871.3, AAF56149.2, AAF56150.3, AAF56151.3, NP_572577.1, NP_608322.1, NP_610836.1
OG0000060	6183.Smp_018670.1, 6183.Smp_084330.1, 6183.Smp_104170.1, 6183.Smp_117880.1, 6183.Smp_124900.1, 6183.Smp_144740.1, 6183.Smp_147200.1, 6183.Smp_154120.1, 6183.Smp_158920.1, 6183.Smp_159900.1, 6183.Smp_179400.1	
OG0000061	6183.Smp_025180.1, 6183.Smp_154080.1, 6183.Smp_167710.1, 6183.Smp_168700.1, 6183.Smp_182910.1, 6183.Smp_184750.1, 6183.Smp_185370.1, 6183.Smp_190320.1, 6183.Smp_190590.1, 6183.Smp_194000.1, 6183.Smp_197110.1	
